ward,precinct,total,C B JOHNSON,C B JOHNSON Percent,DEBORAH L. GRAHAM,DEBORAH L. GRAHAM Percent,THOMAS E. SIMMONS,THOMAS E. SIMMONS Percent,MARY RUSSELL GARDNER,MARY RUSSELL GARDNER Percent,JILL R. BUSH,JILL R. BUSH Percent,ODDIS''O.J''JOHNSON,ODDIS''O.J''JOHNSON Percent,ROMAN MORROW,ROMAN MORROW Percent,BEVERLY D. ROGERS,BEVERLY D. ROGERS Percent,precinct_id
29,1,322,68,21.12,185,57.45,9,2.8,29,9.01,16,4.97,3,0.93,3,0.93,9,2.8,29001
29,2,151,3,1.99,66,43.71,58,38.41,14,9.27,4,2.65,0,0.0,5,3.31,1,0.66,29002
29,3,278,64,23.02,158,56.83,14,5.04,22,7.91,8,2.88,2,0.72,1,0.36,9,3.24,29003
29,4,216,20,9.26,131,60.65,28,12.96,16,7.41,9,4.17,4,1.85,4,1.85,4,1.85,29004
29,5,191,10,5.24,104,54.45,11,5.76,30,15.71,20,10.47,5,2.62,5,2.62,6,3.14,29005
29,6,109,5,4.59,49,44.95,28,25.69,12,11.01,9,8.26,0,0.0,3,2.75,3,2.75,29006
29,7,132,6,4.55,61,46.21,20,15.15,22,16.67,6,4.55,1,0.76,5,3.79,11,8.33,29007
29,8,157,12,7.64,102,64.97,5,3.18,19,12.1,5,3.18,10,6.37,1,0.64,3,1.91,29008
29,9,173,9,5.2,69,39.88,28,16.18,23,13.29,25,14.45,1,0.58,7,4.05,11,6.36,29009
29,10,117,8,6.84,43,36.75,18,15.38,18,15.38,15,12.82,1,0.85,8,6.84,6,5.13,29010
29,11,255,80,31.37,91,35.69,7,2.75,22,8.63,45,17.65,2,0.78,3,1.18,5,1.96,29011
29,12,252,16,6.35,86,34.13,108,42.86,11,4.37,17,6.75,2,0.79,2,0.79,10,3.97,29012
29,13,230,9,3.91,158,68.7,14,6.09,16,6.96,15,6.52,4,1.74,11,4.78,3,1.3,29013
29,14,255,74,29.02,140,54.9,11,4.31,14,5.49,7,2.75,1,0.39,4,1.57,4,1.57,29014
29,15,271,5,1.85,101,37.27,138,50.92,8,2.95,8,2.95,2,0.74,0,0.0,9,3.32,29015
29,16,299,32,10.7,204,68.23,8,2.68,25,8.36,20,6.69,3,1.0,1,0.33,6,2.01,29016
29,17,200,10,5.0,48,24.0,121,60.5,6,3.0,4,2.0,0,0.0,2,1.0,9,4.5,29017
29,18,245,17,6.94,155,63.27,13,5.31,27,11.02,18,7.35,2,0.82,7,2.86,6,2.45,29018
29,19,305,54,17.7,121,39.67,21,6.89,32,10.49,65,21.31,4,1.31,3,0.98,5,1.64,29019
29,20,277,43,15.52,147,53.07,14,5.05,24,8.66,31,11.19,2,0.72,9,3.25,7,2.53,29020
29,21,187,22,11.76,92,49.2,9,4.81,36,19.25,10,5.35,1,0.53,5,2.67,12,6.42,29021
29,22,193,20,10.36,71,36.79,15,7.77,20,10.36,32,16.58,7,3.63,17,8.81,11,5.7,29022
29,23,196,34,17.35,112,57.14,11,5.61,19,9.69,14,7.14,1,0.51,2,1.02,3,1.53,29023
29,24,139,1,0.72,65,46.76,32,23.02,25,17.99,8,5.76,0,0.0,2,1.44,6,4.32,29024
29,25,238,8,3.36,169,71.01,39,16.39,12,5.04,7,2.94,0,0.0,1,0.42,2,0.84,29025
29,26,193,22,11.4,106,54.92,17,8.81,11,5.7,5,2.59,25,12.95,1,0.52,6,3.11,29026
29,27,148,18,12.16,73,49.32,1,0.68,20,13.51,25,16.89,1,0.68,4,2.7,6,4.05,29027
29,28,275,45,16.36,158,57.45,17,6.18,20,7.27,8,2.91,3,1.09,4,1.45,20,7.27,29028
29,29,270,13,4.81,193,71.48,26,9.63,16,5.93,10,3.7,0,0.0,9,3.33,3,1.11,29029
29,30,144,7,4.86,63,43.75,36,25.0,11,7.64,16,11.11,0,0.0,4,2.78,7,4.86,29030
29,31,175,54,30.86,82,46.86,5,2.86,21,12.0,5,2.86,2,1.14,0,0.0,6,3.43,29031
29,32,168,11,6.55,66,39.29,40,23.81,20,11.9,14,8.33,0,0.0,9,5.36,8,4.76,29032
29,33,205,30,14.63,129,62.93,8,3.9,26,12.68,6,2.93,1,0.49,2,0.98,3,1.46,29033
29,34,154,7,4.55,95,61.69,10,6.49,18,11.69,12,7.79,5,3.25,3,1.95,4,2.6,29034
29,35,190,18,9.47,123,64.74,9,4.74,18,9.47,10,5.26,4,2.11,1,0.53,7,3.68,29035
29,36,287,13,4.53,184,64.11,50,17.42,15,5.23,9,3.14,3,1.05,3,1.05,10,3.48,29036
29,37,210,11,5.24,118,56.19,24,11.43,21,10.0,10,4.76,9,4.29,9,4.29,8,3.81,29037
29,38,212,46,21.7,106,50.0,12,5.66,22,10.38,7,3.3,3,1.42,2,0.94,14,6.6,29038
29,39,171,16,9.36,57,33.33,44,25.73,29,16.96,5,2.92,0,0.0,4,2.34,16,9.36,29039
29,40,279,74,26.52,114,40.86,19,6.81,24,8.6,22,7.89,11,3.94,8,2.87,7,2.51,29040
29,41,234,20,8.55,145,61.97,11,4.7,18,7.69,8,3.42,22,9.4,4,1.71,6,2.56,29041
29,42,246,93,37.8,94,38.21,14,5.69,21,8.54,8,3.25,1,0.41,3,1.22,12,4.88,29042
29,43,266,19,7.14,164,61.65,35,13.16,14,5.26,12,4.51,13,4.89,3,1.13,6,2.26,29043
29,44,203,9,4.43,132,65.02,28,13.79,17,8.37,8,3.94,0,0.0,6,2.96,3,1.48,29044
29,45,188,13,6.91,82,43.62,14,7.45,14,7.45,9,4.79,5,2.66,45,23.94,6,3.19,29045
29,46,207,6,2.9,125,60.39,9,4.35,14,6.76,10,4.83,25,12.08,13,6.28,5,2.42,29046
29,47,283,13,4.59,161,56.89,9,3.18,66,23.32,21,7.42,1,0.35,6,2.12,6,2.12,29047
29,48,204,10,4.9,94,46.08,20,9.8,15,7.35,6,2.94,8,3.92,49,24.02,2,0.98,29048
29,49,303,63,20.79,129,42.57,29,9.57,31,10.23,31,10.23,8,2.64,2,0.66,10,3.3,29049
