ward,precinct,total,SHELDON L. SHERMAN,SHELDON L. SHERMAN Percent,PATRICIA A. FOSTER,PATRICIA A. FOSTER Percent,SYLVIA Y. JONES,SYLVIA Y. JONES Percent,"HOWARD B. BROOKINS, JR.","HOWARD B. BROOKINS, JR. Percent",JEROME MADDOX,JEROME MADDOX Percent,precinct_id
21,1,338,82,24.26,15,4.44,40,11.83,199,58.88,2,0.59,21001
21,2,214,34,15.89,14,6.54,22,10.28,144,67.29,0,0.0,21002
21,3,177,36,20.34,13,7.34,25,14.12,98,55.37,5,2.82,21003
21,4,231,59,25.54,16,6.93,27,11.69,122,52.81,7,3.03,21004
21,5,238,51,21.43,23,9.66,29,12.18,131,55.04,4,1.68,21005
21,6,187,32,17.11,16,8.56,22,11.76,109,58.29,8,4.28,21006
21,7,249,29,11.65,10,4.02,16,6.43,179,71.89,15,6.02,21007
21,8,247,33,13.36,31,12.55,15,6.07,162,65.59,6,2.43,21008
21,9,242,41,16.94,27,11.16,19,7.85,141,58.26,14,5.79,21009
21,10,174,20,11.49,14,8.05,14,8.05,120,68.97,6,3.45,21010
21,11,229,56,24.45,15,6.55,61,26.64,96,41.92,1,0.44,21011
21,12,246,57,23.17,18,7.32,44,17.89,122,49.59,5,2.03,21012
21,13,128,22,17.19,7,5.47,14,10.94,82,64.06,3,2.34,21013
21,14,219,38,17.35,15,6.85,5,2.28,149,68.04,12,5.48,21014
21,15,174,32,18.39,53,30.46,14,8.05,70,40.23,5,2.87,21015
21,16,216,31,14.35,44,20.37,9,4.17,131,60.65,1,0.46,21016
21,17,236,52,22.03,26,11.02,19,8.05,133,56.36,6,2.54,21017
21,18,206,69,33.5,20,9.71,3,1.46,108,52.43,6,2.91,21018
21,19,185,31,16.76,14,7.57,32,17.3,106,57.3,2,1.08,21019
21,20,139,29,20.86,16,11.51,7,5.04,84,60.43,3,2.16,21020
21,21,258,57,22.09,25,9.69,61,23.64,104,40.31,11,4.26,21021
21,22,200,42,21.0,31,15.5,28,14.0,96,48.0,3,1.5,21022
21,23,173,64,36.99,12,6.94,14,8.09,80,46.24,3,1.73,21023
21,24,232,37,15.95,16,6.9,24,10.34,153,65.95,2,0.86,21024
21,25,165,39,23.64,11,6.67,17,10.3,96,58.18,2,1.21,21025
21,26,195,50,25.64,16,8.21,18,9.23,107,54.87,4,2.05,21026
21,27,223,56,25.11,11,4.93,27,12.11,124,55.61,5,2.24,21027
