ward,precinct,total,SHELDON L. SHERMAN,SHELDON L. SHERMAN Percent,PATRICIA A. FOSTER,PATRICIA A. FOSTER Percent,SYLVIA Y. JONES,SYLVIA Y. JONES Percent,"HOWARD B. BROOKINS, JR.","HOWARD B. BROOKINS, JR. Percent",JEROME MADDOX,JEROME MADDOX Percent,precinct_id
21,28,190,30,15.79,19,10.0,27,14.21,106,55.79,8,4.21,21028
21,29,104,20,19.23,24,23.08,5,4.81,49,47.12,6,5.77,21029
21,30,155,52,33.55,21,13.55,9,5.81,71,45.81,2,1.29,21030
21,31,285,115,40.35,23,8.07,21,7.37,120,42.11,6,2.11,21031
21,32,203,33,16.26,59,29.06,7,3.45,101,49.75,3,1.48,21032
21,33,227,50,22.03,18,7.93,29,12.78,125,55.07,5,2.2,21033
21,34,257,42,16.34,40,15.56,30,11.67,144,56.03,1,0.39,21034
21,35,122,43,35.25,22,18.03,6,4.92,51,41.8,0,0.0,21035
21,36,174,21,12.07,71,40.8,3,1.72,78,44.83,1,0.57,21036
21,37,224,74,33.04,15,6.7,16,7.14,115,51.34,4,1.79,21037
21,38,228,53,23.25,27,11.84,13,5.7,133,58.33,2,0.88,21038
21,39,184,26,14.13,33,17.93,14,7.61,110,59.78,1,0.54,21039
21,40,205,31,15.12,17,8.29,22,10.73,131,63.9,4,1.95,21040
21,41,160,17,10.63,20,12.5,11,6.88,112,70.0,0,0.0,21041
21,42,216,66,30.56,19,8.8,51,23.61,76,35.19,4,1.85,21042
21,43,205,27,13.17,15,7.32,68,33.17,93,45.37,2,0.98,21043
21,44,214,45,21.03,35,16.36,18,8.41,103,48.13,13,6.07,21044
21,45,176,22,12.5,12,6.82,25,14.2,116,65.91,1,0.57,21045
21,46,140,28,20.0,14,10.0,24,17.14,71,50.71,3,2.14,21046
21,47,265,66,24.91,19,7.17,21,7.92,156,58.87,3,1.13,21047
21,48,214,41,19.16,20,9.35,33,15.42,112,52.34,8,3.74,21048
21,49,278,50,17.99,19,6.83,17,6.12,188,67.63,4,1.44,21049
21,50,238,50,21.01,22,9.24,29,12.18,129,54.2,8,3.36,21050
21,51,231,47,20.35,31,13.42,19,8.23,130,56.28,4,1.73,21051
21,52,220,47,21.36,24,10.91,11,5.0,137,62.27,1,0.45,21052
21,53,215,35,16.28,11,5.12,41,19.07,126,58.6,2,0.93,21053
21,54,194,33,17.01,16,8.25,32,16.49,111,57.22,2,1.03,21054
21,55,239,47,19.67,32,13.39,17,7.11,139,58.16,4,1.67,21055
21,56,174,25,14.37,21,12.07,19,10.92,105,60.34,4,2.3,21056
21,57,203,42,20.69,76,37.44,6,2.96,79,38.92,0,0.0,21057
21,58,178,30,16.85,10,5.62,38,21.35,99,55.62,1,0.56,21058
21,59,269,50,18.59,28,10.41,56,20.82,133,49.44,2,0.74,21059
21,60,231,35,15.15,26,11.26,18,7.79,138,59.74,14,6.06,21060
21,61,246,52,21.14,30,12.2,19,7.72,132,53.66,13,5.28,21061
21,62,207,37,17.87,29,14.01,11,5.31,127,61.35,3,1.45,21062
21,63,201,58,28.86,14,6.97,12,5.97,108,53.73,9,4.48,21063
21,64,101,14,13.86,16,15.84,11,10.89,56,55.45,4,3.96,21064
21,65,321,48,14.95,24,7.48,36,11.21,210,65.42,3,0.93,21065
21,66,188,23,12.23,18,9.57,18,9.57,120,63.83,9,4.79,21066
21,67,235,47,20.0,51,21.7,21,8.94,112,47.66,4,1.7,21067
21,68,220,40,18.18,29,13.18,21,9.55,126,57.27,4,1.82,21068
21,69,168,21,12.5,20,11.9,11,6.55,112,66.67,4,2.38,21069
21,70,185,29,15.68,59,31.89,9,4.86,85,45.95,3,1.62,21070
21,71,178,37,20.79,40,22.47,15,8.43,82,46.07,4,2.25,21071
21,72,241,25,10.37,72,29.88,18,7.47,122,50.62,4,1.66,21072
21,73,270,32,11.85,65,24.07,25,9.26,140,51.85,8,2.96,21073
21,74,76,10,13.16,10,13.16,11,14.47,44,57.89,1,1.32,21074
