ward,precinct,total,JIM HINKAMP,JIM HINKAMP Percent,TIM EGAN,TIM EGAN Percent,RAFAEL A. VARGAS,RAFAEL A. VARGAS Percent,BITA BUENROSTRO,BITA BUENROSTRO Percent,CHARLES E. EASTWOOD,CHARLES E. EASTWOOD Percent,MICHAEL ''MIKE'' JANKOVICH,MICHAEL ''MIKE'' JANKOVICH Percent,MICHELE SMITH,MICHELE SMITH Percent,CARMEN OLMETTI,CARMEN OLMETTI Percent,MITCHELL A. NEWMAN,MITCHELL A. NEWMAN Percent,precinct_id
43,1,348,5,1.44,59,16.95,102,29.31,7,2.01,23,6.61,4,1.15,118,33.91,4,1.15,26,7.47,43001
43,2,279,12,4.3,77,27.6,15,5.38,11,3.94,33,11.83,2,0.72,105,37.63,9,3.23,15,5.38,43002
43,3,272,6,2.21,86,31.62,16,5.88,1,0.37,34,12.5,4,1.47,99,36.4,2,0.74,24,8.82,43003
43,4,373,19,5.09,123,32.98,20,5.36,18,4.83,37,9.92,17,4.56,98,26.27,7,1.88,34,9.12,43004
43,5,280,3,1.07,73,26.07,27,9.64,9,3.21,22,7.86,5,1.79,114,40.71,3,1.07,24,8.57,43005
43,6,209,9,4.31,55,26.32,17,8.13,6,2.87,36,17.22,3,1.44,64,30.62,6,2.87,13,6.22,43006
43,7,303,12,3.96,72,23.76,23,7.59,12,3.96,45,14.85,4,1.32,119,39.27,3,0.99,13,4.29,43007
43,8,353,6,1.7,107,30.31,31,8.78,14,3.97,31,8.78,8,2.27,146,41.36,2,0.57,8,2.27,43008
43,9,231,7,3.03,73,31.6,25,10.82,6,2.6,36,15.58,6,2.6,64,27.71,3,1.3,11,4.76,43009
43,10,247,4,1.62,68,27.53,18,7.29,3,1.21,28,11.34,2,0.81,91,36.84,6,2.43,27,10.93,43010
43,11,218,9,4.13,67,30.73,18,8.26,4,1.83,45,20.64,2,0.92,63,28.9,4,1.83,6,2.75,43011
43,12,322,4,1.24,110,34.16,23,7.14,5,1.55,19,5.9,3,0.93,133,41.3,5,1.55,20,6.21,43012
43,13,149,1,0.67,46,30.87,16,10.74,2,1.34,10,6.71,10,6.71,52,34.9,0,0.0,12,8.05,43013
