ward,precinct,total,RAHM EMANUEL,RAHM EMANUEL Percent,MIGUEL DEL VALLE,MIGUEL DEL VALLE Percent,CAROL MOSELEY BRAUN,CAROL MOSELEY BRAUN Percent,GERY J. CHICO,GERY J. CHICO Percent,PATRICIA VAN PELT WATKINS,PATRICIA VAN PELT WATKINS Percent,"WILLIAM WALLS, III","WILLIAM WALLS, III Percent",precinct_id
1,1,264,123,46.59,53,20.08,3,1.14,82,31.06,2,0.76,1,0.38,01001
1,2,233,149,63.95,49,21.03,0,0.0,34,14.59,0,0.0,1,0.43,01002
1,3,163,98,60.12,31,19.02,1,0.61,33,20.25,0,0.0,0,0.0,01003
1,4,211,125,59.24,35,16.59,3,1.42,47,22.27,1,0.47,0,0.0,01004
1,5,201,133,66.17,40,19.9,5,2.49,23,11.44,0,0.0,0,0.0,01005
1,6,234,128,54.7,51,21.79,2,0.85,52,22.22,1,0.43,0,0.0,01006
1,7,245,145,59.18,30,12.24,4,1.63,64,26.12,1,0.41,1,0.41,01007
1,8,247,162,65.59,44,17.81,11,4.45,25,10.12,4,1.62,1,0.4,01008
1,9,224,106,47.32,48,21.43,3,1.34,63,28.13,2,0.89,2,0.89,01009
1,10,244,152,62.3,33,13.52,2,0.82,55,22.54,1,0.41,1,0.41,01010
1,11,231,126,54.55,48,20.78,4,1.73,52,22.51,0,0.0,1,0.43,01011
1,12,288,191,66.32,46,15.97,1,0.35,47,16.32,1,0.35,2,0.69,01012
1,13,311,136,43.73,85,27.33,3,0.96,86,27.65,0,0.0,1,0.32,01013
1,14,231,135,58.44,43,18.61,12,5.19,35,15.15,6,2.6,0,0.0,01014
1,15,180,71,39.44,71,39.44,5,2.78,32,17.78,1,0.56,0,0.0,01015
1,16,105,47,44.76,31,29.52,8,7.62,17,16.19,1,0.95,1,0.95,01016
1,17,146,97,66.44,25,17.12,2,1.37,22,15.07,0,0.0,0,0.0,01017
1,18,226,80,35.4,94,41.59,3,1.33,46,20.35,2,0.88,1,0.44,01018
1,19,207,91,43.96,55,26.57,0,0.0,57,27.54,2,0.97,2,0.97,01019
1,20,301,139,46.18,86,28.57,4,1.33,72,23.92,0,0.0,0,0.0,01020
1,21,181,112,61.88,27,14.92,1,0.55,40,22.1,0,0.0,1,0.55,01021
1,22,186,92,49.46,53,28.49,2,1.08,38,20.43,0,0.0,1,0.54,01022
1,23,193,109,56.48,42,21.76,1,0.52,41,21.24,0,0.0,0,0.0,01023
1,24,324,144,44.44,96,29.63,2,0.62,78,24.07,4,1.23,0,0.0,01024
1,25,180,114,63.33,30,16.67,6,3.33,28,15.56,2,1.11,0,0.0,01025
1,26,179,101,56.42,31,17.32,4,2.23,43,24.02,0,0.0,0,0.0,01026
1,27,159,62,38.99,42,26.42,2,1.26,50,31.45,0,0.0,3,1.89,01027
1,28,123,77,62.6,16,13.01,4,3.25,23,18.7,2,1.63,1,0.81,01028
