ward,precinct,total,WILLIAM SIEGMUND,WILLIAM SIEGMUND Percent,JASON C. ERVIN,JASON C. ERVIN Percent,precinct_id
28,1,129,8,6.2,121,93.8,28001
28,2,188,50,26.6,138,73.4,28002
28,3,94,11,11.7,83,88.3,28003
28,4,150,15,10.0,135,90.0,28004
28,5,123,34,27.64,89,72.36,28005
28,6,80,11,13.75,69,86.25,28006
28,7,101,9,8.91,92,91.09,28007
28,8,77,8,10.39,69,89.61,28008
28,9,112,13,11.61,99,88.39,28009
28,10,41,5,12.2,36,87.8,28010
28,11,84,7,8.33,77,91.67,28011
28,12,87,7,8.05,80,91.95,28012
28,13,73,7,9.59,66,90.41,28013
28,14,65,4,6.15,61,93.85,28014
28,15,58,6,10.34,52,89.66,28015
28,16,86,9,10.47,77,89.53,28016
28,17,149,11,7.38,138,92.62,28017
28,18,160,19,11.88,141,88.13,28018
28,19,151,23,15.23,128,84.77,28019
28,20,172,48,27.91,124,72.09,28020
28,21,145,16,11.03,129,88.97,28021
28,22,134,20,14.93,114,85.07,28022
28,23,103,17,16.5,86,83.5,28023
28,24,69,8,11.59,61,88.41,28024
28,25,83,15,18.07,68,81.93,28025
28,26,129,5,3.88,124,96.12,28026
28,27,132,11,8.33,121,91.67,28027
28,28,74,14,18.92,60,81.08,28028
28,29,152,40,26.32,112,73.68,28029
28,30,72,9,12.5,63,87.5,28030
28,31,114,12,10.53,102,89.47,28031
28,32,103,26,25.24,77,74.76,28032
28,33,167,21,12.57,146,87.43,28033
28,34,39,8,20.51,31,79.49,28034
28,35,103,26,25.24,77,74.76,28035
28,36,112,23,20.54,89,79.46,28036
28,37,204,23,11.27,181,88.73,28037
28,38,74,17,22.97,57,77.03,28038
28,39,85,20,23.53,65,76.47,28039
28,40,191,29,15.18,162,84.82,28040
28,41,114,19,16.67,95,83.33,28041
28,42,106,9,8.49,97,91.51,28042
28,43,174,47,27.01,127,72.99,28043
28,44,135,18,13.33,117,86.67,28044
28,45,124,17,13.71,107,86.29,28045
28,46,136,9,6.62,127,93.38,28046
28,47,116,31,26.72,85,73.28,28047
28,48,62,7,11.29,55,88.71,28048
28,49,46,6,13.04,40,86.96,28049
28,50,87,12,13.79,75,86.21,28050
28,51,124,24,19.35,100,80.65,28051
28,52,121,27,22.31,94,77.69,28052
28,53,87,33,37.93,54,62.07,28053
28,54,95,20,21.05,75,78.95,28054
28,55,105,8,7.62,97,92.38,28055
28,56,109,18,16.51,91,83.49,28056
28,57,163,14,8.59,149,91.41,28057
28,58,117,15,12.82,102,87.18,28058
28,59,109,18,16.51,91,83.49,28059
28,60,89,8,8.99,81,91.01,28060
28,61,96,13,13.54,83,86.46,28061
