ward,precinct,total,ROBERTO MALDONADO,ROBERTO MALDONADO Percent,precinct_id
26,1,129,107,82.95,26001
26,2,197,171,86.8,26002
26,3,141,106,75.18,26003
26,4,116,95,81.9,26004
26,5,195,143,73.33,26005
26,6,124,119,95.97,26006
26,7,109,94,86.24,26007
26,8,129,94,72.87,26008
26,9,104,84,80.77,26009
26,10,111,94,84.68,26010
26,11,141,111,78.72,26011
26,12,87,73,83.91,26012
26,13,162,114,70.37,26013
26,14,88,82,93.18,26014
26,15,123,108,87.8,26015
26,16,86,76,88.37,26016
26,17,124,104,83.87,26017
26,18,92,79,85.87,26018
26,19,218,151,69.27,26019
26,20,153,126,82.35,26020
26,21,132,98,74.24,26021
26,22,96,78,81.25,26022
26,23,109,101,92.66,26023
26,24,108,91,84.26,26024
26,25,43,36,83.72,26025
26,26,82,67,81.71,26026
26,27,135,113,83.7,26027
26,28,129,104,80.62,26028
26,29,129,114,88.37,26029
26,30,105,84,80.0,26030
26,31,135,115,85.19,26031
26,32,146,129,88.36,26032
26,33,81,66,81.48,26033
26,34,144,103,71.53,26034
26,35,169,147,86.98,26035
26,36,105,85,80.95,26036
26,37,85,81,95.29,26037
26,38,90,68,75.56,26038
26,39,123,103,83.74,26039
26,40,87,65,74.71,26040
26,41,143,119,83.22,26041
26,42,107,85,79.44,26042
26,43,94,84,89.36,26043
26,44,68,48,70.59,26044
26,45,154,122,79.22,26045
26,46,198,168,84.85,26046
26,47,80,73,91.25,26047
26,48,167,143,85.63,26048
26,49,102,85,83.33,26049
26,50,79,64,81.01,26050
26,51,147,127,86.39,26051
26,52,55,42,76.36,26052
26,53,115,93,80.87,26053
26,54,94,78,82.98,26054
26,55,109,99,90.83,26055
26,56,100,73,73.0,26056
26,57,115,99,86.09,26057
26,58,107,92,85.98,26058
26,59,144,122,84.72,26059
26,60,111,87,78.38,26060
26,61,85,73,85.88,26061
26,62,156,131,83.97,26062
26,63,46,40,86.96,26063
