ward,precinct,total,MIGUEL SOTOMAYOR,MIGUEL SOTOMAYOR Percent,REY COLON,REY COLON Percent,NANCY SCHIAVONE,NANCY SCHIAVONE Percent,precinct_id
35,1,300,101,33.67,124,41.33,75,25.0,35001
35,2,250,108,43.2,105,42.0,37,14.8,35002
35,3,207,41,19.81,130,62.8,36,17.39,35003
35,4,278,48,17.27,159,57.19,71,25.54,35004
35,5,247,62,25.1,138,55.87,47,19.03,35005
35,6,262,51,19.47,148,56.49,63,24.05,35006
35,7,310,79,25.48,142,45.81,89,28.71,35007
35,8,237,50,21.1,86,36.29,101,42.62,35008
35,9,215,42,19.53,115,53.49,58,26.98,35009
35,10,265,66,24.91,141,53.21,58,21.89,35010
35,11,258,82,31.78,109,42.25,67,25.97,35011
35,12,301,51,16.94,149,49.5,101,33.55,35012
35,13,80,24,30.0,47,58.75,9,11.25,35013
35,14,265,65,24.53,147,55.47,53,20.0,35014
35,15,255,96,37.65,108,42.35,51,20.0,35015
35,16,272,38,13.97,162,59.56,72,26.47,35016
35,17,276,70,25.36,154,55.8,52,18.84,35017
35,18,308,80,25.97,130,42.21,98,31.82,35018
35,19,272,77,28.31,134,49.26,61,22.43,35019
35,20,216,56,25.93,133,61.57,27,12.5,35020
35,21,262,84,32.06,139,53.05,39,14.89,35021
35,22,99,6,6.06,65,65.66,28,28.28,35022
35,23,147,69,46.94,55,37.41,23,15.65,35023
35,24,160,42,26.25,83,51.88,35,21.88,35024
35,25,280,43,15.36,164,58.57,73,26.07,35025
35,26,302,54,17.88,177,58.61,71,23.51,35026
35,27,313,93,29.71,148,47.28,72,23.0,35027
35,28,305,60,19.67,172,56.39,73,23.93,35028
35,29,306,51,16.67,107,34.97,148,48.37,35029
35,30,339,89,26.25,162,47.79,88,25.96,35030
35,31,130,38,29.23,74,56.92,18,13.85,35031
35,32,159,38,23.9,108,67.92,13,8.18,35032
35,33,240,55,22.92,108,45.0,77,32.08,35033
35,34,276,53,19.2,158,57.25,65,23.55,35034
35,35,224,79,35.27,89,39.73,56,25.0,35035
35,36,170,44,25.88,104,61.18,22,12.94,35036
