ward,precinct,total,CUAHUTEMOC MORFIN,CUAHUTEMOC MORFIN Percent,DANIEL ''DANNY'' SOLIS,DANIEL ''DANNY'' SOLIS Percent,AMBROSIO ''AMBI'' MEDRANO JR.,AMBROSIO ''AMBI'' MEDRANO JR. Percent,precinct_id
25,1,253,60,23.72,86,33.99,107,42.29,25001
25,2,406,171,42.12,158,38.92,77,18.97,25002
25,3,197,28,14.21,133,67.51,36,18.27,25003
25,4,302,41,13.58,138,45.7,123,40.73,25004
25,5,259,58,22.39,99,38.22,102,39.38,25005
25,6,230,160,69.57,36,15.65,34,14.78,25006
25,7,252,114,45.24,100,39.68,38,15.08,25007
25,8,250,77,30.8,110,44.0,63,25.2,25008
25,9,347,84,24.21,177,51.01,86,24.78,25009
25,10,172,32,18.6,83,48.26,57,33.14,25010
25,11,306,103,33.66,121,39.54,82,26.8,25011
25,12,272,127,46.69,81,29.78,64,23.53,25012
25,13,317,116,36.59,140,44.16,61,19.24,25013
25,14,234,36,15.38,136,58.12,62,26.5,25014
25,15,279,53,19.0,187,67.03,39,13.98,25015
25,16,199,34,17.09,144,72.36,21,10.55,25016
25,17,449,164,36.53,212,47.22,73,16.26,25017
25,18,478,47,9.83,362,75.73,69,14.44,25018
25,19,331,124,37.46,116,35.05,91,27.49,25019
25,20,303,69,22.77,139,45.87,95,31.35,25020
25,21,169,26,15.38,104,61.54,39,23.08,25021
25,22,134,37,27.61,55,41.04,42,31.34,25022
25,23,371,183,49.33,126,33.96,62,16.71,25023
25,24,334,179,53.59,102,30.54,53,15.87,25024
25,25,230,20,8.7,157,68.26,53,23.04,25025
25,26,181,29,16.02,87,48.07,65,35.91,25026
25,27,222,11,4.95,157,70.72,54,24.32,25027
25,28,303,38,12.54,211,69.64,54,17.82,25028
25,29,589,89,15.11,409,69.44,91,15.45,25029
25,30,289,76,26.3,105,36.33,108,37.37,25030
25,31,165,81,49.09,44,26.67,40,24.24,25031
