ward,precinct,total,STELLA NICPON,STELLA NICPON Percent,ARIEL E. REBOYRAS,ARIEL E. REBOYRAS Percent,DOUG CANNON,DOUG CANNON Percent,CHESTER R. HORNOWSKI,CHESTER R. HORNOWSKI Percent,precinct_id
30,1,187,18,9.63,106,56.68,13,6.95,50,26.74,30001
30,2,139,8,5.76,117,84.17,6,4.32,8,5.76,30002
30,3,233,20,8.58,177,75.97,12,5.15,24,10.3,30003
30,4,142,12,8.45,112,78.87,4,2.82,14,9.86,30004
30,5,86,10,11.63,63,73.26,6,6.98,7,8.14,30005
30,6,149,29,19.46,91,61.07,18,12.08,11,7.38,30006
30,7,156,21,13.46,101,64.74,11,7.05,23,14.74,30007
30,8,197,27,13.71,140,71.07,4,2.03,26,13.2,30008
30,9,211,17,8.06,182,86.26,7,3.32,5,2.37,30009
30,10,155,27,17.42,111,71.61,5,3.23,12,7.74,30010
30,11,106,9,8.49,76,71.7,11,10.38,10,9.43,30011
30,12,126,14,11.11,97,76.98,10,7.94,5,3.97,30012
30,13,188,2,1.06,145,77.13,9,4.79,32,17.02,30013
30,14,55,6,10.91,34,61.82,7,12.73,8,14.55,30014
30,15,221,20,9.05,167,75.57,8,3.62,26,11.76,30015
30,16,215,21,9.77,167,77.67,6,2.79,21,9.77,30016
30,17,114,23,20.18,78,68.42,7,6.14,6,5.26,30017
30,18,150,17,11.33,98,65.33,7,4.67,28,18.67,30018
30,19,108,15,13.89,79,73.15,7,6.48,7,6.48,30019
30,20,119,7,5.88,104,87.39,3,2.52,5,4.2,30020
30,21,172,9,5.23,154,89.53,8,4.65,1,0.58,30021
30,22,186,18,9.68,153,82.26,5,2.69,10,5.38,30022
30,23,138,15,10.87,102,73.91,14,10.14,7,5.07,30023
30,24,130,6,4.62,114,87.69,1,0.77,9,6.92,30024
30,25,115,14,12.17,79,68.7,5,4.35,17,14.78,30025
30,26,104,12,11.54,82,78.85,5,4.81,5,4.81,30026
30,27,241,35,14.52,180,74.69,13,5.39,13,5.39,30027
30,28,149,15,10.07,104,69.8,22,14.77,8,5.37,30028
30,29,93,8,8.6,75,80.65,3,3.23,7,7.53,30029
30,30,222,13,5.86,149,67.12,30,13.51,30,13.51,30030
30,31,113,12,10.62,82,72.57,11,9.73,8,7.08,30031
30,32,66,6,9.09,53,80.3,2,3.03,5,7.58,30032
30,33,134,10,7.46,107,79.85,11,8.21,6,4.48,30033
30,34,192,21,10.94,149,77.6,18,9.38,4,2.08,30034
30,35,166,23,13.86,128,77.11,8,4.82,7,4.22,30035
30,36,161,8,4.97,128,79.5,5,3.11,20,12.42,30036
30,37,141,20,14.18,85,60.28,15,10.64,21,14.89,30037
30,38,216,14,6.48,162,75.0,12,5.56,28,12.96,30038
30,39,163,8,4.91,124,76.07,17,10.43,14,8.59,30039
30,40,161,17,10.56,129,80.12,11,6.83,4,2.48,30040
30,41,131,10,7.63,113,86.26,1,0.76,7,5.34,30041
