ward,precinct,total,REGNER ''RAY'' SUAREZ,REGNER ''RAY'' SUAREZ Percent,precinct_id
31,1,76,76,100.0,31001
31,2,93,93,100.0,31002
31,3,140,140,100.0,31003
31,4,100,100,100.0,31004
31,5,150,150,100.0,31005
31,6,113,113,100.0,31006
31,7,112,112,100.0,31007
31,8,93,93,100.0,31008
31,9,111,111,100.0,31009
31,10,64,64,100.0,31010
31,11,133,133,100.0,31011
31,12,106,106,100.0,31012
31,13,111,111,100.0,31013
31,14,120,120,100.0,31014
31,15,62,62,100.0,31015
31,16,97,97,100.0,31016
31,17,99,99,100.0,31017
31,18,106,106,100.0,31018
31,19,120,120,100.0,31019
31,20,76,76,100.0,31020
31,21,132,132,100.0,31021
31,22,78,78,100.0,31022
31,23,77,77,100.0,31023
31,24,106,106,100.0,31024
31,25,108,108,100.0,31025
31,26,86,86,100.0,31026
31,27,90,90,100.0,31027
31,28,124,124,100.0,31028
31,29,125,125,100.0,31029
31,30,132,132,100.0,31030
31,31,164,164,100.0,31031
31,32,166,166,100.0,31032
31,33,135,135,100.0,31033
31,34,99,99,100.0,31034
31,35,79,79,100.0,31035
31,36,148,148,100.0,31036
31,37,92,92,100.0,31037
31,38,85,85,100.0,31038
31,39,79,79,100.0,31039
31,40,72,72,100.0,31040
31,41,121,121,100.0,31041
31,42,132,132,100.0,31042
31,43,159,159,100.0,31043
31,44,96,96,100.0,31044
31,45,112,112,100.0,31045
31,46,113,113,100.0,31046
31,47,115,115,100.0,31047
31,48,100,100,100.0,31048
31,49,67,67,100.0,31049
31,50,150,150,100.0,31050
31,51,84,84,100.0,31051
