ward,precinct,total,JESUS ''JESSE'' INIGUEZ,JESUS ''JESSE'' INIGUEZ Percent,GEORGE CARDENAS,GEORGE CARDENAS Percent,JOSE GUERECA,JOSE GUERECA Percent,ALBERTO BOCANEGRA JR.,ALBERTO BOCANEGRA JR. Percent,MARIA E. ''CHULA'' ORTIZ,MARIA E. ''CHULA'' ORTIZ Percent,precinct_id
12,1,137,19,13.87,74,54.01,39,28.47,4,2.92,1,0.73,12001
12,2,179,18,10.06,119,66.48,34,18.99,5,2.79,3,1.68,12002
12,3,184,35,19.02,86,46.74,20,10.87,39,21.2,4,2.17,12003
12,4,144,17,11.81,98,68.06,16,11.11,11,7.64,2,1.39,12004
12,5,143,14,9.79,96,67.13,19,13.29,11,7.69,3,2.1,12005
12,6,127,16,12.6,63,49.61,39,30.71,4,3.15,5,3.94,12006
12,7,246,44,17.89,157,63.82,35,14.23,9,3.66,1,0.41,12007
12,8,341,66,19.35,171,50.15,77,22.58,17,4.99,10,2.93,12008
12,9,176,73,41.48,69,39.2,24,13.64,3,1.7,7,3.98,12009
12,10,198,35,17.68,109,55.05,35,17.68,13,6.57,6,3.03,12010
12,11,264,36,13.64,165,62.5,37,14.02,21,7.95,5,1.89,12011
12,12,190,25,13.16,106,55.79,53,27.89,3,1.58,3,1.58,12012
12,13,303,58,19.14,165,54.46,63,20.79,8,2.64,9,2.97,12013
12,14,207,19,9.18,112,54.11,35,16.91,23,11.11,18,8.7,12014
12,15,172,5,2.91,73,42.44,89,51.74,2,1.16,3,1.74,12015
12,16,190,107,56.32,62,32.63,13,6.84,6,3.16,2,1.05,12016
12,17,241,24,9.96,144,59.75,53,21.99,4,1.66,16,6.64,12017
12,18,205,35,17.07,106,51.71,25,12.2,31,15.12,8,3.9,12018
12,19,265,32,12.08,147,55.47,25,9.43,53,20.0,8,3.02,12019
12,20,167,23,13.77,107,64.07,22,13.17,13,7.78,2,1.2,12020
12,21,206,23,11.17,122,59.22,37,17.96,16,7.77,8,3.88,12021
12,22,130,17,13.08,72,55.38,34,26.15,4,3.08,3,2.31,12022
12,23,214,34,15.89,127,59.35,37,17.29,7,3.27,9,4.21,12023
12,24,243,23,9.47,147,60.49,54,22.22,17,7.0,2,0.82,12024
