ward,precinct,total,DON BLAIR,DON BLAIR Percent,JOHN ARENA,JOHN ARENA Percent,ANNA KLOCEK,ANNA KLOCEK Percent,MARINA YOLANDA FAZ-HUPPERT,MARINA YOLANDA FAZ-HUPPERT Percent,BRUNO BELLISSIMO,BRUNO BELLISSIMO Percent,MICHAEL FITZGERALD WARD,MICHAEL FITZGERALD WARD Percent,precinct_id
45,1,238,17,7.14,99,41.6,9,3.78,28,11.76,0,0.0,18,7.56,45001
45,2,361,28,7.76,76,21.05,36,9.97,44,12.19,8,2.22,24,6.65,45002
45,3,346,5,1.45,22,6.36,9,2.6,111,32.08,5,1.45,13,3.76,45003
45,4,379,21,5.54,68,17.94,33,8.71,36,9.5,10,2.64,59,15.57,45004
45,5,341,7,2.05,95,27.86,27,7.92,29,8.5,6,1.76,53,15.54,45005
45,6,291,16,5.5,48,16.49,11,3.78,76,26.12,5,1.72,40,13.75,45006
45,7,300,82,27.33,102,34.0,17,5.67,24,8.0,4,1.33,15,5.0,45007
45,8,222,12,5.41,32,14.41,26,11.71,49,22.07,3,1.35,18,8.11,45008
45,9,347,14,4.03,28,8.07,22,6.34,57,16.43,1,0.29,36,10.37,45009
45,10,352,25,7.1,129,36.65,7,1.99,61,17.33,3,0.85,21,5.97,45010
45,11,296,10,3.38,25,8.45,16,5.41,41,13.85,3,1.01,39,13.18,45011
45,12,347,30,8.65,160,46.11,16,4.61,42,12.1,0,0.0,31,8.93,45012
45,13,383,11,2.87,45,11.75,30,7.83,153,39.95,1,0.26,30,7.83,45013
45,14,332,28,8.43,127,38.25,19,5.72,42,12.65,1,0.3,29,8.73,45014
45,15,318,18,5.66,64,20.13,24,7.55,62,19.5,4,1.26,34,10.69,45015
45,16,279,20,7.17,84,30.11,4,1.43,78,27.96,4,1.43,25,8.96,45016
45,17,258,11,4.26,34,13.18,14,5.43,53,20.54,4,1.55,29,11.24,45017
45,18,286,18,6.29,89,31.12,6,2.1,96,33.57,1,0.35,10,3.5,45018
45,19,343,8,2.33,60,17.49,16,4.66,50,14.58,11,3.21,35,10.2,45019
45,20,282,16,5.67,90,31.91,20,7.09,38,13.48,1,0.35,30,10.64,45020
45,21,278,17,6.12,80,28.78,18,6.47,40,14.39,7,2.52,19,6.83,45021
45,22,271,19,7.01,40,14.76,43,15.87,21,7.75,9,3.32,42,15.5,45022
45,23,324,16,4.94,54,16.67,24,7.41,52,16.05,13,4.01,29,8.95,45023
45,24,391,21,5.37,83,21.23,44,11.25,32,8.18,1,0.26,92,23.53,45024
45,25,285,18,6.32,57,20.0,34,11.93,72,25.26,0,0.0,22,7.72,45025
45,26,323,39,12.07,89,27.55,14,4.33,111,34.37,0,0.0,17,5.26,45026
45,27,264,11,4.17,24,9.09,13,4.92,40,15.15,11,4.17,61,23.11,45027
45,28,259,6,2.32,123,47.49,10,3.86,52,20.08,3,1.16,17,6.56,45028
45,29,280,18,6.43,74,26.43,40,14.29,44,15.71,5,1.79,34,12.14,45029
45,30,316,8,2.53,32,10.13,14,4.43,86,27.22,2,0.63,23,7.28,45030
45,31,300,49,16.33,153,51.0,9,3.0,34,11.33,2,0.67,23,7.67,45031
45,32,198,3,1.52,27,13.64,9,4.55,37,18.69,2,1.01,32,16.16,45032
45,33,291,14,4.81,57,19.59,24,8.25,47,16.15,5,1.72,37,12.71,45033
45,34,227,8,3.52,35,15.42,28,12.33,42,18.5,5,2.2,37,16.3,45034
45,35,319,34,10.66,62,19.44,21,6.58,92,28.84,3,0.94,32,10.03,45035
45,36,302,11,3.64,58,19.21,22,7.28,16,5.3,6,1.99,80,26.49,45036
45,37,298,18,6.04,77,25.84,25,8.39,56,18.79,0,0.0,26,8.72,45037
45,38,335,26,7.76,69,20.6,35,10.45,74,22.09,2,0.6,47,14.03,45038
45,39,344,15,4.36,89,25.87,36,10.47,105,30.52,3,0.87,18,5.23,45039
45,40,323,29,8.98,75,23.22,22,6.81,88,27.24,5,1.55,39,12.07,45040
45,41,192,12,6.25,54,28.13,10,5.21,33,17.19,0,0.0,31,16.15,45041
45,42,285,6,2.11,39,13.68,25,8.77,78,27.37,5,1.75,17,5.96,45042
45,43,264,12,4.55,32,12.12,40,15.15,44,16.67,7,2.65,41,15.53,45043
45,44,359,12,3.34,41,11.42,16,4.46,79,22.01,2,0.56,36,10.03,45044
45,45,235,9,3.83,53,22.55,33,14.04,47,20.0,2,0.85,16,6.81,45045
45,46,313,23,7.35,97,30.99,37,11.82,57,18.21,4,1.28,17,5.43,45046
45,47,282,12,4.26,58,20.57,37,13.12,88,31.21,2,0.71,32,11.35,45047
45,48,301,35,11.63,134,44.52,15,4.98,63,20.93,2,0.66,11,3.65,45048
45,49,301,20,6.64,78,25.91,15,4.98,77,25.58,2,0.66,16,5.32,45049
45,50,281,19,6.76,69,24.56,38,13.52,36,12.81,7,2.49,27,9.61,45050
45,51,294,11,3.74,36,12.24,27,9.18,63,21.43,4,1.36,30,10.2,45051
45,52,308,8,2.6,45,14.61,33,10.71,65,21.1,17,5.52,31,10.06,45052
45,53,235,17,7.23,27,11.49,28,11.91,54,22.98,3,1.28,33,14.04,45053
