ward,precinct,total,BEFEKADU T. RETTA,BEFEKADU T. RETTA Percent,MARY ANNE ''MOLLY'' PHELAN,MARY ANNE ''MOLLY'' PHELAN Percent,MICHAEL CARROLL,MICHAEL CARROLL Percent,DON NOWOTNY,DON NOWOTNY Percent,JAMES CAPPLEMAN,JAMES CAPPLEMAN Percent,DIANE SHAPIRO,DIANE SHAPIRO Percent,ANDY W. LAM,ANDY W. LAM Percent,EMILY STEWART,EMILY STEWART Percent,MARC KAPLAN,MARC KAPLAN Percent,CAITLIN MCINTYRE,CAITLIN MCINTYRE Percent,SCOTT BASKIN,SCOTT BASKIN Percent,precinct_id
46,1,484,3,0.62,88,18.18,59,12.19,103,21.28,71,14.67,25,5.17,6,1.24,64,13.22,12,2.48,2,0.41,51,10.54,46001
46,2,281,5,1.78,56,19.93,8,2.85,31,11.03,47,16.73,1,0.36,6,2.14,105,37.37,18,6.41,1,0.36,3,1.07,46002
46,3,299,41,13.71,46,15.38,9,3.01,32,10.7,32,10.7,11,3.68,2,0.67,83,27.76,16,5.35,3,1.0,24,8.03,46003
46,4,304,8,2.63,26,8.55,44,14.47,41,13.49,128,42.11,9,2.96,6,1.97,29,9.54,9,2.96,2,0.66,2,0.66,46004
46,5,196,3,1.53,65,33.16,12,6.12,21,10.71,31,15.82,3,1.53,0,0.0,35,17.86,8,4.08,8,4.08,10,5.1,46005
46,6,346,33,9.54,66,19.08,36,10.4,26,7.51,91,26.3,8,2.31,14,4.05,28,8.09,35,10.12,1,0.29,8,2.31,46006
46,7,194,4,2.06,39,20.1,46,23.71,21,10.82,24,12.37,1,0.52,0,0.0,25,12.89,5,2.58,9,4.64,20,10.31,46007
46,8,373,43,11.53,29,7.77,92,24.66,28,7.51,97,26.01,13,3.49,2,0.54,31,8.31,35,9.38,0,0.0,3,0.8,46008
46,9,292,6,2.05,69,23.63,32,10.96,28,9.59,98,33.56,6,2.05,4,1.37,26,8.9,8,2.74,2,0.68,13,4.45,46009
46,10,242,4,1.65,57,23.55,34,14.05,25,10.33,60,24.79,9,3.72,3,1.24,29,11.98,4,1.65,4,1.65,13,5.37,46010
46,11,315,14,4.44,56,17.78,39,12.38,26,8.25,71,22.54,10,3.17,6,1.9,37,11.75,16,5.08,4,1.27,36,11.43,46011
46,12,390,3,0.77,80,20.51,47,12.05,12,3.08,119,30.51,3,0.77,0,0.0,27,6.92,96,24.62,0,0.0,3,0.77,46012
46,13,273,9,3.3,63,23.08,14,5.13,26,9.52,37,13.55,11,4.03,10,3.66,46,16.85,14,5.13,6,2.2,37,13.55,46013
