ward,precinct,total,RICHARD F. MELL,RICHARD F. MELL Percent,precinct_id
33,1,248,248,100.0,33001
33,2,265,265,100.0,33002
33,3,218,218,100.0,33003
33,4,272,272,100.0,33004
33,5,219,219,100.0,33005
33,6,271,271,100.0,33006
33,7,328,328,100.0,33007
33,8,208,208,100.0,33008
33,9,256,256,100.0,33009
33,10,316,316,100.0,33010
33,11,246,246,100.0,33011
33,12,293,293,100.0,33012
33,13,247,247,100.0,33013
33,14,165,165,100.0,33014
33,15,250,250,100.0,33015
33,16,182,182,100.0,33016
33,17,291,291,100.0,33017
33,18,59,59,100.0,33018
33,19,231,231,100.0,33019
33,20,238,238,100.0,33020
33,21,265,265,100.0,33021
33,22,303,303,100.0,33022
33,23,267,267,100.0,33023
33,24,297,297,100.0,33024
33,25,309,309,100.0,33025
33,26,217,217,100.0,33026
33,27,206,206,100.0,33027
