ward,precinct,total,TOM COURTNEY,TOM COURTNEY Percent,"WALTER BURNETT, JR.","WALTER BURNETT, JR. Percent",GEVONNA FASSETT,GEVONNA FASSETT Percent,precinct_id
27,1,356,153,42.98,188,52.81,15,4.21,27001
27,2,127,18,14.17,93,73.23,16,12.6,27002
27,3,124,8,6.45,100,80.65,16,12.9,27003
27,4,127,15,11.81,101,79.53,11,8.66,27004
27,5,121,63,52.07,55,45.45,3,2.48,27005
27,6,36,3,8.33,32,88.89,1,2.78,27006
27,7,247,81,32.79,155,62.75,11,4.45,27007
27,8,137,9,6.57,107,78.1,21,15.33,27008
27,9,245,47,19.18,192,78.37,6,2.45,27009
27,10,311,28,9.0,273,87.78,10,3.22,27010
27,11,197,81,41.12,110,55.84,6,3.05,27011
27,12,276,122,44.2,146,52.9,8,2.9,27012
27,13,200,69,34.5,116,58.0,15,7.5,27013
27,14,237,18,7.59,193,81.43,26,10.97,27014
27,15,107,12,11.21,86,80.37,9,8.41,27015
27,16,66,27,40.91,37,56.06,2,3.03,27016
27,17,250,113,45.2,125,50.0,12,4.8,27017
27,18,195,77,39.49,104,53.33,14,7.18,27018
27,19,145,15,10.34,116,80.0,14,9.66,27019
27,20,183,11,6.01,168,91.8,4,2.19,27020
27,21,154,24,15.58,123,79.87,7,4.55,27021
27,22,173,13,7.51,151,87.28,9,5.2,27022
27,23,33,1,3.03,32,96.97,0,0.0,27023
27,24,129,11,8.53,109,84.5,9,6.98,27024
27,25,94,4,4.26,73,77.66,17,18.09,27025
27,26,171,14,8.19,145,84.8,12,7.02,27026
27,27,164,22,13.41,122,74.39,20,12.2,27027
27,28,198,48,24.24,142,71.72,8,4.04,27028
27,29,124,19,15.32,97,78.23,8,6.45,27029
27,30,84,11,13.1,63,75.0,10,11.9,27030
27,31,125,8,6.4,107,85.6,10,8.0,27031
27,32,225,47,20.89,169,75.11,9,4.0,27032
27,33,152,26,17.11,121,79.61,5,3.29,27033
27,34,176,3,1.7,162,92.05,11,6.25,27034
27,35,162,46,28.4,97,59.88,19,11.73,27035
27,36,184,14,7.61,158,85.87,12,6.52,27036
27,37,248,43,17.34,193,77.82,12,4.84,27037
27,38,154,62,40.26,77,50.0,15,9.74,27038
27,39,82,14,17.07,60,73.17,8,9.76,27039
27,40,123,2,1.63,113,91.87,8,6.5,27040
27,41,256,71,27.73,167,65.23,18,7.03,27041
27,42,178,68,38.2,106,59.55,4,2.25,27042
27,43,60,11,18.33,47,78.33,2,3.33,27043
27,44,100,10,10.0,82,82.0,8,8.0,27044
27,45,107,7,6.54,85,79.44,15,14.02,27045
27,46,149,14,9.4,120,80.54,15,10.07,27046
27,47,119,7,5.88,97,81.51,15,12.61,27047
27,48,176,28,15.91,132,75.0,16,9.09,27048
27,49,134,18,13.43,105,78.36,11,8.21,27049
27,50,265,97,36.6,140,52.83,28,10.57,27050
27,51,16,2,12.5,12,75.0,2,12.5,27051
27,52,117,3,2.56,96,82.05,18,15.38,27052
27,53,164,31,18.9,124,75.61,9,5.49,27053
27,54,241,103,42.74,130,53.94,8,3.32,27054
27,55,131,8,6.11,100,76.34,23,17.56,27055
27,56,138,55,39.86,70,50.72,13,9.42,27056
27,57,119,40,33.61,76,63.87,3,2.52,27057
27,58,105,48,45.71,48,45.71,9,8.57,27058
27,59,212,55,25.94,138,65.09,19,8.96,27059
