ward,precinct,total,SAMMY CLIFFORD PACK JR.,SAMMY CLIFFORD PACK JR. Percent,SANDRA L. MALLORY,SANDRA L. MALLORY Percent,SYRON M. SMITH,SYRON M. SMITH Percent,TONI L. FOULKES,TONI L. FOULKES Percent,RAYMOND A. LOPEZ,RAYMOND A. LOPEZ Percent,HAROLD L. BAILEY,HAROLD L. BAILEY Percent,FELICIA H. SIMMONS-STOVALL,FELICIA H. SIMMONS-STOVALL Percent,precinct_id
15,1,148,3,2.03,3,2.03,3,2.03,77,52.03,50,33.78,9,6.08,3,2.03,15001
15,2,124,19,15.32,8,6.45,3,2.42,68,54.84,7,5.65,5,4.03,14,11.29,15002
15,3,113,19,16.81,4,3.54,7,6.19,53,46.9,13,11.5,0,0.0,17,15.04,15003
15,4,132,17,12.88,10,7.58,24,18.18,52,39.39,2,1.52,8,6.06,19,14.39,15004
15,5,127,24,18.9,12,9.45,17,13.39,60,47.24,1,0.79,8,6.3,5,3.94,15005
15,6,143,7,4.9,4,2.8,4,2.8,74,51.75,31,21.68,16,11.19,7,4.9,15006
15,7,142,20,14.08,8,5.63,10,7.04,71,50.0,1,0.7,22,15.49,10,7.04,15007
15,8,201,8,3.98,9,4.48,10,4.98,80,39.8,46,22.89,25,12.44,23,11.44,15008
15,9,162,4,2.47,3,1.85,8,4.94,80,49.38,23,14.2,24,14.81,20,12.35,15009
15,10,129,0,0.0,0,0.0,2,1.55,30,23.26,94,72.87,1,0.78,2,1.55,15010
15,11,168,9,5.36,4,2.38,11,6.55,94,55.95,16,9.52,18,10.71,16,9.52,15011
15,12,77,4,5.19,2,2.6,10,12.99,41,53.25,4,5.19,10,12.99,6,7.79,15012
15,13,126,2,1.59,3,2.38,4,3.17,34,26.98,66,52.38,11,8.73,6,4.76,15013
15,14,218,4,1.83,4,1.83,2,0.92,69,31.65,104,47.71,15,6.88,20,9.17,15014
15,15,153,12,7.84,6,3.92,9,5.88,64,41.83,39,25.49,13,8.5,10,6.54,15015
15,16,117,1,0.85,1,0.85,3,2.56,46,39.32,54,46.15,6,5.13,6,5.13,15016
15,17,170,78,45.88,5,2.94,11,6.47,53,31.18,9,5.29,5,2.94,9,5.29,15017
15,18,105,12,11.43,19,18.1,4,3.81,56,53.33,2,1.9,7,6.67,5,4.76,15018
15,19,142,27,19.01,11,7.75,8,5.63,68,47.89,5,3.52,9,6.34,14,9.86,15019
15,20,79,4,5.06,3,3.8,9,11.39,39,49.37,3,3.8,15,18.99,6,7.59,15020
15,21,138,8,5.8,12,8.7,9,6.52,87,63.04,4,2.9,7,5.07,11,7.97,15021
15,22,196,8,4.08,5,2.55,5,2.55,97,49.49,18,9.18,38,19.39,25,12.76,15022
15,23,108,46,42.59,3,2.78,4,3.7,41,37.96,3,2.78,4,3.7,7,6.48,15023
15,24,139,9,6.47,9,6.47,5,3.6,61,43.88,19,13.67,30,21.58,6,4.32,15024
15,25,165,7,4.24,9,5.45,10,6.06,61,36.97,56,33.94,17,10.3,5,3.03,15025
15,26,137,11,8.03,15,10.95,14,10.22,61,44.53,4,2.92,16,11.68,16,11.68,15026
15,27,133,6,4.51,2,1.5,13,9.77,75,56.39,7,5.26,15,11.28,15,11.28,15027
15,28,209,3,1.44,2,0.96,1,0.48,63,30.14,90,43.06,32,15.31,18,8.61,15028
15,29,59,4,6.78,2,3.39,3,5.08,25,42.37,0,0.0,16,27.12,9,15.25,15029
15,30,151,4,2.65,10,6.62,13,8.61,64,42.38,10,6.62,37,24.5,13,8.61,15030
15,31,112,16,14.29,12,10.71,10,8.93,50,44.64,0,0.0,11,9.82,13,11.61,15031
15,32,137,6,4.38,3,2.19,10,7.3,50,36.5,48,35.04,14,10.22,6,4.38,15032
15,33,134,6,4.48,6,4.48,9,6.72,75,55.97,7,5.22,23,17.16,8,5.97,15033
15,34,141,4,2.84,28,19.86,4,2.84,93,65.96,1,0.71,5,3.55,6,4.26,15034
15,35,173,78,45.09,4,2.31,2,1.16,70,40.46,3,1.73,8,4.62,8,4.62,15035
15,36,134,62,46.27,7,5.22,5,3.73,39,29.1,6,4.48,5,3.73,10,7.46,15036
15,37,96,3,3.13,23,23.96,4,4.17,38,39.58,0,0.0,13,13.54,15,15.63,15037
15,38,127,11,8.66,2,1.57,7,5.51,58,45.67,21,16.54,20,15.75,8,6.3,15038
15,39,153,16,10.46,9,5.88,15,9.8,73,47.71,5,3.27,17,11.11,18,11.76,15039
15,40,119,11,9.24,7,5.88,5,4.2,76,63.87,4,3.36,7,5.88,9,7.56,15040
15,41,220,25,11.36,4,1.82,14,6.36,97,44.09,36,16.36,27,12.27,17,7.73,15041
15,42,86,9,10.47,5,5.81,17,19.77,41,47.67,0,0.0,11,12.79,3,3.49,15042
