ward,precinct,total,BERNARD L. STONE,BERNARD L. STONE Percent,MICHAEL CHARLES MOSES,MICHAEL CHARLES MOSES Percent,DEBRA L. SILVERSTEIN,DEBRA L. SILVERSTEIN Percent,GREG BREWER,GREG BREWER Percent,AHMED KHAN,AHMED KHAN Percent,precinct_id
50,1,367,127,34.6,14,3.81,155,42.23,50,13.62,21,5.72,50001
50,2,340,168,49.41,9,2.65,113,33.24,47,13.82,3,0.88,50002
50,3,279,103,36.92,13,4.66,104,37.28,48,17.2,11,3.94,50003
50,4,277,94,33.94,10,3.61,90,32.49,64,23.1,19,6.86,50004
50,5,353,151,42.78,29,8.22,130,36.83,38,10.76,5,1.42,50005
50,6,189,56,29.63,12,6.35,62,32.8,50,26.46,9,4.76,50006
50,7,335,38,11.34,23,6.87,160,47.76,108,32.24,6,1.79,50007
50,8,183,73,39.89,4,2.19,56,30.6,39,21.31,11,6.01,50008
50,9,226,56,24.78,11,4.87,113,50.0,35,15.49,11,4.87,50009
50,10,234,92,39.32,14,5.98,103,44.02,7,2.99,18,7.69,50010
50,11,276,133,48.19,20,7.25,101,36.59,20,7.25,2,0.72,50011
50,12,182,112,61.54,4,2.2,53,29.12,9,4.95,4,2.2,50012
50,13,319,121,37.93,19,5.96,86,26.96,59,18.5,34,10.66,50013
50,14,136,76,55.88,5,3.68,49,36.03,5,3.68,1,0.74,50014
50,15,346,45,13.01,9,2.6,102,29.48,183,52.89,7,2.02,50015
50,16,158,105,66.46,1,0.63,46,29.11,6,3.8,0,0.0,50016
50,17,239,105,43.93,9,3.77,91,38.08,15,6.28,19,7.95,50017
50,18,232,95,40.95,9,3.88,69,29.74,53,22.84,6,2.59,50018
50,19,239,84,35.15,6,2.51,55,23.01,61,25.52,33,13.81,50019
50,20,270,64,23.7,3,1.11,83,30.74,109,40.37,11,4.07,50020
50,21,298,83,27.85,5,1.68,77,25.84,130,43.62,3,1.01,50021
50,22,248,69,27.82,11,4.44,74,29.84,35,14.11,59,23.79,50022
50,23,225,97,43.11,4,1.78,97,43.11,11,4.89,16,7.11,50023
50,24,273,119,43.59,7,2.56,89,32.6,33,12.09,25,9.16,50024
50,25,323,190,58.82,10,3.1,94,29.1,28,8.67,1,0.31,50025
50,26,226,95,42.04,10,4.42,67,29.65,21,9.29,33,14.6,50026
50,27,121,54,44.63,4,3.31,51,42.15,8,6.61,4,3.31,50027
50,28,282,111,39.36,13,4.61,120,42.55,22,7.8,16,5.67,50028
50,29,286,85,29.72,3,1.05,87,30.42,89,31.12,22,7.69,50029
50,30,269,133,49.44,20,7.43,79,29.37,30,11.15,7,2.6,50030
50,31,95,56,58.95,8,8.42,27,28.42,4,4.21,0,0.0,50031
50,32,256,86,33.59,1,0.39,71,27.73,34,13.28,64,25.0,50032
50,33,189,93,49.21,10,5.29,60,31.75,9,4.76,17,8.99,50033
50,34,214,99,46.26,9,4.21,56,26.17,14,6.54,36,16.82,50034
50,35,338,69,20.41,26,7.69,87,25.74,141,41.72,15,4.44,50035
50,36,293,41,13.99,9,3.07,78,26.62,152,51.88,13,4.44,50036
50,37,276,49,17.75,11,3.99,120,43.48,85,30.8,11,3.99,50037
50,38,171,115,67.25,1,0.58,41,23.98,9,5.26,5,2.92,50038
50,39,261,149,57.09,6,2.3,84,32.18,5,1.92,17,6.51,50039
50,40,339,141,41.59,26,7.67,150,44.25,14,4.13,8,2.36,50040
50,41,368,127,34.51,28,7.61,132,35.87,78,21.2,3,0.82,50041
50,42,246,54,21.95,18,7.32,76,30.89,96,39.02,2,0.81,50042
50,43,291,73,25.09,11,3.78,80,27.49,75,25.77,52,17.87,50043
50,44,254,140,55.12,7,2.76,88,34.65,11,4.33,8,3.15,50044
50,45,165,79,47.88,5,3.03,58,35.15,18,10.91,5,3.03,50045
