ward,precinct,total,PATRICK J. O'CONNOR,PATRICK J. O'CONNOR Percent,precinct_id
40,1,142,142,100.0,40001
40,2,119,119,100.0,40002
40,3,199,199,100.0,40003
40,4,177,177,100.0,40004
40,5,198,198,100.0,40005
40,6,190,190,100.0,40006
40,7,183,183,100.0,40007
40,8,52,52,100.0,40008
40,9,180,180,100.0,40009
40,10,232,232,100.0,40010
40,11,137,137,100.0,40011
40,12,139,139,100.0,40012
40,13,225,225,100.0,40013
40,14,204,204,100.0,40014
40,15,203,203,100.0,40015
40,16,203,203,100.0,40016
40,17,98,98,100.0,40017
40,18,185,185,100.0,40018
40,19,180,180,100.0,40019
40,20,183,183,100.0,40020
40,21,175,175,100.0,40021
40,22,118,118,100.0,40022
40,23,257,257,100.0,40023
40,24,126,126,100.0,40024
40,25,153,153,100.0,40025
40,26,187,187,100.0,40026
40,27,149,149,100.0,40027
40,28,214,214,100.0,40028
40,29,237,237,100.0,40029
40,30,262,262,100.0,40030
40,31,176,176,100.0,40031
40,32,122,122,100.0,40032
40,33,214,214,100.0,40033
40,34,139,139,100.0,40034
40,35,197,197,100.0,40035
40,36,215,215,100.0,40036
40,37,157,157,100.0,40037
40,38,104,104,100.0,40038
40,39,146,146,100.0,40039
40,40,141,141,100.0,40040
40,41,260,260,100.0,40041
40,42,228,228,100.0,40042
40,43,212,212,100.0,40043
40,44,128,128,100.0,40044
40,45,318,318,100.0,40045
40,46,234,234,100.0,40046
40,47,176,176,100.0,40047
40,48,133,133,100.0,40048
40,49,105,105,100.0,40049
