ward,precinct,total,SCOTT WAGUESPACK,SCOTT WAGUESPACK Percent,BRIAN GORMAN,BRIAN GORMAN Percent,BRYAN P. LYNCH,BRYAN P. LYNCH Percent,precinct_id
32,1,283,156,55.12,6,2.12,33,11.66,32001
32,2,270,165,61.11,9,3.33,56,20.74,32002
32,3,212,112,52.83,4,1.89,68,32.08,32003
32,4,319,255,79.94,3,0.94,33,10.34,32004
32,5,206,131,63.59,8,3.88,41,19.9,32005
32,6,294,123,41.84,6,2.04,45,15.31,32006
32,7,206,131,63.59,10,4.85,16,7.77,32007
32,8,364,278,76.37,10,2.75,30,8.24,32008
32,9,421,316,75.06,54,12.83,20,4.75,32009
32,10,262,166,63.36,19,7.25,22,8.4,32010
32,11,194,113,58.25,2,1.03,22,11.34,32011
32,12,172,104,60.47,5,2.91,32,18.6,32012
32,13,140,93,66.43,4,2.86,16,11.43,32013
32,14,242,161,66.53,15,6.2,32,13.22,32014
32,15,198,107,54.04,33,16.67,7,3.54,32015
32,16,231,141,61.04,11,4.76,23,9.96,32016
32,17,291,148,50.86,7,2.41,43,14.78,32017
32,18,190,132,69.47,12,6.32,19,10.0,32018
32,19,289,128,44.29,100,34.6,26,9.0,32019
32,20,253,153,60.47,3,1.19,40,15.81,32020
32,21,219,131,59.82,23,10.5,29,13.24,32021
32,22,312,229,73.4,22,7.05,17,5.45,32022
32,23,283,221,78.09,9,3.18,13,4.59,32023
32,24,313,218,69.65,24,7.67,30,9.58,32024
32,25,220,121,55.0,52,23.64,17,7.73,32025
32,26,239,153,64.02,2,0.84,13,5.44,32026
32,27,276,202,73.19,5,1.81,17,6.16,32027
32,28,185,125,67.57,5,2.7,32,17.3,32028
32,29,233,153,65.67,5,2.15,41,17.6,32029
32,30,303,215,70.96,12,3.96,31,10.23,32030
32,31,308,207,67.21,6,1.95,51,16.56,32031
32,32,267,163,61.05,11,4.12,53,19.85,32032
32,33,185,112,60.54,4,2.16,13,7.03,32033
32,34,272,200,73.53,9,3.31,28,10.29,32034
32,35,301,213,70.76,15,4.98,29,9.63,32035
32,36,291,224,76.98,14,4.81,27,9.28,32036
32,37,231,152,65.8,12,5.19,18,7.79,32037
32,38,279,184,65.95,29,10.39,31,11.11,32038
32,39,306,226,73.86,8,2.61,29,9.48,32039
32,40,298,201,67.45,21,7.05,28,9.4,32040
32,41,316,201,63.61,38,12.03,17,5.38,32041
32,42,335,220,65.67,26,7.76,27,8.06,32042
32,43,282,213,75.53,11,3.9,35,12.41,32043
32,44,181,97,53.59,8,4.42,13,7.18,32044
32,45,274,146,53.28,17,6.2,46,16.79,32045
32,46,115,48,41.74,7,6.09,14,12.17,32046
32,47,285,200,70.18,15,5.26,36,12.63,32047
32,48,373,244,65.42,26,6.97,48,12.87,32048
32,49,127,81,63.78,7,5.51,13,10.24,32049
32,50,330,251,76.06,8,2.42,36,10.91,32050
32,51,289,236,81.66,8,2.77,19,6.57,32051
32,52,172,145,84.3,1,0.58,14,8.14,32052
