ward,precinct,total,JAMES A. BALCER,JAMES A. BALCER Percent,JOHN K. KOZLAR,JOHN K. KOZLAR Percent,CARL SEGVICH,CARL SEGVICH Percent,precinct_id
11,1,312,208,66.67,49,15.71,55,17.63,11001
11,2,234,141,60.26,66,28.21,27,11.54,11002
11,3,180,121,67.22,41,22.78,18,10.0,11003
11,4,235,140,59.57,70,29.79,25,10.64,11004
11,5,141,80,56.74,39,27.66,22,15.6,11005
11,6,270,136,50.37,75,27.78,59,21.85,11006
11,7,222,144,64.86,54,24.32,24,10.81,11007
11,8,223,105,47.09,83,37.22,35,15.7,11008
11,9,166,112,67.47,24,14.46,30,18.07,11009
11,10,137,83,60.58,28,20.44,26,18.98,11010
11,11,369,209,56.64,92,24.93,68,18.43,11011
11,12,271,175,64.58,74,27.31,22,8.12,11012
11,13,211,123,58.29,41,19.43,47,22.27,11013
11,14,201,116,57.71,24,11.94,61,30.35,11014
11,15,210,136,64.76,51,24.29,23,10.95,11015
11,16,276,167,60.51,62,22.46,47,17.03,11016
11,17,307,179,58.31,61,19.87,67,21.82,11017
11,18,191,116,60.73,47,24.61,28,14.66,11018
11,19,199,105,52.76,56,28.14,38,19.1,11019
11,20,193,125,64.77,45,23.32,23,11.92,11020
11,21,224,147,65.63,48,21.43,29,12.95,11021
11,22,203,135,66.5,38,18.72,30,14.78,11022
11,23,177,113,63.84,31,17.51,33,18.64,11023
11,24,408,281,68.87,87,21.32,40,9.8,11024
11,25,231,160,69.26,47,20.35,24,10.39,11025
11,26,288,190,65.97,70,24.31,28,9.72,11026
11,27,258,163,63.18,41,15.89,54,20.93,11027
11,28,172,126,73.26,34,19.77,12,6.98,11028
11,29,263,155,58.94,62,23.57,46,17.49,11029
11,30,217,131,60.37,62,28.57,24,11.06,11030
11,31,195,102,52.31,34,17.44,59,30.26,11031
11,32,196,121,61.73,52,26.53,23,11.73,11032
11,33,150,108,72.0,21,14.0,21,14.0,11033
11,34,162,99,61.11,19,11.73,44,27.16,11034
11,35,351,220,62.68,98,27.92,33,9.4,11035
11,36,64,43,67.19,10,15.63,11,17.19,11036
11,37,313,206,65.81,61,19.49,46,14.7,11037
11,38,334,205,61.38,77,23.05,52,15.57,11038
11,39,355,233,65.63,60,16.9,62,17.46,11039
11,40,154,101,65.58,32,20.78,21,13.64,11040
11,41,148,71,47.97,58,39.19,19,12.84,11041
11,42,185,100,54.05,34,18.38,51,27.57,11042
11,43,267,156,58.43,44,16.48,67,25.09,11043
11,44,229,121,52.84,57,24.89,51,22.27,11044
11,45,124,61,49.19,27,21.77,36,29.03,11045
11,46,150,106,70.67,6,4.0,38,25.33,11046
11,47,201,106,52.74,56,27.86,39,19.4,11047
11,48,108,77,71.3,18,16.67,13,12.04,11048
11,49,221,122,55.2,74,33.48,25,11.31,11049
11,50,130,87,66.92,20,15.38,23,17.69,11050
