ward,precinct,total,THOMAS PATRICK MURPHEY,THOMAS PATRICK MURPHEY Percent,DANIEL T. LAPINSKI,DANIEL T. LAPINSKI Percent,JAMES J. SCHAMNE,JAMES J. SCHAMNE Percent,JOHN JOSEPH QUINN,JOHN JOSEPH QUINN Percent,MARY O'CONNOR,MARY O'CONNOR Percent,RICHARD GONZALEZ,RICHARD GONZALEZ Percent,MAURITA E. GAVIN,MAURITA E. GAVIN Percent,GEORGE BANNA,GEORGE BANNA Percent,BARBARA ATECA,BARBARA ATECA Percent,JIM MULLEN,JIM MULLEN Percent,BROCK MERCK,BROCK MERCK Percent,precinct_id
41,1,388,39,10.05,20,5.15,2,0.52,14,3.61,128,32.99,36,9.28,85,21.91,0,0.0,2,0.52,41,10.57,21,5.41,41001
41,2,440,39,8.86,37,8.41,5,1.14,10,2.27,164,37.27,31,7.05,89,20.23,1,0.23,5,1.14,55,12.5,4,0.91,41002
41,3,346,18,5.2,31,8.96,1,0.29,7,2.02,86,24.86,61,17.63,107,30.92,3,0.87,10,2.89,15,4.34,7,2.02,41003
41,4,408,47,11.52,33,8.09,3,0.74,6,1.47,184,45.1,11,2.7,84,20.59,1,0.25,3,0.74,31,7.6,5,1.23,41004
41,5,429,52,12.12,31,7.23,1,0.23,15,3.5,149,34.73,33,7.69,105,24.48,0,0.0,7,1.63,26,6.06,10,2.33,41005
41,6,351,34,9.69,11,3.13,0,0.0,4,1.14,120,34.19,22,6.27,59,16.81,1,0.28,1,0.28,53,15.1,46,13.11,41006
41,7,464,95,20.47,35,7.54,0,0.0,15,3.23,154,33.19,27,5.82,96,20.69,0,0.0,7,1.51,28,6.03,7,1.51,41007
41,8,398,24,6.03,22,5.53,3,0.75,6,1.51,120,30.15,65,16.33,119,29.9,0,0.0,5,1.26,30,7.54,4,1.01,41008
41,9,388,26,6.7,43,11.08,3,0.77,6,1.55,104,26.8,53,13.66,99,25.52,1,0.26,14,3.61,32,8.25,7,1.8,41009
41,10,314,20,6.37,13,4.14,0,0.0,13,4.14,98,31.21,30,9.55,59,18.79,1,0.32,1,0.32,47,14.97,32,10.19,41010
41,11,439,44,10.02,34,7.74,2,0.46,11,2.51,122,27.79,48,10.93,123,28.02,1,0.23,10,2.28,30,6.83,14,3.19,41011
41,12,325,20,6.15,32,9.85,0,0.0,2,0.62,95,29.23,33,10.15,84,25.85,0,0.0,15,4.62,38,11.69,6,1.85,41012
41,13,224,13,5.8,29,12.95,8,3.57,17,7.59,62,27.68,26,11.61,42,18.75,2,0.89,7,3.13,17,7.59,1,0.45,41013
41,14,381,41,10.76,17,4.46,0,0.0,31,8.14,119,31.23,27,7.09,61,16.01,0,0.0,4,1.05,33,8.66,48,12.6,41014
41,15,415,45,10.84,28,6.75,5,1.2,15,3.61,139,33.49,25,6.02,110,26.51,0,0.0,9,2.17,31,7.47,8,1.93,41015
41,16,397,35,8.82,42,10.58,2,0.5,6,1.51,143,36.02,45,11.34,83,20.91,0,0.0,1,0.25,27,6.8,13,3.27,41016
41,17,417,47,11.27,26,6.24,1,0.24,9,2.16,145,34.77,36,8.63,115,27.58,0,0.0,6,1.44,22,5.28,10,2.4,41017
41,18,341,25,7.33,28,8.21,2,0.59,9,2.64,92,26.98,41,12.02,108,31.67,0,0.0,7,2.05,21,6.16,8,2.35,41018
41,19,407,57,14.0,18,4.42,0,0.0,15,3.69,145,35.63,58,14.25,34,8.35,12,2.95,1,0.25,36,8.85,31,7.62,41019
