ward,precinct,total,FAHEEM SHABAZZ,FAHEEM SHABAZZ Percent,MICHELLE A. HARRIS,MICHELLE A. HARRIS Percent,BERTHA F. STARKS,BERTHA F. STARKS Percent,JAMES L. DANIELS,JAMES L. DANIELS Percent,precinct_id
8,1,252,25,9.92,175,69.44,5,1.98,47,18.65,08001
8,2,104,8,7.69,79,75.96,4,3.85,13,12.5,08002
8,3,298,27,9.06,230,77.18,14,4.7,27,9.06,08003
8,4,229,29,12.66,166,72.49,11,4.8,23,10.04,08004
8,5,275,29,10.55,213,77.45,8,2.91,25,9.09,08005
8,6,244,41,16.8,148,60.66,7,2.87,48,19.67,08006
8,7,195,45,23.08,133,68.21,3,1.54,14,7.18,08007
8,8,270,36,13.33,196,72.59,7,2.59,31,11.48,08008
8,9,297,48,16.16,215,72.39,7,2.36,27,9.09,08009
8,10,333,45,13.51,240,72.07,5,1.5,43,12.91,08010
8,11,239,27,11.3,163,68.2,30,12.55,19,7.95,08011
8,12,199,18,9.05,105,52.76,42,21.11,34,17.09,08012
8,13,190,30,15.79,136,71.58,9,4.74,15,7.89,08013
8,14,122,13,10.66,78,63.93,7,5.74,24,19.67,08014
8,15,180,73,40.56,97,53.89,5,2.78,5,2.78,08015
8,16,241,31,12.86,173,71.78,6,2.49,31,12.86,08016
8,17,230,30,13.04,183,79.57,7,3.04,10,4.35,08017
8,18,132,13,9.85,82,62.12,10,7.58,27,20.45,08018
8,19,277,36,13.0,205,74.01,7,2.53,29,10.47,08019
8,20,174,14,8.05,129,74.14,4,2.3,27,15.52,08020
8,21,201,27,13.43,160,79.6,4,1.99,10,4.98,08021
8,22,198,36,18.18,126,63.64,13,6.57,23,11.62,08022
8,23,195,49,25.13,115,58.97,9,4.62,22,11.28,08023
8,24,247,61,24.7,161,65.18,11,4.45,14,5.67,08024
8,25,220,38,17.27,158,71.82,8,3.64,16,7.27,08025
8,26,163,27,16.56,118,72.39,2,1.23,16,9.82,08026
8,27,266,57,21.43,170,63.91,6,2.26,33,12.41,08027
8,28,207,49,23.67,138,66.67,5,2.42,15,7.25,08028
8,29,231,21,9.09,150,64.94,4,1.73,56,24.24,08029
8,30,218,31,14.22,162,74.31,5,2.29,20,9.17,08030
8,31,161,21,13.04,113,70.19,1,0.62,26,16.15,08031
8,32,316,53,16.77,195,61.71,27,8.54,41,12.97,08032
8,33,200,16,8.0,141,70.5,12,6.0,31,15.5,08033
8,34,290,31,10.69,211,72.76,14,4.83,34,11.72,08034
8,35,268,13,4.85,193,72.01,25,9.33,37,13.81,08035
8,36,202,49,24.26,127,62.87,5,2.48,21,10.4,08036
8,37,245,21,8.57,148,60.41,28,11.43,48,19.59,08037
8,38,216,24,11.11,144,66.67,12,5.56,36,16.67,08038
8,39,233,51,21.89,146,62.66,8,3.43,28,12.02,08039
8,40,175,18,10.29,106,60.57,8,4.57,43,24.57,08040
8,41,169,23,13.61,112,66.27,5,2.96,29,17.16,08041
8,42,264,59,22.35,178,67.42,4,1.52,23,8.71,08042
8,43,158,21,13.29,99,62.66,9,5.7,29,18.35,08043
8,44,192,55,28.65,100,52.08,9,4.69,28,14.58,08044
8,45,172,20,11.63,119,69.19,9,5.23,24,13.95,08045
8,46,196,74,37.76,109,55.61,5,2.55,8,4.08,08046
8,47,247,16,6.48,208,84.21,10,4.05,13,5.26,08047
8,48,200,20,10.0,127,63.5,16,8.0,37,18.5,08048
8,49,282,31,10.99,216,76.6,6,2.13,29,10.28,08049
8,50,245,9,3.67,214,87.35,6,2.45,16,6.53,08050
8,51,277,27,9.75,221,79.78,10,3.61,19,6.86,08051
8,52,236,10,4.24,173,73.31,8,3.39,45,19.07,08052
8,53,266,39,14.66,166,62.41,8,3.01,53,19.92,08053
8,54,231,39,16.88,124,53.68,8,3.46,60,25.97,08054
8,55,183,17,9.29,128,69.95,12,6.56,26,14.21,08055
8,56,218,30,13.76,143,65.6,12,5.5,33,15.14,08056
8,57,199,38,19.1,140,70.35,4,2.01,17,8.54,08057
8,58,248,27,10.89,149,60.08,38,15.32,34,13.71,08058
8,59,110,12,10.91,65,59.09,12,10.91,21,19.09,08059
8,60,198,48,24.24,121,61.11,12,6.06,17,8.59,08060
8,61,184,24,13.04,103,55.98,20,10.87,37,20.11,08061
8,62,217,28,12.9,160,73.73,4,1.84,25,11.52,08062
8,63,241,54,22.41,172,71.37,3,1.24,12,4.98,08063
8,64,212,30,14.15,145,68.4,16,7.55,21,9.91,08064
8,65,146,30,20.55,96,65.75,5,3.42,15,10.27,08065
8,66,311,39,12.54,217,69.77,19,6.11,36,11.58,08066
8,67,154,10,6.49,126,81.82,6,3.9,12,7.79,08067
8,68,117,21,17.95,74,63.25,8,6.84,14,11.97,08068
8,69,131,12,9.16,102,77.86,4,3.05,13,9.92,08069
8,70,265,41,15.47,160,60.38,20,7.55,44,16.6,08070
