ward,precinct,total,MICHAEL R. ZALEWSKI,MICHAEL R. ZALEWSKI Percent,ANNA GORAL,ANNA GORAL Percent,precinct_id
23,1,307,188,61.24,82,26.71,23001
23,2,396,207,52.27,130,32.83,23002
23,3,349,179,51.29,125,35.82,23003
23,4,308,160,51.95,104,33.77,23004
23,5,211,105,49.76,88,41.71,23005
23,6,300,175,58.33,118,39.33,23006
23,7,314,184,58.6,98,31.21,23007
23,8,310,162,52.26,122,39.35,23008
23,9,298,166,55.7,101,33.89,23009
23,10,316,199,62.97,99,31.33,23010
23,11,356,190,53.37,107,30.06,23011
23,12,362,217,59.94,110,30.39,23012
23,13,399,203,50.88,139,34.84,23013
23,14,295,138,46.78,96,32.54,23014
23,15,323,139,43.03,112,34.67,23015
23,16,344,185,53.78,101,29.36,23016
23,17,397,194,48.87,150,37.78,23017
23,18,257,119,46.3,95,36.96,23018
23,19,281,132,46.98,88,31.32,23019
23,20,288,165,57.29,77,26.74,23020
23,21,259,60,23.17,161,62.16,23021
23,22,300,134,44.67,110,36.67,23022
23,23,318,204,64.15,83,26.1,23023
23,24,181,91,50.28,53,29.28,23024
23,25,235,134,57.02,92,39.15,23025
23,26,352,190,53.98,109,30.97,23026
23,27,305,175,57.38,74,24.26,23027
23,28,346,173,50.0,103,29.77,23028
23,29,242,130,53.72,91,37.6,23029
23,30,298,153,51.34,78,26.17,23030
23,31,250,150,60.0,84,33.6,23031
23,32,283,170,60.07,105,37.1,23032
23,33,326,181,55.52,116,35.58,23033
23,34,258,118,45.74,116,44.96,23034
23,35,180,64,35.56,95,52.78,23035
23,36,425,221,52.0,133,31.29,23036
23,37,151,62,41.06,78,51.66,23037
23,38,268,161,60.07,66,24.63,23038
23,39,295,160,54.24,107,36.27,23039
23,40,323,159,49.23,102,31.58,23040
23,41,279,136,48.75,128,45.88,23041
23,42,271,143,52.77,82,30.26,23042
23,43,392,189,48.21,129,32.91,23043
23,44,326,193,59.2,97,29.75,23044
23,45,404,195,48.27,102,25.25,23045
23,46,331,173,52.27,97,29.31,23046
23,47,379,212,55.94,117,30.87,23047
23,48,245,128,52.24,95,38.78,23048
23,49,415,256,61.69,109,26.27,23049
23,50,183,79,43.17,83,45.36,23050
23,51,241,152,63.07,76,31.54,23051
23,52,396,199,50.25,131,33.08,23052
23,53,200,109,54.5,80,40.0,23053
23,54,380,198,52.11,122,32.11,23054
