ward,precinct,total,EBONY TILLMAN,EBONY TILLMAN Percent,PAT DOWELL,PAT DOWELL Percent,precinct_id
3,1,214,101,47.2,113,52.8,03001
3,2,293,76,25.94,217,74.06,03002
3,3,260,48,18.46,212,81.54,03003
3,4,162,64,39.51,98,60.49,03004
3,5,197,56,28.43,141,71.57,03005
3,6,35,9,25.71,26,74.29,03006
3,7,285,87,30.53,198,69.47,03007
3,8,209,90,43.06,119,56.94,03008
3,9,234,84,35.9,150,64.1,03009
3,10,75,49,65.33,26,34.67,03010
3,11,226,76,33.63,150,66.37,03011
3,12,183,70,38.25,113,61.75,03012
3,13,157,26,16.56,131,83.44,03013
3,14,155,40,25.81,115,74.19,03014
3,15,256,108,42.19,148,57.81,03015
3,16,195,77,39.49,118,60.51,03016
3,17,128,44,34.38,84,65.63,03017
3,18,96,36,37.5,60,62.5,03018
3,19,54,10,18.52,44,81.48,03019
3,20,171,64,37.43,107,62.57,03020
3,21,77,27,35.06,50,64.94,03021
3,22,120,39,32.5,81,67.5,03022
3,23,208,108,51.92,100,48.08,03023
3,24,290,92,31.72,198,68.28,03024
3,25,150,48,32.0,102,68.0,03025
3,26,51,19,37.25,32,62.75,03026
3,27,200,71,35.5,129,64.5,03027
3,28,468,44,9.4,424,90.6,03028
3,29,194,67,34.54,127,65.46,03029
3,30,166,53,31.93,113,68.07,03030
3,31,297,137,46.13,160,53.87,03031
3,32,178,64,35.96,114,64.04,03032
3,33,262,77,29.39,185,70.61,03033
3,34,194,62,31.96,132,68.04,03034
3,35,217,97,44.7,120,55.3,03035
3,36,64,23,35.94,41,64.06,03036
3,37,98,28,28.57,70,71.43,03037
3,38,335,72,21.49,263,78.51,03038
3,39,320,111,34.69,209,65.31,03039
3,40,227,94,41.41,133,58.59,03040
3,41,188,61,32.45,127,67.55,03041
3,42,169,61,36.09,108,63.91,03042
3,43,35,22,62.86,13,37.14,03043
3,44,44,24,54.55,20,45.45,03044
3,45,324,58,17.9,266,82.1,03045
3,46,53,17,32.08,36,67.92,03046
3,47,127,34,26.77,93,73.23,03047
3,48,135,59,43.7,76,56.3,03048
3,49,58,20,34.48,38,65.52,03049
3,50,94,27,28.72,67,71.28,03050
