ward,precinct,total,WILLIAM D. ''WILL'' BURNS,WILLIAM D. ''WILL'' BURNS Percent,BRIAN SCOTT,BRIAN SCOTT Percent,NORMAN H. BOLDEN,NORMAN H. BOLDEN Percent,JAMES E. WILLIAMS,JAMES E. WILLIAMS Percent,GEORGE RUMSEY,GEORGE RUMSEY Percent,ADAM L. MIGUEST,ADAM L. MIGUEST Percent,LORI S. YOKOYAMA,LORI S. YOKOYAMA Percent,precinct_id
4,1,370,234,63.24,13,3.51,20,5.41,2,0.54,39,10.54,7,1.89,55,14.86,04001
4,2,323,240,74.3,25,7.74,19,5.88,7,2.17,2,0.62,3,0.93,27,8.36,04002
4,3,297,239,80.47,14,4.71,13,4.38,4,1.35,4,1.35,0,0.0,23,7.74,04003
4,4,285,168,58.95,26,9.12,49,17.19,8,2.81,1,0.35,9,3.16,24,8.42,04004
4,5,383,144,37.6,10,2.61,162,42.3,2,0.52,4,1.04,40,10.44,21,5.48,04005
4,6,108,68,62.96,7,6.48,17,15.74,6,5.56,1,0.93,0,0.0,9,8.33,04006
4,7,331,192,58.01,19,5.74,89,26.89,3,0.91,5,1.51,12,3.63,11,3.32,04007
4,8,315,222,70.48,28,8.89,28,8.89,4,1.27,8,2.54,3,0.95,22,6.98,04008
4,9,503,353,70.18,41,8.15,40,7.95,2,0.4,12,2.39,8,1.59,47,9.34,04009
4,10,271,157,57.93,32,11.81,50,18.45,1,0.37,2,0.74,12,4.43,17,6.27,04010
4,11,194,111,57.22,14,7.22,11,5.67,4,2.06,4,2.06,31,15.98,19,9.79,04011
4,12,166,111,66.87,20,12.05,19,11.45,2,1.2,3,1.81,0,0.0,11,6.63,04012
4,13,216,156,72.22,10,4.63,13,6.02,0,0.0,5,2.31,10,4.63,22,10.19,04013
4,14,163,95,58.28,30,18.4,20,12.27,0,0.0,5,3.07,5,3.07,8,4.91,04014
4,15,249,145,58.23,21,8.43,41,16.47,3,1.2,4,1.61,9,3.61,26,10.44,04015
4,16,292,203,69.52,32,10.96,34,11.64,5,1.71,2,0.68,4,1.37,12,4.11,04016
4,17,289,183,63.32,32,11.07,10,3.46,4,1.38,15,5.19,2,0.69,43,14.88,04017
4,18,246,153,62.2,15,6.1,31,12.6,20,8.13,4,1.63,7,2.85,16,6.5,04018
4,19,251,159,63.35,17,6.77,26,10.36,8,3.19,4,1.59,16,6.37,21,8.37,04019
4,20,201,103,51.24,21,10.45,9,4.48,14,6.97,2,1.0,34,16.92,18,8.96,04020
4,21,342,240,70.18,21,6.14,16,4.68,4,1.17,24,7.02,5,1.46,32,9.36,04021
4,22,353,220,62.32,16,4.53,35,9.92,2,0.57,26,7.37,12,3.4,42,11.9,04022
4,23,209,152,72.73,6,2.87,9,4.31,0,0.0,10,4.78,7,3.35,25,11.96,04023
4,24,270,166,61.48,13,4.81,14,5.19,2,0.74,16,5.93,13,4.81,46,17.04,04024
4,25,288,204,70.83,21,7.29,28,9.72,0,0.0,8,2.78,10,3.47,17,5.9,04025
4,26,285,194,68.07,41,14.39,21,7.37,3,1.05,3,1.05,2,0.7,21,7.37,04026
4,27,216,172,79.63,18,8.33,6,2.78,3,1.39,4,1.85,2,0.93,11,5.09,04027
4,28,174,110,63.22,9,5.17,6,3.45,1,0.57,22,12.64,3,1.72,23,13.22,04028
4,29,250,143,57.2,17,6.8,9,3.6,3,1.2,34,13.6,1,0.4,43,17.2,04029
4,30,214,156,72.9,19,8.88,9,4.21,4,1.87,2,0.93,3,1.4,21,9.81,04030
4,31,195,132,67.69,3,1.54,3,1.54,1,0.51,41,21.03,2,1.03,13,6.67,04031
4,32,293,184,62.8,9,3.07,12,4.1,2,0.68,37,12.63,7,2.39,42,14.33,04032
4,33,247,171,69.23,11,4.45,29,11.74,7,2.83,6,2.43,2,0.81,21,8.5,04033
4,34,217,137,63.13,2,0.92,5,2.3,1,0.46,44,20.28,0,0.0,28,12.9,04034
4,35,153,79,51.63,18,11.76,19,12.42,4,2.61,4,2.61,9,5.88,20,13.07,04035
4,36,189,125,66.14,13,6.88,29,15.34,0,0.0,2,1.06,4,2.12,16,8.47,04036
4,37,5,3,60.0,1,20.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,04037
4,38,393,277,70.48,20,5.09,16,4.07,5,1.27,25,6.36,0,0.0,50,12.72,04038
4,39,184,111,60.33,19,10.33,32,17.39,2,1.09,0,0.0,9,4.89,11,5.98,04039
4,40,246,156,63.41,22,8.94,24,9.76,3,1.22,10,4.07,4,1.63,27,10.98,04040
4,41,126,66,52.38,6,4.76,2,1.59,0,0.0,30,23.81,1,0.79,21,16.67,04041
4,42,308,218,70.78,28,9.09,13,4.22,3,0.97,5,1.62,8,2.6,33,10.71,04042
4,43,161,104,64.6,14,8.7,7,4.35,0,0.0,19,11.8,0,0.0,17,10.56,04043
4,44,156,103,66.03,9,5.77,0,0.0,0,0.0,21,13.46,2,1.28,21,13.46,04044
4,45,453,303,66.89,26,5.74,31,6.84,1,0.22,23,5.08,9,1.99,60,13.25,04045
4,46,180,102,56.67,22,12.22,27,15.0,1,0.56,8,4.44,3,1.67,17,9.44,04046
4,47,342,221,64.62,19,5.56,20,5.85,6,1.75,37,10.82,8,2.34,31,9.06,04047
4,48,371,249,67.12,15,4.04,16,4.31,1,0.27,37,9.97,0,0.0,53,14.29,04048
4,49,204,125,61.27,21,10.29,35,17.16,6,2.94,1,0.49,2,0.98,14,6.86,04049
4,50,254,171,67.32,34,13.39,30,11.81,2,0.79,2,0.79,1,0.39,14,5.51,04050
4,51,257,177,68.87,19,7.39,22,8.56,7,2.72,6,2.33,1,0.39,25,9.73,04051
4,52,285,170,59.65,22,7.72,24,8.42,10,3.51,4,1.4,46,16.14,9,3.16,04052
