ward,precinct,total,WALLACE E. ''MICKEY'' JOHNSON,WALLACE E. ''MICKEY'' JOHNSON Percent,WILBERT E. COOK III,WILBERT E. COOK III Percent,CHAUNCEY L. STROUD,CHAUNCEY L. STROUD Percent,SONDRA R. (SAM) SPELLMAN,SONDRA R. (SAM) SPELLMAN Percent,MELISSA L. WILLIAMS,MELISSA L. WILLIAMS Percent,VALERIE F. LEONARD,VALERIE F. LEONARD Percent,VETRESS BOYCE,VETRESS BOYCE Percent,MICHAEL D. CHANDLER,MICHAEL D. CHANDLER Percent,JULIUS ANDERSON,JULIUS ANDERSON Percent,SHAVONDA FIELDS,SHAVONDA FIELDS Percent,JIMMY LEE LARD,JIMMY LEE LARD Percent,REGINA D. LEWIS,REGINA D. LEWIS Percent,JEFFERY D. TURNER,JEFFERY D. TURNER Percent,MARTAVIUS ''MARK'' CARTER,MARTAVIUS ''MARK'' CARTER Percent,LARRY G. NELSON,LARRY G. NELSON Percent,DONIELLE C. LAWSON,DONIELLE C. LAWSON Percent,FRANK M. BASS,FRANK M. BASS Percent,SHARON DENISE DIXON,SHARON DENISE DIXON Percent,precinct_id
24,1,239,6,2.51,8,3.35,48,20.08,3,1.26,9,3.77,36,15.06,14,5.86,18,7.53,11,4.6,21,8.79,0,0.0,1,0.42,2,0.84,1,0.42,0,0.0,5,2.09,17,7.11,39,16.32,24001
24,2,119,4,3.36,15,12.61,8,6.72,12,10.08,2,1.68,7,5.88,8,6.72,7,5.88,6,5.04,7,5.88,2,1.68,4,3.36,1,0.84,2,1.68,3,2.52,1,0.84,2,1.68,28,23.53,24002
24,3,151,3,1.99,11,7.28,14,9.27,7,4.64,6,3.97,6,3.97,10,6.62,19,12.58,7,4.64,3,1.99,2,1.32,3,1.99,0,0.0,2,1.32,0,0.0,8,5.3,4,2.65,46,30.46,24003
24,4,164,8,4.88,3,1.83,12,7.32,18,10.98,3,1.83,10,6.1,12,7.32,34,20.73,2,1.22,20,12.2,0,0.0,8,4.88,6,3.66,1,0.61,2,1.22,0,0.0,6,3.66,19,11.59,24004
24,5,154,30,19.48,5,3.25,10,6.49,37,24.03,6,3.9,4,2.6,10,6.49,19,12.34,5,3.25,8,5.19,0,0.0,2,1.3,2,1.3,1,0.65,2,1.3,0,0.0,6,3.9,7,4.55,24005
24,6,193,7,3.63,10,5.18,36,18.65,8,4.15,8,4.15,25,12.95,12,6.22,23,11.92,4,2.07,4,2.07,2,1.04,4,2.07,9,4.66,3,1.55,2,1.04,8,4.15,7,3.63,21,10.88,24006
24,7,150,3,2.0,8,5.33,7,4.67,8,5.33,7,4.67,9,6.0,14,9.33,16,10.67,1,0.67,12,8.0,0,0.0,1,0.67,2,1.33,0,0.0,3,2.0,8,5.33,4,2.67,47,31.33,24007
24,8,153,7,4.58,7,4.58,7,4.58,0,0.0,8,5.23,2,1.31,8,5.23,18,11.76,41,26.8,19,12.42,0,0.0,2,1.31,7,4.58,0,0.0,3,1.96,1,0.65,10,6.54,13,8.5,24008
24,9,168,10,5.95,2,1.19,13,7.74,5,2.98,6,3.57,17,10.12,31,18.45,15,8.93,20,11.9,3,1.79,1,0.6,5,2.98,2,1.19,1,0.6,2,1.19,6,3.57,8,4.76,21,12.5,24009
24,10,139,10,7.19,5,3.6,12,8.63,8,5.76,9,6.47,15,10.79,10,7.19,15,10.79,3,2.16,4,2.88,0,0.0,13,9.35,0,0.0,2,1.44,1,0.72,0,0.0,2,1.44,30,21.58,24010
24,11,90,2,2.22,2,2.22,9,10.0,1,1.11,2,2.22,5,5.56,5,5.56,9,10.0,10,11.11,18,20.0,6,6.67,1,1.11,5,5.56,0,0.0,1,1.11,2,2.22,2,2.22,10,11.11,24011
