ward,precinct,total,TIMOTHY M. CULLERTON,TIMOTHY M. CULLERTON Percent,TOM CARAVETTE,TOM CARAVETTE Percent,CARMEN HERNANDEZ,CARMEN HERNANDEZ Percent,EDMUND ''ED'' J. QUARTULLO,EDMUND ''ED'' J. QUARTULLO Percent,MAHMOUD BAMBOUYANI,MAHMOUD BAMBOUYANI Percent,BART GOLDBERG,BART GOLDBERG Percent,SHERYL M. MORABITO,SHERYL M. MORABITO Percent,precinct_id
38,1,288,127,44.1,52,18.06,10,3.47,8,2.78,10,3.47,14,4.86,62,21.53,38001
38,2,186,92,49.46,24,12.9,17,9.14,7,3.76,8,4.3,12,6.45,15,8.06,38002
38,3,202,120,59.41,29,14.36,5,2.48,1,0.5,2,0.99,15,7.43,22,10.89,38003
38,4,138,81,58.7,6,4.35,11,7.97,2,1.45,10,7.25,12,8.7,11,7.97,38004
38,5,424,178,41.98,118,27.83,19,4.48,7,1.65,12,2.83,63,14.86,19,4.48,38005
38,6,228,97,42.54,40,17.54,33,14.47,3,1.32,6,2.63,9,3.95,13,5.7,38006
38,7,291,96,32.99,48,16.49,3,1.03,3,1.03,7,2.41,122,41.92,9,3.09,38007
38,8,173,105,60.69,29,16.76,9,5.2,0,0.0,9,5.2,14,8.09,0,0.0,38008
38,9,264,102,38.64,64,24.24,9,3.41,5,1.89,27,10.23,41,15.53,13,4.92,38009
38,10,298,98,32.89,64,21.48,19,6.38,6,2.01,8,2.68,77,25.84,23,7.72,38010
38,11,203,93,45.81,43,21.18,13,6.4,6,2.96,22,10.84,10,4.93,10,4.93,38011
38,12,237,135,56.96,43,18.14,8,3.38,5,2.11,11,4.64,16,6.75,12,5.06,38012
38,13,229,84,36.68,86,37.55,19,8.3,6,2.62,14,6.11,10,4.37,3,1.31,38013
38,14,211,107,50.71,64,30.33,4,1.9,3,1.42,11,5.21,14,6.64,8,3.79,38014
38,15,159,76,47.8,50,31.45,10,6.29,1,0.63,11,6.92,4,2.52,6,3.77,38015
38,16,231,91,39.39,67,29.0,22,9.52,10,4.33,8,3.46,21,9.09,9,3.9,38016
38,17,195,101,51.79,28,14.36,21,10.77,11,5.64,14,7.18,17,8.72,3,1.54,38017
38,18,260,126,48.46,74,28.46,4,1.54,7,2.69,11,4.23,18,6.92,14,5.38,38018
38,19,303,177,58.42,51,16.83,11,3.63,1,0.33,13,4.29,18,5.94,24,7.92,38019
38,20,328,98,29.88,71,21.65,5,1.52,7,2.13,18,5.49,115,35.06,10,3.05,38020
38,21,240,89,37.08,79,32.92,14,5.83,2,0.83,31,12.92,3,1.25,10,4.17,38021
38,22,238,114,47.9,76,31.93,13,5.46,3,1.26,5,2.1,15,6.3,8,3.36,38022
38,23,189,70,37.04,32,16.93,27,14.29,2,1.06,25,13.23,7,3.7,12,6.35,38023
38,24,147,89,60.54,16,10.88,14,9.52,0,0.0,4,2.72,11,7.48,5,3.4,38024
38,25,217,147,67.74,16,7.37,15,6.91,2,0.92,5,2.3,12,5.53,19,8.76,38025
38,26,186,81,43.55,61,32.8,14,7.53,1,0.54,8,4.3,2,1.08,9,4.84,38026
38,27,158,79,50.0,49,31.01,10,6.33,0,0.0,13,8.23,1,0.63,4,2.53,38027
38,28,189,105,55.56,49,25.93,9,4.76,5,2.65,5,2.65,4,2.12,6,3.17,38028
38,29,198,106,53.54,40,20.2,14,7.07,3,1.52,7,3.54,15,7.58,11,5.56,38029
38,30,191,112,58.64,37,19.37,9,4.71,0,0.0,15,7.85,4,2.09,10,5.24,38030
38,31,272,179,65.81,19,6.99,30,11.03,3,1.1,8,2.94,15,5.51,4,1.47,38031
38,32,302,167,55.3,73,24.17,9,2.98,4,1.32,6,1.99,8,2.65,24,7.95,38032
38,33,222,117,52.7,70,31.53,9,4.05,1,0.45,9,4.05,4,1.8,8,3.6,38033
38,34,171,98,57.31,18,10.53,20,11.7,0,0.0,2,1.17,20,11.7,5,2.92,38034
38,35,280,148,52.86,46,16.43,23,8.21,2,0.71,14,5.0,19,6.79,20,7.14,38035
38,36,229,108,47.16,55,24.02,13,5.68,5,2.18,13,5.68,18,7.86,7,3.06,38036
38,37,241,121,50.21,25,10.37,38,15.77,7,2.9,14,5.81,6,2.49,19,7.88,38037
38,38,281,100,35.59,65,23.13,20,7.12,6,2.14,10,3.56,19,6.76,38,13.52,38038
38,39,216,101,46.76,44,20.37,20,9.26,3,1.39,8,3.7,14,6.48,15,6.94,38039
38,40,174,86,49.43,33,18.97,5,2.87,4,2.3,24,13.79,13,7.47,6,3.45,38040
38,41,363,232,63.91,54,14.88,6,1.65,3,0.83,21,5.79,14,3.86,26,7.16,38041
