ward,precinct,total,MATT REICHEL,MATT REICHEL Percent,AMEYA PAWAR,AMEYA PAWAR Percent,TOM O'DONNELL,TOM O'DONNELL Percent,TOM JACKS,TOM JACKS Percent,precinct_id
47,1,324,20,6.17,159,49.07,135,41.67,10,3.09,47001
47,2,257,5,1.95,141,54.86,108,42.02,3,1.17,47002
47,3,284,13,4.58,139,48.94,129,45.42,3,1.06,47003
47,4,345,5,1.45,199,57.68,139,40.29,2,0.58,47004
47,5,345,18,5.22,193,55.94,127,36.81,7,2.03,47005
47,6,359,5,1.39,223,62.12,128,35.65,3,0.84,47006
47,7,322,8,2.48,162,50.31,148,45.96,4,1.24,47007
47,8,437,8,1.83,232,53.09,187,42.79,10,2.29,47008
47,9,259,6,2.32,120,46.33,130,50.19,3,1.16,47009
47,10,210,12,5.71,108,51.43,85,40.48,5,2.38,47010
47,11,479,24,5.01,184,38.41,258,53.86,13,2.71,47011
47,12,329,5,1.52,172,52.28,147,44.68,5,1.52,47012
47,13,423,11,2.6,240,56.74,168,39.72,4,0.95,47013
47,14,228,9,3.95,115,50.44,102,44.74,2,0.88,47014
47,15,341,19,5.57,196,57.48,120,35.19,6,1.76,47015
47,16,331,7,2.11,206,62.24,116,35.05,2,0.6,47016
47,17,330,9,2.73,156,47.27,158,47.88,7,2.12,47017
47,18,330,5,1.52,170,51.52,148,44.85,7,2.12,47018
47,19,359,15,4.18,153,42.62,186,51.81,5,1.39,47019
47,20,394,11,2.79,210,53.3,168,42.64,5,1.27,47020
47,21,340,14,4.12,210,61.76,111,32.65,5,1.47,47021
47,22,302,12,3.97,166,54.97,119,39.4,5,1.66,47022
47,23,165,5,3.03,83,50.3,65,39.39,12,7.27,47023
47,24,299,12,4.01,163,54.52,118,39.46,6,2.01,47024
47,25,366,13,3.55,150,40.98,197,53.83,6,1.64,47025
47,26,474,19,4.01,234,49.37,190,40.08,31,6.54,47026
47,27,285,7,2.46,160,56.14,113,39.65,5,1.75,47027
47,28,422,8,1.9,215,50.95,197,46.68,2,0.47,47028
47,29,360,9,2.5,177,49.17,164,45.56,10,2.78,47029
47,30,354,38,10.73,157,44.35,153,43.22,6,1.69,47030
47,31,320,14,4.38,173,54.06,119,37.19,14,4.38,47031
47,32,334,10,2.99,198,59.28,115,34.43,11,3.29,47032
47,33,294,12,4.08,150,51.02,130,44.22,2,0.68,47033
47,34,392,14,3.57,215,54.85,145,36.99,18,4.59,47034
47,35,473,14,2.96,234,49.47,218,46.09,7,1.48,47035
47,36,446,16,3.59,235,52.69,184,41.26,11,2.47,47036
47,37,428,7,1.64,208,48.6,210,49.07,3,0.7,47037
47,38,362,15,4.14,185,51.1,156,43.09,6,1.66,47038
47,39,313,6,1.92,156,49.84,146,46.65,5,1.6,47039
47,40,303,10,3.3,175,57.76,107,35.31,11,3.63,47040
47,41,517,18,3.48,251,48.55,241,46.62,7,1.35,47041
47,42,269,6,2.23,154,57.25,104,38.66,5,1.86,47042
47,43,206,3,1.46,114,55.34,83,40.29,6,2.91,47043
47,44,326,21,6.44,98,30.06,199,61.04,8,2.45,47044
47,45,361,10,2.77,202,55.96,141,39.06,8,2.22,47045
47,46,239,10,4.18,111,46.44,110,46.03,8,3.35,47046
47,47,275,10,3.64,156,56.73,99,36.0,10,3.64,47047
47,48,55,5,9.09,2,3.64,48,87.27,0,0.0,47048
47,49,198,14,7.07,86,43.43,98,49.49,0,0.0,47049
47,50,304,17,5.59,124,40.79,155,50.99,8,2.63,47050
47,51,187,13,6.95,101,54.01,67,35.83,6,3.21,47051
47,52,222,8,3.6,51,22.97,158,71.17,5,2.25,47052
