ward,precinct,total,EMMA M. MITTS,EMMA M. MITTS Percent,MARETTA BROWN-MILLER,MARETTA BROWN-MILLER Percent,MINERVA V. OROZCO,MINERVA V. OROZCO Percent,STEVEN E. PLEASANT,STEVEN E. PLEASANT Percent,TOMMY O. ABINA,TOMMY O. ABINA Percent,SHANIKA J. FINLEY,SHANIKA J. FINLEY Percent,precinct_id
37,1,149,43,28.86,24,16.11,60,40.27,5,3.36,15,10.07,2,1.34,37001
37,2,200,114,57.0,45,22.5,26,13.0,4,2.0,8,4.0,3,1.5,37002
37,3,125,75,60.0,13,10.4,21,16.8,8,6.4,6,4.8,2,1.6,37003
37,4,225,149,66.22,45,20.0,11,4.89,4,1.78,4,1.78,12,5.33,37004
37,5,262,172,65.65,65,24.81,1,0.38,8,3.05,11,4.2,5,1.91,37005
37,6,278,128,46.04,73,26.26,0,0.0,3,1.08,64,23.02,10,3.6,37006
37,7,258,146,56.59,67,25.97,4,1.55,10,3.88,18,6.98,13,5.04,37007
37,8,168,100,59.52,35,20.83,18,10.71,5,2.98,5,2.98,5,2.98,37008
37,9,185,124,67.03,30,16.22,3,1.62,8,4.32,4,2.16,16,8.65,37009
37,10,217,139,64.06,51,23.5,13,5.99,3,1.38,6,2.76,5,2.3,37010
37,11,109,59,54.13,17,15.6,25,22.94,2,1.83,5,4.59,1,0.92,37011
37,12,143,83,58.04,21,14.69,17,11.89,13,9.09,3,2.1,6,4.2,37012
37,13,198,133,67.17,37,18.69,14,7.07,2,1.01,2,1.01,10,5.05,37013
37,14,286,182,63.64,75,26.22,7,2.45,6,2.1,7,2.45,9,3.15,37014
37,15,197,135,68.53,41,20.81,1,0.51,8,4.06,0,0.0,12,6.09,37015
37,16,249,136,54.62,77,30.92,9,3.61,8,3.21,6,2.41,13,5.22,37016
37,17,193,106,54.92,61,31.61,0,0.0,11,5.7,8,4.15,7,3.63,37017
37,18,237,154,64.98,59,24.89,6,2.53,2,0.84,6,2.53,10,4.22,37018
37,19,157,49,31.21,25,15.92,70,44.59,6,3.82,5,3.18,2,1.27,37019
37,20,193,131,67.88,44,22.8,2,1.04,1,0.52,4,2.07,11,5.7,37020
37,21,212,136,64.15,28,13.21,1,0.47,2,0.94,4,1.89,41,19.34,37021
37,22,138,87,63.04,31,22.46,5,3.62,6,4.35,4,2.9,5,3.62,37022
37,23,168,91,54.17,55,32.74,0,0.0,3,1.79,8,4.76,11,6.55,37023
37,24,206,110,53.4,42,20.39,3,1.46,39,18.93,8,3.88,4,1.94,37024
37,25,241,139,57.68,77,31.95,1,0.41,6,2.49,6,2.49,12,4.98,37025
37,26,266,133,50.0,52,19.55,3,1.13,71,26.69,4,1.5,3,1.13,37026
37,27,236,171,72.46,30,12.71,3,1.27,6,2.54,1,0.42,25,10.59,37027
37,28,214,145,67.76,44,20.56,10,4.67,4,1.87,4,1.87,7,3.27,37028
37,29,224,142,63.39,64,28.57,0,0.0,4,1.79,6,2.68,8,3.57,37029
37,30,134,89,66.42,20,14.93,9,6.72,1,0.75,10,7.46,5,3.73,37030
37,31,229,131,57.21,64,27.95,4,1.75,8,3.49,11,4.8,11,4.8,37031
37,32,235,130,55.32,63,26.81,1,0.43,17,7.23,11,4.68,13,5.53,37032
37,33,177,111,62.71,45,25.42,2,1.13,3,1.69,4,2.26,12,6.78,37033
37,34,223,122,54.71,64,28.7,6,2.69,10,4.48,8,3.59,13,5.83,37034
37,35,228,154,67.54,55,24.12,2,0.88,8,3.51,1,0.44,8,3.51,37035
37,36,196,123,62.76,39,19.9,0,0.0,4,2.04,3,1.53,27,13.78,37036
37,37,200,132,66.0,40,20.0,1,0.5,14,7.0,1,0.5,12,6.0,37037
37,38,223,93,41.7,100,44.84,5,2.24,3,1.35,18,8.07,4,1.79,37038
37,39,193,89,46.11,26,13.47,41,21.24,9,4.66,23,11.92,5,2.59,37039
37,40,226,117,51.77,85,37.61,1,0.44,5,2.21,4,1.77,14,6.19,37040
37,41,253,117,46.25,102,40.32,2,0.79,5,1.98,13,5.14,14,5.53,37041
37,42,151,93,61.59,13,8.61,37,24.5,4,2.65,4,2.65,0,0.0,37042
37,43,176,120,68.18,42,23.86,5,2.84,2,1.14,1,0.57,6,3.41,37043
