ward,precinct,total,LATASHA R. THOMAS,LATASHA R. THOMAS Percent,ANTOINE MEMBERS,ANTOINE MEMBERS Percent,MICHAEL F. DANIELS,MICHAEL F. DANIELS Percent,VIRGIL S. MEANS,VIRGIL S. MEANS Percent,TWAUNDELLA TAYLOR,TWAUNDELLA TAYLOR Percent,RONALD CARTER,RONALD CARTER Percent,PAULETTE COLEMAN,PAULETTE COLEMAN Percent,precinct_id
17,1,100,51,51.0,13,13.0,10,10.0,3,3.0,6,6.0,4,4.0,5,5.0,17001
17,2,171,78,45.61,13,7.6,5,2.92,0,0.0,2,1.17,7,4.09,1,0.58,17002
17,3,132,84,63.64,17,12.88,3,2.27,2,1.52,1,0.76,9,6.82,2,1.52,17003
17,4,266,162,60.9,15,5.64,4,1.5,43,16.17,4,1.5,16,6.02,4,1.5,17004
17,5,146,74,50.68,18,12.33,6,4.11,3,2.05,1,0.68,8,5.48,5,3.42,17005
17,6,127,55,43.31,23,18.11,6,4.72,2,1.57,11,8.66,11,8.66,1,0.79,17006
17,7,193,119,61.66,13,6.74,9,4.66,2,1.04,2,1.04,7,3.63,0,0.0,17007
17,8,134,52,38.81,17,12.69,33,24.63,1,0.75,2,1.49,1,0.75,2,1.49,17008
17,9,131,61,46.56,22,16.79,9,6.87,4,3.05,1,0.76,8,6.11,0,0.0,17009
17,10,172,105,61.05,15,8.72,3,1.74,2,1.16,1,0.58,12,6.98,3,1.74,17010
17,11,169,62,36.69,19,11.24,12,7.1,5,2.96,29,17.16,3,1.78,22,13.02,17011
17,12,257,163,63.42,21,8.17,7,2.72,4,1.56,1,0.39,7,2.72,2,0.78,17012
17,13,106,38,35.85,20,18.87,2,1.89,2,1.89,3,2.83,5,4.72,4,3.77,17013
17,14,150,69,46.0,19,12.67,21,14.0,2,1.33,5,3.33,8,5.33,7,4.67,17014
17,15,200,110,55.0,22,11.0,9,4.5,3,1.5,1,0.5,10,5.0,4,2.0,17015
17,16,124,47,37.9,22,17.74,13,10.48,1,0.81,4,3.23,12,9.68,6,4.84,17016
17,17,101,53,52.48,19,18.81,3,2.97,1,0.99,3,2.97,5,4.95,3,2.97,17017
17,18,203,132,65.02,23,11.33,5,2.46,0,0.0,1,0.49,4,1.97,4,1.97,17018
17,19,72,35,48.61,10,13.89,2,2.78,3,4.17,8,11.11,2,2.78,2,2.78,17019
17,20,157,69,43.95,21,13.38,12,7.64,1,0.64,7,4.46,9,5.73,6,3.82,17020
17,21,262,136,51.91,15,5.73,2,0.76,2,0.76,4,1.53,49,18.7,3,1.15,17021
17,22,194,84,43.3,24,12.37,10,5.15,1,0.52,5,2.58,20,10.31,4,2.06,17022
17,23,110,54,49.09,24,21.82,7,6.36,0,0.0,3,2.73,6,5.45,3,2.73,17023
17,24,172,69,40.12,33,19.19,6,3.49,1,0.58,3,1.74,14,8.14,3,1.74,17024
17,25,110,43,39.09,5,4.55,5,4.55,1,0.91,0,0.0,3,2.73,3,2.73,17025
17,26,212,108,50.94,18,8.49,4,1.89,33,15.57,1,0.47,8,3.77,6,2.83,17026
17,27,221,113,51.13,14,6.33,16,7.24,5,2.26,2,0.9,7,3.17,6,2.71,17027
17,28,164,56,34.15,32,19.51,7,4.27,1,0.61,4,2.44,29,17.68,4,2.44,17028
17,29,170,106,62.35,12,7.06,11,6.47,10,5.88,0,0.0,4,2.35,1,0.59,17029
17,30,180,86,47.78,16,8.89,2,1.11,2,1.11,2,1.11,13,7.22,3,1.67,17030
17,31,151,62,41.06,12,7.95,13,8.61,1,0.66,3,1.99,5,3.31,6,3.97,17031
17,32,189,80,42.33,22,11.64,17,8.99,4,2.12,15,7.94,12,6.35,22,11.64,17032
17,33,142,66,46.48,12,8.45,9,6.34,2,1.41,2,1.41,8,5.63,6,4.23,17033
17,34,138,45,32.61,25,18.12,20,14.49,2,1.45,4,2.9,3,2.17,7,5.07,17034
17,35,104,56,53.85,3,2.88,4,3.85,0,0.0,1,0.96,5,4.81,3,2.88,17035
17,36,92,38,41.3,18,19.57,14,15.22,0,0.0,2,2.17,5,5.43,1,1.09,17036
17,37,141,61,43.26,21,14.89,10,7.09,0,0.0,0,0.0,19,13.48,6,4.26,17037
17,38,142,52,36.62,10,7.04,0,0.0,2,1.41,6,4.23,16,11.27,2,1.41,17038
17,39,152,79,51.97,21,13.82,13,8.55,3,1.97,8,5.26,2,1.32,2,1.32,17039
17,40,140,60,42.86,16,11.43,1,0.71,1,0.71,27,19.29,9,6.43,5,3.57,17040
17,41,125,48,38.4,14,11.2,16,12.8,3,2.4,7,5.6,6,4.8,2,1.6,17041
17,42,130,58,44.62,17,13.08,9,6.92,3,2.31,5,3.85,7,5.38,2,1.54,17042
17,43,130,64,49.23,16,12.31,6,4.62,2,1.54,3,2.31,5,3.85,2,1.54,17043
17,44,117,49,41.88,5,4.27,6,5.13,0,0.0,1,0.85,1,0.85,2,1.71,17044
17,45,103,36,34.95,21,20.39,6,5.83,0,0.0,3,2.91,6,5.83,1,0.97,17045
17,46,147,60,40.82,20,13.61,13,8.84,1,0.68,2,1.36,29,19.73,8,5.44,17046
17,47,99,49,49.49,11,11.11,3,3.03,0,0.0,7,7.07,8,8.08,3,3.03,17047
17,48,152,76,50.0,11,7.24,4,2.63,3,1.97,3,1.97,8,5.26,3,1.97,17048
17,49,118,42,35.59,27,22.88,7,5.93,5,4.24,3,2.54,6,5.08,3,2.54,17049
17,50,159,82,51.57,14,8.81,4,2.52,1,0.63,1,0.63,12,7.55,9,5.66,17050
17,51,198,120,60.61,9,4.55,10,5.05,9,4.55,11,5.56,7,3.54,10,5.05,17051
17,52,244,135,55.33,13,5.33,10,4.1,20,8.2,7,2.87,15,6.15,5,2.05,17052
17,53,171,79,46.2,8,4.68,3,1.75,1,0.58,2,1.17,30,17.54,2,1.17,17053
17,54,228,133,58.33,11,4.82,2,0.88,1,0.44,2,0.88,26,11.4,3,1.32,17054
17,55,157,72,45.86,30,19.11,6,3.82,2,1.27,1,0.64,12,7.64,4,2.55,17055
17,56,161,73,45.34,20,12.42,3,1.86,2,1.24,34,21.12,10,6.21,4,2.48,17056
17,57,193,88,45.6,31,16.06,4,2.07,3,1.55,19,9.84,16,8.29,8,4.15,17057
