ward,precinct,total,PATRICIA HORTON,PATRICIA HORTON Percent,SUSANA A. MENDOZA,SUSANA A. MENDOZA Percent,precinct_id
1,1,238,58,24.37,180,75.63,01001
1,2,196,48,24.49,148,75.51,01002
1,3,132,40,30.3,92,69.7,01003
1,4,178,56,31.46,122,68.54,01004
1,5,165,55,33.33,110,66.67,01005
1,6,202,69,34.16,133,65.84,01006
1,7,218,57,26.15,161,73.85,01007
1,8,202,58,28.71,144,71.29,01008
1,9,208,42,20.19,166,79.81,01009
1,10,212,63,29.72,149,70.28,01010
1,11,203,60,29.56,143,70.44,01011
1,12,238,68,28.57,170,71.43,01012
1,13,281,70,24.91,211,75.09,01013
1,14,207,69,33.33,138,66.67,01014
1,15,171,39,22.81,132,77.19,01015
1,16,95,18,18.95,77,81.05,01016
1,17,123,33,26.83,90,73.17,01017
1,18,210,55,26.19,155,73.81,01018
1,19,196,43,21.94,153,78.06,01019
1,20,273,59,21.61,214,78.39,01020
1,21,160,45,28.13,115,71.88,01021
1,22,170,44,25.88,126,74.12,01022
1,23,160,36,22.5,124,77.5,01023
1,24,301,70,23.26,231,76.74,01024
1,25,157,52,33.12,105,66.88,01025
1,26,157,28,17.83,129,82.17,01026
1,27,149,29,19.46,120,80.54,01027
1,28,113,42,37.17,71,62.83,01028
1,29,220,52,23.64,168,76.36,01029
1,30,312,60,19.23,252,80.77,01030
1,31,200,69,34.5,131,65.5,01031
1,32,182,43,23.63,139,76.37,01032
1,33,205,42,20.49,163,79.51,01033
1,34,158,47,29.75,111,70.25,01034
1,35,161,46,28.57,115,71.43,01035
1,36,205,58,28.29,147,71.71,01036
1,37,144,35,24.31,109,75.69,01037
1,38,126,29,23.02,97,76.98,01038
1,39,242,43,17.77,199,82.23,01039
1,40,93,23,24.73,70,75.27,01040
1,41,208,47,22.6,161,77.4,01041
1,42,171,43,25.15,128,74.85,01042
1,43,174,41,23.56,133,76.44,01043
1,44,164,45,27.44,119,72.56,01044
1,45,195,49,25.13,146,74.87,01045
1,46,224,62,27.68,162,72.32,01046
1,47,162,45,27.78,117,72.22,01047
1,48,152,43,28.29,109,71.71,01048
1,49,109,30,27.52,79,72.48,01049
1,50,126,27,21.43,99,78.57,01050
2,1,494,174,35.22,320,64.78,02001
2,2,84,56,66.67,28,33.33,02002
2,3,251,120,47.81,131,52.19,02003
2,4,178,131,73.6,47,26.4,02004
2,5,218,140,64.22,78,35.78,02005
2,6,343,99,28.86,244,71.14,02006
2,7,263,167,63.5,96,36.5,02007
2,8,352,111,31.53,241,68.47,02008
2,9,219,117,53.42,102,46.58,02009
2,10,155,89,57.42,66,42.58,02010
2,11,398,110,27.64,288,72.36,02011
2,12,332,112,33.73,220,66.27,02012
2,13,233,113,48.5,120,51.5,02013
2,14,290,172,59.31,118,40.69,02014
2,15,114,83,72.81,31,27.19,02015
2,16,307,112,36.48,195,63.52,02016
2,17,149,99,66.44,50,33.56,02017
2,18,309,94,30.42,215,69.58,02018
2,19,391,131,33.5,260,66.5,02019
2,20,365,212,58.08,153,41.92,02020
2,21,275,135,49.09,140,50.91,02021
2,22,395,144,36.46,251,63.54,02022
2,23,153,91,59.48,62,40.52,02023
2,24,162,63,38.89,99,61.11,02024
2,25,345,176,51.01,169,48.99,02025
2,26,262,116,44.27,146,55.73,02026
2,27,161,132,81.99,29,18.01,02027
2,28,196,57,29.08,139,70.92,02028
2,29,148,68,45.95,80,54.05,02029
2,30,294,99,33.67,195,66.33,02030
2,31,221,141,63.8,80,36.2,02031
2,32,136,57,41.91,79,58.09,02032
2,33,125,103,82.4,22,17.6,02033
2,34,188,115,61.17,73,38.83,02034
2,35,72,28,38.89,44,61.11,02035
2,36,419,159,37.95,260,62.05,02036
2,37,232,75,32.33,157,67.67,02037
2,38,412,134,32.52,278,67.48,02038
2,39,223,101,45.29,122,54.71,02039
2,40,532,180,33.83,352,66.17,02040
2,41,103,73,70.87,30,29.13,02041
2,42,140,84,60.0,56,40.0,02042
2,43,323,109,33.75,214,66.25,02043
2,44,165,93,56.36,72,43.64,02044
2,45,230,161,70.0,69,30.0,02045
2,46,316,204,64.56,112,35.44,02046
2,47,137,104,75.91,33,24.09,02047
2,48,116,82,70.69,34,29.31,02048
2,49,238,83,34.87,155,65.13,02049
2,50,162,56,34.57,106,65.43,02050
2,51,150,84,56.0,66,44.0,02051
2,52,252,180,71.43,72,28.57,02052
2,53,215,64,29.77,151,70.23,02053
2,54,287,87,30.31,200,69.69,02054
2,55,134,47,35.07,87,64.93,02055
2,56,202,139,68.81,63,31.19,02056
3,1,197,133,67.51,64,32.49,03001
3,2,276,171,61.96,105,38.04,03002
3,3,250,122,48.8,128,51.2,03003
3,4,151,98,64.9,53,35.1,03004
3,5,184,130,70.65,54,29.35,03005
3,6,31,17,54.84,14,45.16,03006
3,7,273,151,55.31,122,44.69,03007
3,8,203,124,61.08,79,38.92,03008
3,9,221,134,60.63,87,39.37,03009
3,10,79,56,70.89,23,29.11,03010
3,11,217,144,66.36,73,33.64,03011
3,12,169,114,67.46,55,32.54,03012
3,13,163,19,11.66,144,88.34,03013
3,14,153,110,71.9,43,28.1,03014
3,15,244,158,64.75,86,35.25,03015
3,16,187,124,66.31,63,33.69,03016
3,17,120,82,68.33,38,31.67,03017
3,18,96,56,58.33,40,41.67,03018
3,19,52,10,19.23,42,80.77,03019
3,20,153,91,59.48,62,40.52,03020
3,21,88,61,69.32,27,30.68,03021
3,22,121,65,53.72,56,46.28,03022
3,23,193,132,68.39,61,31.61,03023
3,24,281,160,56.94,121,43.06,03024
3,25,143,79,55.24,64,44.76,03025
3,26,54,34,62.96,20,37.04,03026
3,27,189,123,65.08,66,34.92,03027
3,28,429,136,31.7,293,68.3,03028
3,29,184,106,57.61,78,42.39,03029
3,30,159,122,76.73,37,23.27,03030
3,31,293,211,72.01,82,27.99,03031
3,32,185,117,63.24,68,36.76,03032
3,33,246,158,64.23,88,35.77,03033
3,34,179,117,65.36,62,34.64,03034
3,35,213,142,66.67,71,33.33,03035
3,36,65,34,52.31,31,47.69,03036
3,37,94,57,60.64,37,39.36,03037
3,38,323,206,63.78,117,36.22,03038
3,39,303,167,55.12,136,44.88,03039
3,40,220,143,65.0,77,35.0,03040
3,41,182,106,58.24,76,41.76,03041
3,42,157,108,68.79,49,31.21,03042
3,43,35,20,57.14,15,42.86,03043
3,44,50,34,68.0,16,32.0,03044
3,45,302,147,48.68,155,51.32,03045
3,46,51,35,68.63,16,31.37,03046
3,47,125,83,66.4,42,33.6,03047
3,48,152,89,58.55,63,41.45,03048
3,49,58,34,58.62,24,41.38,03049
3,50,124,87,70.16,37,29.84,03050
4,1,335,156,46.57,179,53.43,04001
4,2,321,196,61.06,125,38.94,04002
4,3,291,191,65.64,100,34.36,04003
4,4,277,173,62.45,104,37.55,04004
4,5,365,240,65.75,125,34.25,04005
4,6,111,85,76.58,26,23.42,04006
4,7,318,194,61.01,124,38.99,04007
4,8,308,193,62.66,115,37.34,04008
4,9,492,322,65.45,170,34.55,04009
4,10,267,172,64.42,95,35.58,04010
4,11,192,138,71.88,54,28.13,04011
4,12,162,110,67.9,52,32.1,04012
4,13,201,89,44.28,112,55.72,04013
4,14,159,101,63.52,58,36.48,04014
4,15,230,139,60.43,91,39.57,04015
4,16,277,171,61.73,106,38.27,04016
4,17,271,125,46.13,146,53.87,04017
4,18,238,159,66.81,79,33.19,04018
4,19,245,167,68.16,78,31.84,04019
4,20,194,136,70.1,58,29.9,04020
4,21,306,174,56.86,132,43.14,04021
4,22,325,161,49.54,164,50.46,04022
4,23,198,88,44.44,110,55.56,04023
4,24,240,121,50.42,119,49.58,04024
4,25,293,194,66.21,99,33.79,04025
4,26,272,174,63.97,98,36.03,04026
4,27,212,128,60.38,84,39.62,04027
4,28,149,67,44.97,82,55.03,04028
4,29,240,97,40.42,143,59.58,04029
4,30,218,135,61.93,83,38.07,04030
4,31,158,38,24.05,120,75.95,04031
4,32,239,93,38.91,146,61.09,04032
4,33,244,153,62.7,91,37.3,04033
4,34,181,57,31.49,124,68.51,04034
4,35,153,93,60.78,60,39.22,04035
4,36,176,105,59.66,71,40.34,04036
4,37,5,2,40.0,3,60.0,04037
4,38,376,178,47.34,198,52.66,04038
4,39,178,122,68.54,56,31.46,04039
4,40,225,136,60.44,89,39.56,04040
4,41,118,38,32.2,80,67.8,04041
4,42,298,182,61.07,116,38.93,04042
4,43,136,45,33.09,91,66.91,04043
4,44,144,81,56.25,63,43.75,04044
4,45,444,254,57.21,190,42.79,04045
4,46,168,115,68.45,53,31.55,04046
4,47,313,158,50.48,155,49.52,04047
4,48,350,139,39.71,211,60.29,04048
4,49,192,106,55.21,86,44.79,04049
4,50,251,157,62.55,94,37.45,04050
4,51,257,155,60.31,102,39.69,04051
4,52,278,185,66.55,93,33.45,04052
5,1,270,171,63.33,99,36.67,05001
5,2,184,115,62.5,69,37.5,05002
5,3,105,45,42.86,60,57.14,05003
5,4,171,126,73.68,45,26.32,05004
5,5,188,106,56.38,82,43.62,05005
5,6,267,170,63.67,97,36.33,05006
5,7,251,152,60.56,99,39.44,05007
5,8,264,65,24.62,199,75.38,05008
5,9,224,147,65.63,77,34.38,05009
