ward,precinct,total,THOMAS M. TUNNEY,THOMAS M. TUNNEY Percent,precinct_id
44,1,207,207,100.0,44001
44,2,189,189,100.0,44002
44,3,281,281,100.0,44003
44,4,278,278,100.0,44004
44,5,247,247,100.0,44005
44,6,207,207,100.0,44006
44,7,261,261,100.0,44007
44,8,93,93,100.0,44008
44,9,194,194,100.0,44009
44,10,150,150,100.0,44010
44,11,212,212,100.0,44011
44,12,201,201,100.0,44012
44,13,151,151,100.0,44013
44,14,199,199,100.0,44014
44,15,290,290,100.0,44015
44,16,222,222,100.0,44016
44,17,249,249,100.0,44017
44,18,167,167,100.0,44018
44,19,112,112,100.0,44019
44,20,214,214,100.0,44020
44,21,230,230,100.0,44021
44,22,277,277,100.0,44022
44,23,203,203,100.0,44023
44,24,151,151,100.0,44024
44,25,228,228,100.0,44025
44,26,194,194,100.0,44026
44,27,246,246,100.0,44027
44,28,153,153,100.0,44028
44,29,254,254,100.0,44029
44,30,187,187,100.0,44030
44,31,246,246,100.0,44031
44,32,173,173,100.0,44032
44,33,266,266,100.0,44033
44,34,136,136,100.0,44034
44,35,192,192,100.0,44035
44,36,182,182,100.0,44036
44,37,280,280,100.0,44037
44,38,215,215,100.0,44038
44,39,224,224,100.0,44039
44,40,224,224,100.0,44040
44,41,270,270,100.0,44041
44,42,307,307,100.0,44042
44,43,278,278,100.0,44043
44,44,272,272,100.0,44044
44,45,267,267,100.0,44045
44,46,167,167,100.0,44046
44,47,333,333,100.0,44047
44,48,184,184,100.0,44048
44,49,335,335,100.0,44049
44,50,178,178,100.0,44050
44,51,153,153,100.0,44051
