ward,precinct,total,MARTY QUINN,MARTY QUINN Percent,precinct_id
13,1,260,260,100.0,13001
13,2,172,172,100.0,13002
13,3,262,262,100.0,13003
13,4,408,408,100.0,13004
13,5,277,277,100.0,13005
13,6,222,222,100.0,13006
13,7,219,219,100.0,13007
13,8,275,275,100.0,13008
13,9,264,264,100.0,13009
13,10,204,204,100.0,13010
13,11,207,207,100.0,13011
13,12,203,203,100.0,13012
13,13,281,281,100.0,13013
13,14,217,217,100.0,13014
13,15,315,315,100.0,13015
13,16,289,289,100.0,13016
13,17,253,253,100.0,13017
13,18,192,192,100.0,13018
13,19,269,269,100.0,13019
13,20,195,195,100.0,13020
13,21,276,276,100.0,13021
13,22,200,200,100.0,13022
13,23,234,234,100.0,13023
13,24,246,246,100.0,13024
13,25,232,232,100.0,13025
13,26,258,258,100.0,13026
13,27,261,261,100.0,13027
13,28,202,202,100.0,13028
13,29,210,210,100.0,13029
13,30,323,323,100.0,13030
13,31,225,225,100.0,13031
13,32,195,195,100.0,13032
13,33,202,202,100.0,13033
13,34,342,342,100.0,13034
13,35,257,257,100.0,13035
13,36,120,120,100.0,13036
13,37,234,234,100.0,13037
13,38,252,252,100.0,13038
13,39,239,239,100.0,13039
13,40,257,257,100.0,13040
13,41,221,221,100.0,13041
13,42,225,225,100.0,13042
13,43,266,266,100.0,13043
13,44,337,337,100.0,13044
13,45,290,290,100.0,13045
13,46,265,265,100.0,13046
13,47,248,248,100.0,13047
