ward,precinct,total,EDWARD M. BURKE,EDWARD M. BURKE Percent,precinct_id
14,1,87,87,100.0,14001
14,2,162,162,100.0,14002
14,3,189,189,100.0,14003
14,4,143,143,100.0,14004
14,5,222,222,100.0,14005
14,6,153,153,100.0,14006
14,7,157,157,100.0,14007
14,8,110,110,100.0,14008
14,9,186,186,100.0,14009
14,10,183,183,100.0,14010
14,11,152,152,100.0,14011
14,12,151,151,100.0,14012
14,13,195,195,100.0,14013
14,14,153,153,100.0,14014
14,15,193,193,100.0,14015
14,16,179,179,100.0,14016
14,17,227,227,100.0,14017
14,18,133,133,100.0,14018
14,19,234,234,100.0,14019
14,20,139,139,100.0,14020
14,21,185,185,100.0,14021
14,22,235,235,100.0,14022
14,23,196,196,100.0,14023
14,24,123,123,100.0,14024
14,25,182,182,100.0,14025
14,26,150,150,100.0,14026
14,27,238,238,100.0,14027
14,28,168,168,100.0,14028
14,29,220,220,100.0,14029
14,30,160,160,100.0,14030
14,31,157,157,100.0,14031
14,32,112,112,100.0,14032
14,33,131,131,100.0,14033
14,34,133,133,100.0,14034
14,35,169,169,100.0,14035
