ward,precinct,total,PROCO ''JOE'' MORENO,PROCO ''JOE'' MORENO Percent,RONALD J. BALTIERRA,RONALD J. BALTIERRA Percent,DEBORAH LOPEZ,DEBORAH LOPEZ Percent,precinct_id
1,1,250,187,74.8,9,3.6,54,21.6,01001
1,2,210,140,66.67,12,5.71,58,27.62,01002
1,3,151,122,80.79,11,7.28,18,11.92,01003
1,4,193,153,79.27,13,6.74,27,13.99,01004
1,5,182,135,74.18,17,9.34,30,16.48,01005
1,6,216,151,69.91,12,5.56,53,24.54,01006
1,7,227,170,74.89,7,3.08,50,22.03,01007
1,8,224,166,74.11,14,6.25,44,19.64,01008
1,9,215,172,80.0,6,2.79,37,17.21,01009
1,10,230,159,69.13,29,12.61,42,18.26,01010
1,11,222,155,69.82,13,5.86,54,24.32,01011
1,12,270,186,68.89,14,5.19,70,25.93,01012
1,13,291,229,78.69,8,2.75,54,18.56,01013
1,14,221,171,77.38,7,3.17,43,19.46,01014
1,15,172,115,66.86,5,2.91,52,30.23,01015
1,16,101,87,86.14,6,5.94,8,7.92,01016
1,17,128,97,75.78,8,6.25,23,17.97,01017
1,18,211,125,59.24,6,2.84,80,37.91,01018
1,19,198,123,62.12,5,2.53,70,35.35,01019
1,20,284,238,83.8,7,2.46,39,13.73,01020
1,21,172,131,76.16,19,11.05,22,12.79,01021
1,22,181,113,62.43,9,4.97,59,32.6,01022
1,23,177,137,77.4,4,2.26,36,20.34,01023
1,24,311,233,74.92,7,2.25,71,22.83,01024
1,25,162,106,65.43,18,11.11,38,23.46,01025
1,26,172,120,69.77,7,4.07,45,26.16,01026
1,27,156,109,69.87,3,1.92,44,28.21,01027
1,28,116,85,73.28,8,6.9,23,19.83,01028
1,29,247,192,77.73,9,3.64,46,18.62,01029
1,30,320,248,77.5,8,2.5,64,20.0,01030
1,31,221,172,77.83,9,4.07,40,18.1,01031
1,32,204,153,75.0,6,2.94,45,22.06,01032
1,33,226,161,71.24,6,2.65,59,26.11,01033
1,34,171,128,74.85,5,2.92,38,22.22,01034
1,35,174,129,74.14,14,8.05,31,17.82,01035
1,36,222,158,71.17,11,4.95,53,23.87,01036
1,37,150,106,70.67,5,3.33,39,26.0,01037
1,38,133,96,72.18,5,3.76,32,24.06,01038
1,39,251,196,78.09,11,4.38,44,17.53,01039
1,40,97,63,64.95,6,6.19,28,28.87,01040
1,41,218,160,73.39,10,4.59,48,22.02,01041
1,42,174,136,78.16,6,3.45,32,18.39,01042
1,43,189,137,72.49,3,1.59,49,25.93,01043
1,44,179,116,64.8,5,2.79,58,32.4,01044
1,45,200,147,73.5,8,4.0,45,22.5,01045
1,46,238,196,82.35,10,4.2,32,13.45,01046
1,47,179,132,73.74,9,5.03,38,21.23,01047
1,48,164,118,71.95,18,10.98,28,17.07,01048
1,49,119,90,75.63,8,6.72,21,17.65,01049
1,50,128,94,73.44,1,0.78,33,25.78,01050
