ward,precinct,total,LONA LANE,LONA LANE Percent,"JOSEPH C. ZIEGLER, JR.","JOSEPH C. ZIEGLER, JR. Percent",MICHAEL A. DAVIS,MICHAEL A. DAVIS Percent,MANNY ROMAN,MANNY ROMAN Percent,CHUKS ONYEZIA,CHUKS ONYEZIA Percent,precinct_id
18,1,118,52,44.07,23,19.49,14,11.86,18,15.25,11,9.32,18001
18,2,275,109,39.64,60,21.82,33,12.0,39,14.18,34,12.36,18002
18,3,234,82,35.04,34,14.53,32,13.68,45,19.23,41,17.52,18003
18,4,292,159,54.45,32,10.96,60,20.55,1,0.34,40,13.7,18004
18,5,210,138,65.71,18,8.57,24,11.43,3,1.43,27,12.86,18005
18,6,250,137,54.8,28,11.2,16,6.4,36,14.4,33,13.2,18006
18,7,252,144,57.14,18,7.14,41,16.27,7,2.78,42,16.67,18007
18,8,111,81,72.97,10,9.01,11,9.91,1,0.9,8,7.21,18008
18,9,285,120,42.11,68,23.86,36,12.63,4,1.4,57,20.0,18009
18,10,426,192,45.07,62,14.55,72,16.9,3,0.7,97,22.77,18010
18,11,239,131,54.81,30,12.55,27,11.3,12,5.02,39,16.32,18011
18,12,330,174,52.73,49,14.85,47,14.24,0,0.0,60,18.18,18012
18,13,309,141,45.63,46,14.89,56,18.12,6,1.94,60,19.42,18013
18,14,306,165,53.92,33,10.78,62,20.26,0,0.0,46,15.03,18014
18,15,162,85,52.47,12,7.41,6,3.7,22,13.58,37,22.84,18015
18,16,312,133,42.63,42,13.46,79,25.32,5,1.6,53,16.99,18016
18,17,240,134,55.83,32,13.33,23,9.58,18,7.5,33,13.75,18017
18,18,252,130,51.59,53,21.03,14,5.56,6,2.38,49,19.44,18018
18,19,305,189,61.97,43,14.1,31,10.16,3,0.98,39,12.79,18019
18,20,244,124,50.82,34,13.93,44,18.03,0,0.0,42,17.21,18020
18,21,361,159,44.04,64,17.73,69,19.11,4,1.11,65,18.01,18021
18,22,354,191,53.95,30,8.47,77,21.75,1,0.28,55,15.54,18022
18,23,226,105,46.46,43,19.03,30,13.27,21,9.29,27,11.95,18023
18,24,297,149,50.17,79,26.6,21,7.07,8,2.69,40,13.47,18024
18,25,259,126,48.65,90,34.75,17,6.56,0,0.0,26,10.04,18025
18,26,234,132,56.41,31,13.25,30,12.82,2,0.85,39,16.67,18026
18,27,224,123,54.91,22,9.82,36,16.07,9,4.02,34,15.18,18027
18,28,258,120,46.51,46,17.83,26,10.08,24,9.3,42,16.28,18028
18,29,274,155,56.57,41,14.96,29,10.58,12,4.38,37,13.5,18029
18,30,181,101,55.8,32,17.68,16,8.84,1,0.55,31,17.13,18030
18,31,232,119,51.29,30,12.93,39,16.81,18,7.76,26,11.21,18031
18,32,327,153,46.79,76,23.24,37,11.31,0,0.0,61,18.65,18032
18,33,180,113,62.78,14,7.78,25,13.89,5,2.78,23,12.78,18033
18,34,362,177,48.9,49,13.54,53,14.64,3,0.83,80,22.1,18034
18,35,344,152,44.19,33,9.59,87,25.29,3,0.87,69,20.06,18035
18,36,188,114,60.64,22,11.7,17,9.04,5,2.66,30,15.96,18036
18,37,238,106,44.54,33,13.87,37,15.55,3,1.26,59,24.79,18037
18,38,272,163,59.93,41,15.07,23,8.46,3,1.1,42,15.44,18038
18,39,227,112,49.34,28,12.33,48,21.15,12,5.29,27,11.89,18039
18,40,357,198,55.46,26,7.28,87,24.37,0,0.0,46,12.89,18040
18,41,286,133,46.5,31,10.84,17,5.94,50,17.48,55,19.23,18041
18,42,186,95,51.08,31,16.67,26,13.98,13,6.99,21,11.29,18042
18,43,193,73,37.82,21,10.88,34,17.62,41,21.24,24,12.44,18043
18,44,174,86,49.43,32,18.39,22,12.64,7,4.02,27,15.52,18044
18,45,268,102,38.06,106,39.55,21,7.84,2,0.75,37,13.81,18045
18,46,253,136,53.75,30,11.86,52,20.55,3,1.19,32,12.65,18046
18,47,198,87,43.94,21,10.61,66,33.33,4,2.02,20,10.1,18047
18,48,168,85,50.6,9,5.36,26,15.48,23,13.69,25,14.88,18048
18,49,159,93,58.49,17,10.69,22,13.84,4,2.52,23,14.47,18049
18,50,209,121,57.89,18,8.61,39,18.66,10,4.78,21,10.05,18050
18,51,290,156,53.79,56,19.31,24,8.28,2,0.69,52,17.93,18051
18,52,268,139,51.87,58,21.64,21,7.84,1,0.37,49,18.28,18052
18,53,175,72,41.14,29,16.57,18,10.29,1,0.57,55,31.43,18053
18,54,261,145,55.56,37,14.18,50,19.16,3,1.15,26,9.96,18054
18,55,271,124,45.76,24,8.86,11,4.06,39,14.39,73,26.94,18055
18,56,236,92,38.98,35,14.83,29,12.29,66,27.97,14,5.93,18056
18,57,192,102,53.13,13,6.77,16,8.33,26,13.54,35,18.23,18057
18,58,195,103,52.82,27,13.85,38,19.49,2,1.03,25,12.82,18058
18,59,228,126,55.26,26,11.4,40,17.54,6,2.63,30,13.16,18059
18,60,265,125,47.17,47,17.74,32,12.08,3,1.13,58,21.89,18060
18,61,236,130,55.08,30,12.71,36,15.25,4,1.69,36,15.25,18061
18,62,184,101,54.89,12,6.52,9,4.89,44,23.91,18,9.78,18062
