ward,precinct,total,JOANN THOMPSON,JOANN THOMPSON Percent,ERIC HERMOSILLO,ERIC HERMOSILLO Percent,EDDIE JOHNSON III,EDDIE JOHNSON III Percent,HAL E. BASKIN,HAL E. BASKIN Percent,JAVIER DIAZ,JAVIER DIAZ Percent,TAMEKA GAVIN,TAMEKA GAVIN Percent,JEFFREY L. LEWIS,JEFFREY L. LEWIS Percent,RONALD MITCHELL,RONALD MITCHELL Percent,JONATHAN T. STAMPS,JONATHAN T. STAMPS Percent,precinct_id
16,1,87,42,48.28,13,14.94,4,4.6,4,4.6,8,9.2,5,5.75,2,2.3,6,6.9,3,3.45,16001
16,2,103,62,60.19,1,0.97,3,2.91,21,20.39,1,0.97,10,9.71,0,0.0,2,1.94,3,2.91,16002
16,3,157,93,59.24,2,1.27,4,2.55,44,28.03,0,0.0,3,1.91,0,0.0,9,5.73,2,1.27,16003
16,4,112,26,23.21,47,41.96,1,0.89,8,7.14,22,19.64,5,4.46,0,0.0,0,0.0,3,2.68,16004
16,5,152,72,47.37,2,1.32,6,3.95,53,34.87,2,1.32,1,0.66,4,2.63,8,5.26,4,2.63,16005
16,6,65,28,43.08,10,15.38,0,0.0,18,27.69,2,3.08,5,7.69,0,0.0,0,0.0,2,3.08,16006
16,7,142,92,64.79,9,6.34,5,3.52,21,14.79,9,6.34,2,1.41,1,0.7,1,0.7,2,1.41,16007
16,8,141,55,39.01,5,3.55,2,1.42,19,13.48,6,4.26,39,27.66,0,0.0,2,1.42,13,9.22,16008
16,9,190,86,45.26,5,2.63,6,3.16,62,32.63,1,0.53,2,1.05,24,12.63,3,1.58,1,0.53,16009
16,10,203,93,45.81,7,3.45,2,0.99,30,14.78,3,1.48,21,10.34,0,0.0,1,0.49,46,22.66,16010
16,11,174,69,39.66,30,17.24,1,0.57,38,21.84,21,12.07,4,2.3,1,0.57,8,4.6,2,1.15,16011
16,12,93,49,52.69,5,5.38,3,3.23,14,15.05,4,4.3,6,6.45,1,1.08,4,4.3,7,7.53,16012
16,13,154,50,32.47,70,45.45,1,0.65,10,6.49,20,12.99,0,0.0,1,0.65,1,0.65,1,0.65,16013
16,14,129,59,45.74,0,0.0,7,5.43,45,34.88,3,2.33,2,1.55,3,2.33,10,7.75,0,0.0,16014
