ward,precinct,total,RODERICK T. SAWYER,RODERICK T. SAWYER Percent,FREDDRENNA M. LYLE,FREDDRENNA M. LYLE Percent,BRIAN E. SLEET,BRIAN E. SLEET Percent,SEKUM WALKER,SEKUM WALKER Percent,CASSANDRA GOODRUM-BURTON,CASSANDRA GOODRUM-BURTON Percent,RICHARD A. WOOTEN,RICHARD A. WOOTEN Percent,precinct_id
6,1,320,94,29.38,127,39.69,13,4.06,2,0.63,24,7.5,60,18.75,06001
6,2,273,54,19.78,98,35.9,6,2.2,3,1.1,13,4.76,99,36.26,06002
6,3,288,72,25.0,123,42.71,9,3.13,3,1.04,20,6.94,61,21.18,06003
6,4,166,44,26.51,52,31.33,10,6.02,10,6.02,10,6.02,40,24.1,06004
6,5,113,24,21.24,41,36.28,1,0.88,21,18.58,6,5.31,20,17.7,06005
6,6,235,77,32.77,106,45.11,2,0.85,1,0.43,18,7.66,31,13.19,06006
6,7,230,59,25.65,111,48.26,5,2.17,6,2.61,16,6.96,33,14.35,06007
6,8,342,84,24.56,150,43.86,6,1.75,13,3.8,17,4.97,72,21.05,06008
6,9,253,27,10.67,134,52.96,3,1.19,0,0.0,12,4.74,77,30.43,06009
6,10,373,75,20.11,204,54.69,8,2.14,4,1.07,20,5.36,62,16.62,06010
6,11,265,120,45.28,100,37.74,6,2.26,0,0.0,16,6.04,23,8.68,06011
6,12,176,40,22.73,66,37.5,8,4.55,8,4.55,16,9.09,38,21.59,06012
6,13,221,40,18.1,97,43.89,0,0.0,4,1.81,8,3.62,72,32.58,06013
6,14,240,46,19.17,101,42.08,6,2.5,12,5.0,23,9.58,52,21.67,06014
6,15,154,30,19.48,70,45.45,3,1.95,8,5.19,11,7.14,32,20.78,06015
6,16,312,85,27.24,140,44.87,6,1.92,14,4.49,12,3.85,55,17.63,06016
6,17,308,70,22.73,139,45.13,3,0.97,1,0.32,16,5.19,79,25.65,06017
6,18,141,41,29.08,57,40.43,2,1.42,8,5.67,9,6.38,24,17.02,06018
6,19,288,81,28.13,133,46.18,2,0.69,6,2.08,13,4.51,53,18.4,06019
6,20,220,90,40.91,90,40.91,2,0.91,6,2.73,16,7.27,16,7.27,06020
6,21,268,46,17.16,141,52.61,4,1.49,0,0.0,12,4.48,65,24.25,06021
6,22,234,41,17.52,127,54.27,6,2.56,1,0.43,10,4.27,49,20.94,06022
6,23,206,45,21.84,83,40.29,2,0.97,5,2.43,10,4.85,61,29.61,06023
6,24,231,57,24.68,102,44.16,3,1.3,4,1.73,11,4.76,54,23.38,06024
6,25,172,32,18.6,60,34.88,2,1.16,1,0.58,13,7.56,64,37.21,06025
6,26,283,59,20.85,112,39.58,8,2.83,5,1.77,6,2.12,93,32.86,06026
6,27,313,49,15.65,110,35.14,11,3.51,4,1.28,19,6.07,120,38.34,06027
6,28,439,75,17.08,220,50.11,10,2.28,3,0.68,23,5.24,108,24.6,06028
6,29,326,70,21.47,156,47.85,10,3.07,1,0.31,36,11.04,53,16.26,06029
6,30,208,50,24.04,87,41.83,6,2.88,8,3.85,13,6.25,44,21.15,06030
6,31,306,76,24.84,158,51.63,2,0.65,3,0.98,17,5.56,50,16.34,06031
6,32,230,78,33.91,106,46.09,4,1.74,1,0.43,12,5.22,29,12.61,06032
6,33,300,136,45.33,107,35.67,5,1.67,3,1.0,12,4.0,37,12.33,06033
6,34,205,39,19.02,91,44.39,2,0.98,5,2.44,42,20.49,26,12.68,06034
6,35,239,52,21.76,117,48.95,3,1.26,11,4.6,9,3.77,47,19.67,06035
6,36,139,37,26.62,66,47.48,1,0.72,8,5.76,12,8.63,15,10.79,06036
6,37,320,67,20.94,131,40.94,16,5.0,2,0.63,42,13.13,62,19.38,06037
6,38,251,66,26.29,118,47.01,2,0.8,5,1.99,19,7.57,41,16.33,06038
6,39,195,65,33.33,91,46.67,2,1.03,1,0.51,11,5.64,25,12.82,06039
6,40,121,33,27.27,49,40.5,0,0.0,4,3.31,9,7.44,26,21.49,06040
6,41,296,64,21.62,129,43.58,26,8.78,2,0.68,17,5.74,58,19.59,06041
