ward,precinct,total,BRENDAN REILLY,BRENDAN REILLY Percent,precinct_id
42,1,307,307,100.0,42001
42,2,152,152,100.0,42002
42,3,216,216,100.0,42003
42,4,235,235,100.0,42004
42,5,210,210,100.0,42005
42,6,438,438,100.0,42006
42,7,189,189,100.0,42007
42,8,294,294,100.0,42008
42,9,501,501,100.0,42009
42,10,187,187,100.0,42010
42,11,267,267,100.0,42011
42,12,178,178,100.0,42012
42,13,378,378,100.0,42013
42,14,216,216,100.0,42014
42,15,267,267,100.0,42015
42,16,183,183,100.0,42016
42,17,348,348,100.0,42017
42,18,449,449,100.0,42018
42,19,83,83,100.0,42019
42,20,122,122,100.0,42020
42,21,177,177,100.0,42021
42,22,163,163,100.0,42022
42,23,296,296,100.0,42023
42,24,263,263,100.0,42024
42,25,211,211,100.0,42025
42,26,235,235,100.0,42026
42,27,281,281,100.0,42027
42,28,220,220,100.0,42028
42,29,263,263,100.0,42029
42,30,160,160,100.0,42030
42,31,237,237,100.0,42031
42,32,198,198,100.0,42032
42,33,296,296,100.0,42033
42,34,204,204,100.0,42034
42,35,199,199,100.0,42035
42,36,155,155,100.0,42036
42,37,199,199,100.0,42037
42,38,179,179,100.0,42038
42,39,114,114,100.0,42039
42,40,245,245,100.0,42040
42,41,345,345,100.0,42041
42,42,144,144,100.0,42042
42,43,254,254,100.0,42043
42,44,196,196,100.0,42044
42,45,216,216,100.0,42045
42,46,178,178,100.0,42046
42,47,138,138,100.0,42047
42,48,189,189,100.0,42048
42,49,50,50,100.0,42049
42,50,401,401,100.0,42050
42,51,475,475,100.0,42051
42,52,127,127,100.0,42052
42,53,293,293,100.0,42053
42,54,166,166,100.0,42054
42,55,248,248,100.0,42055
42,56,313,313,100.0,42056
42,57,166,166,100.0,42057
42,58,165,165,100.0,42058
42,59,293,293,100.0,42059
42,60,95,95,100.0,42060
42,61,169,169,100.0,42061
42,62,150,150,100.0,42062
42,63,230,230,100.0,42063
42,64,59,59,100.0,42064
42,65,314,314,100.0,42065
42,66,207,207,100.0,42066
42,67,440,440,100.0,42067
42,68,232,232,100.0,42068
42,69,125,125,100.0,42069
