ward,precinct,total,Phil Huckelberry,Phil Huckelberry Percent,precinct_id
38,1,1,1,100.0,38001
38,2,0,0,0.0,38002
38,3,0,0,0.0,38003
38,4,0,0,0.0,38004
38,5,1,1,100.0,38005
38,6,0,0,0.0,38006
38,7,0,0,0.0,38007
38,8,1,1,100.0,38008
38,9,0,0,0.0,38009
38,10,0,0,0.0,38010
38,11,0,0,0.0,38011
38,12,0,0,0.0,38012
38,13,0,0,0.0,38013
38,14,2,2,100.0,38014
38,15,1,1,100.0,38015
38,16,0,0,0.0,38016
38,17,1,1,100.0,38017
38,18,1,1,100.0,38018
38,19,0,0,0.0,38019
38,20,0,0,0.0,38020
38,21,0,0,0.0,38021
38,22,2,2,100.0,38022
38,23,0,0,0.0,38023
38,24,0,0,0.0,38024
38,25,0,0,0.0,38025
38,26,0,0,0.0,38026
38,27,0,0,0.0,38027
38,28,0,0,0.0,38028
38,29,0,0,0.0,38029
38,30,0,0,0.0,38030
38,31,0,0,0.0,38031
38,32,0,0,0.0,38032
38,33,1,1,100.0,38033
38,34,0,0,0.0,38034
38,35,0,0,0.0,38035
38,36,0,0,0.0,38036
38,37,0,0,0.0,38037
38,38,1,1,100.0,38038
38,39,0,0,0.0,38039
38,40,0,0,0.0,38040
38,41,1,1,100.0,38041
38,42,0,0,0.0,38042
38,43,0,0,0.0,38043
38,44,0,0,0.0,38044
38,45,0,0,0.0,38045
