ward,precinct,total,Charles J. Wheelan,Charles J. Wheelan Percent,Sara Feigenholtz,Sara Feigenholtz Percent,John A. Fritchey,John A. Fritchey Percent,Victor A. Forys,Victor A. Forys Percent,Jan H. Donatelli,Jan H. Donatelli Percent,Frank Annunzio,Frank Annunzio Percent,Carlos A. Monteagudo,Carlos A. Monteagudo Percent,Paul J. Bryar,Paul J. Bryar Percent,Tom Geoghegan,Tom Geoghegan Percent,Cary Capparelli,Cary Capparelli Percent,Mike Quigley,Mike Quigley Percent,Patrick J. O'Connor,Patrick J. O'Connor Percent,precinct_id
33,18,36,6,16.67,4,11.11,7,19.44,0,0.0,1,2.78,1,2.78,0,0.0,0,0.0,3,8.33,0,0.0,10,27.78,4,11.11,33018
33,22,121,2,1.65,4,3.31,89,73.55,0,0.0,1,0.83,0,0.0,0,0.0,0,0.0,6,4.96,0,0.0,16,13.22,3,2.48,33022
33,23,119,2,1.68,23,19.33,20,16.81,5,4.2,1,0.84,0,0.0,0,0.0,0,0.0,19,15.97,3,2.52,38,31.93,8,6.72,33023
33,24,219,30,13.7,42,19.18,33,15.07,2,0.91,2,0.91,1,0.46,1,0.46,0,0.0,31,14.16,0,0.0,59,26.94,18,8.22,33024
33,25,149,4,2.68,24,16.11,59,39.6,12,8.05,5,3.36,0,0.0,1,0.67,0,0.0,8,5.37,2,1.34,26,17.45,8,5.37,33025
35,22,33,2,6.06,5,15.15,4,12.12,0,0.0,1,3.03,0,0.0,1,3.03,1,3.03,3,9.09,0,0.0,14,42.42,2,6.06,35022
35,33,90,2,2.22,14,15.56,8,8.89,29,32.22,0,0.0,0,0.0,6,6.67,1,1.11,7,7.78,0,0.0,16,17.78,7,7.78,35033
36,1,75,5,6.67,5,6.67,22,29.33,8,10.67,1,1.33,3,4.0,0,0.0,1,1.33,8,10.67,0,0.0,16,21.33,6,8.0,36001
36,2,77,0,0.0,13,16.88,16,20.78,17,22.08,2,2.6,3,3.9,0,0.0,0,0.0,2,2.6,2,2.6,20,25.97,2,2.6,36002
36,3,186,5,2.69,33,17.74,86,46.24,11,5.91,4,2.15,2,1.08,5,2.69,1,0.54,4,2.15,4,2.15,22,11.83,9,4.84,36003
36,5,106,3,2.83,6,5.66,18,16.98,26,24.53,3,2.83,6,5.66,0,0.0,2,1.89,7,6.6,6,5.66,17,16.04,12,11.32,36005
36,6,119,3,2.52,9,7.56,31,26.05,36,30.25,2,1.68,0,0.0,0,0.0,0,0.0,4,3.36,5,4.2,21,17.65,8,6.72,36006
36,7,104,0,0.0,10,9.62,21,20.19,37,35.58,1,0.96,7,6.73,0,0.0,2,1.92,1,0.96,1,0.96,15,14.42,9,8.65,36007
36,8,129,3,2.33,10,7.75,23,17.83,46,35.66,1,0.78,4,3.1,0,0.0,6,4.65,2,1.55,1,0.78,22,17.05,11,8.53,36008
36,9,94,3,3.19,6,6.38,21,22.34,36,38.3,2,2.13,1,1.06,0,0.0,1,1.06,1,1.06,1,1.06,15,15.96,7,7.45,36009
36,10,61,0,0.0,10,16.39,6,9.84,22,36.07,4,6.56,0,0.0,2,3.28,1,1.64,1,1.64,2,3.28,11,18.03,2,3.28,36010
36,11,162,6,3.7,10,6.17,79,48.77,28,17.28,5,3.09,4,2.47,3,1.85,2,1.23,3,1.85,3,1.85,12,7.41,7,4.32,36011
36,12,96,3,3.13,6,6.25,35,36.46,21,21.88,1,1.04,2,2.08,0,0.0,2,2.08,2,2.08,5,5.21,10,10.42,9,9.38,36012
36,13,244,4,1.64,13,5.33,136,55.74,57,23.36,3,1.23,0,0.0,1,0.41,4,1.64,3,1.23,3,1.23,17,6.97,3,1.23,36013
36,14,170,6,3.53,7,4.12,99,58.24,33,19.41,0,0.0,3,1.76,1,0.59,3,1.76,2,1.18,0,0.0,14,8.24,2,1.18,36014
36,15,76,5,6.58,18,23.68,13,17.11,15,19.74,6,7.89,0,0.0,0,0.0,3,3.95,3,3.95,1,1.32,8,10.53,4,5.26,36015
36,16,152,6,3.95,20,13.16,67,44.08,8,5.26,7,4.61,6,3.95,0,0.0,1,0.66,5,3.29,2,1.32,21,13.82,9,5.92,36016
36,17,124,9,7.26,5,4.03,27,21.77,24,19.35,0,0.0,8,6.45,0,0.0,2,1.61,0,0.0,3,2.42,32,25.81,14,11.29,36017
36,18,159,4,2.52,13,8.18,39,24.53,24,15.09,4,2.52,8,5.03,0,0.0,5,3.14,6,3.77,7,4.4,28,17.61,21,13.21,36018
36,19,88,3,3.41,14,15.91,25,28.41,16,18.18,0,0.0,0,0.0,3,3.41,4,4.55,3,3.41,2,2.27,11,12.5,7,7.95,36019
36,20,162,5,3.09,5,3.09,75,46.3,48,29.63,0,0.0,3,1.85,0,0.0,6,3.7,1,0.62,5,3.09,7,4.32,7,4.32,36020
36,21,215,4,1.86,22,10.23,76,35.35,48,22.33,2,0.93,9,4.19,2,0.93,1,0.47,6,2.79,10,4.65,29,13.49,6,2.79,36021
36,22,135,6,4.44,16,11.85,36,26.67,32,23.7,4,2.96,3,2.22,2,1.48,1,0.74,10,7.41,0,0.0,18,13.33,7,5.19,36022
36,25,84,3,3.57,2,2.38,23,27.38,25,29.76,0,0.0,1,1.19,0,0.0,2,2.38,2,2.38,0,0.0,19,22.62,7,8.33,36025
36,26,119,5,4.2,10,8.4,9,7.56,59,49.58,4,3.36,4,3.36,3,2.52,3,2.52,4,3.36,3,2.52,10,8.4,5,4.2,36026
36,27,58,2,3.45,10,17.24,13,22.41,9,15.52,0,0.0,2,3.45,1,1.72,1,1.72,0,0.0,2,3.45,10,17.24,8,13.79,36027
36,28,146,3,2.05,10,6.85,36,24.66,66,45.21,0,0.0,2,1.37,3,2.05,0,0.0,4,2.74,5,3.42,15,10.27,2,1.37,36028
36,29,106,1,0.94,11,10.38,22,20.75,28,26.42,0,0.0,3,2.83,0,0.0,3,2.83,3,2.83,5,4.72,18,16.98,12,11.32,36029
36,30,115,1,0.87,8,6.96,36,31.3,19,16.52,5,4.35,10,8.7,0,0.0,1,0.87,5,4.35,2,1.74,18,15.65,10,8.7,36030
36,31,174,7,4.02,4,2.3,75,43.1,44,25.29,3,1.72,8,4.6,0,0.0,5,2.87,3,1.72,2,1.15,18,10.34,5,2.87,36031
36,32,95,1,1.05,12,12.63,26,27.37,24,25.26,1,1.05,7,7.37,0,0.0,3,3.16,2,2.11,2,2.11,8,8.42,9,9.47,36032
36,33,29,3,10.34,3,10.34,9,31.03,2,6.9,0,0.0,0,0.0,0,0.0,1,3.45,1,3.45,1,3.45,8,27.59,1,3.45,36033
36,34,70,1,1.43,3,4.29,20,28.57,20,28.57,0,0.0,2,2.86,0,0.0,1,1.43,2,2.86,1,1.43,13,18.57,7,10.0,36034
36,35,136,1,0.74,7,5.15,51,37.5,41,30.15,1,0.74,4,2.94,1,0.74,1,0.74,1,0.74,2,1.47,18,13.24,8,5.88,36035
36,36,86,2,2.33,15,17.44,16,18.6,30,34.88,0,0.0,2,2.33,2,2.33,0,0.0,3,3.49,0,0.0,15,17.44,1,1.16,36036
36,37,86,2,2.33,3,3.49,13,15.12,31,36.05,2,2.33,0,0.0,2,2.33,3,3.49,3,3.49,1,1.16,20,23.26,6,6.98,36037
36,38,64,0,0.0,9,14.06,19,29.69,15,23.44,0,0.0,4,6.25,0,0.0,1,1.56,0,0.0,1,1.56,10,15.63,5,7.81,36038
36,39,94,3,3.19,8,8.51,29,30.85,29,30.85,4,4.26,3,3.19,0,0.0,1,1.06,1,1.06,2,2.13,7,7.45,7,7.45,36039
36,40,125,7,5.6,9,7.2,32,25.6,39,31.2,3,2.4,6,4.8,0,0.0,2,1.6,7,5.6,4,3.2,13,10.4,3,2.4,36040
36,41,117,3,2.56,17,14.53,24,20.51,48,41.03,0,0.0,2,1.71,0,0.0,1,0.85,10,8.55,0,0.0,6,5.13,6,5.13,36041
36,42,88,3,3.41,4,4.55,23,26.14,24,27.27,0,0.0,7,7.95,0,0.0,1,1.14,0,0.0,1,1.14,18,20.45,7,7.95,36042
36,43,90,4,4.44,16,17.78,20,22.22,25,27.78,0,0.0,2,2.22,4,4.44,2,2.22,2,2.22,1,1.11,9,10.0,5,5.56,36043
36,45,81,1,1.23,9,11.11,27,33.33,4,4.94,2,2.47,3,3.7,0,0.0,1,1.23,5,6.17,2,2.47,22,27.16,5,6.17,36045
