ward,precinct,total,MICHAEL A. DEROSS,MICHAEL A. DEROSS Percent,ROBERT S. MOLARO,ROBERT S. MOLARO Percent,precinct_id
3,4,199,4,2.01,195,97.99,03004
3,10,385,14,3.64,371,96.36,03010
3,12,276,16,5.8,260,94.2,03012
3,13,103,3,2.91,100,97.09,03013
3,21,171,4,2.34,167,97.66,03021
3,36,149,6,4.03,143,95.97,03036
3,42,175,4,2.29,171,97.71,03042
3,44,223,4,1.79,219,98.21,03044
3,46,38,3,7.89,35,92.11,03046
3,48,218,3,1.38,215,98.62,03048
3,49,243,5,2.06,238,97.94,03049
3,50,263,9,3.42,254,96.58,03050
3,51,3,1,33.33,2,66.67,03051
3,52,340,10,2.94,330,97.06,03052
4,36,347,10,2.88,337,97.12,04036
4,42,326,7,2.15,319,97.85,04042
5,13,352,13,3.69,339,96.31,05013
5,16,321,11,3.43,310,96.57,05016
11,22,200,30,15.0,170,85.0,11022
11,28,70,4,5.71,66,94.29,11028
11,36,195,38,19.49,157,80.51,11036
11,49,225,25,11.11,200,88.89,11049
12,9,0,0,0.0,0,0.0,12009
12,10,151,22,14.57,129,85.43,12010
12,17,103,17,16.5,86,83.5,12017
12,24,63,13,20.63,50,79.37,12024
12,27,133,41,30.83,92,69.17,12027
14,2,256,47,18.36,209,81.64,14002
14,3,353,38,10.76,315,89.24,14003
14,4,239,44,18.41,195,81.59,14004
14,5,333,29,8.71,304,91.29,14005
14,8,33,7,21.21,26,78.79,14008
14,9,269,30,11.15,239,88.85,14009
14,11,261,28,10.73,233,89.27,14011
14,13,295,61,20.68,234,79.32,14013
14,14,212,27,12.74,185,87.26,14014
14,16,274,48,17.52,226,82.48,14016
14,18,185,26,14.05,159,85.95,14018
14,19,310,28,9.03,282,90.97,14019
14,23,210,31,14.76,179,85.24,14023
14,24,269,40,14.87,229,85.13,14024
14,28,225,37,16.44,188,83.56,14028
14,29,295,38,12.88,257,87.12,14029
14,30,283,45,15.9,238,84.1,14030
14,31,241,19,7.88,222,92.12,14031
14,32,322,36,11.18,286,88.82,14032
14,33,212,16,7.55,196,92.45,14033
