ward,precinct,total,MARY E. FLOWERS,MARY E. FLOWERS Percent,precinct_id
6,1,386,386,100.0,06001
6,8,331,331,100.0,06008
6,16,360,360,100.0,06016
6,19,1,1,100.0,06019
6,20,84,84,100.0,06020
6,35,431,431,100.0,06035
6,41,377,377,100.0,06041
6,44,357,357,100.0,06044
6,45,229,229,100.0,06045
6,51,301,301,100.0,06051
6,53,333,333,100.0,06053
6,57,236,236,100.0,06057
6,60,237,237,100.0,06060
13,11,0,0,0.0,13011
13,13,221,221,100.0,13013
13,17,160,160,100.0,13017
13,18,200,200,100.0,13018
13,19,155,155,100.0,13019
13,20,238,238,100.0,13020
13,26,184,184,100.0,13026
13,30,230,230,100.0,13030
13,31,210,210,100.0,13031
13,40,241,241,100.0,13040
13,41,194,194,100.0,13041
13,43,181,181,100.0,13043
13,44,0,0,0.0,13044
13,45,219,219,100.0,13045
13,50,183,183,100.0,13050
13,55,282,282,100.0,13055
13,60,144,144,100.0,13060
14,44,148,148,100.0,14044
15,3,317,317,100.0,15003
15,10,409,409,100.0,15010
15,12,320,320,100.0,15012
15,13,256,256,100.0,15013
15,14,151,151,100.0,15014
15,16,469,469,100.0,15016
15,25,326,326,100.0,15025
15,27,327,327,100.0,15027
15,28,527,527,100.0,15028
15,32,278,278,100.0,15032
15,41,357,357,100.0,15041
15,45,282,282,100.0,15045
17,2,354,354,100.0,17002
17,4,450,450,100.0,17004
17,5,283,283,100.0,17005
17,7,410,410,100.0,17007
17,10,340,340,100.0,17010
17,11,314,314,100.0,17011
17,12,331,331,100.0,17012
17,15,428,428,100.0,17015
17,18,352,352,100.0,17018
17,21,415,415,100.0,17021
17,22,363,363,100.0,17022
17,24,383,383,100.0,17024
17,25,237,237,100.0,17025
17,26,406,406,100.0,17026
17,27,420,420,100.0,17027
17,29,353,353,100.0,17029
17,30,363,363,100.0,17030
17,31,194,194,100.0,17031
17,32,383,383,100.0,17032
17,38,349,349,100.0,17038
17,40,356,356,100.0,17040
17,51,364,364,100.0,17051
17,52,472,472,100.0,17052
17,53,330,330,100.0,17053
17,54,359,359,100.0,17054
17,55,284,284,100.0,17055
18,1,349,349,100.0,18001
18,2,289,289,100.0,18002
18,3,347,347,100.0,18003
18,5,358,358,100.0,18005
18,6,165,165,100.0,18006
18,8,295,295,100.0,18008
18,15,305,305,100.0,18015
18,17,408,408,100.0,18017
18,19,206,206,100.0,18019
18,20,371,371,100.0,18020
18,23,268,268,100.0,18023
18,27,365,365,100.0,18027
18,28,314,314,100.0,18028
18,29,0,0,0.0,18029
18,30,432,432,100.0,18030
18,31,284,284,100.0,18031
18,33,339,339,100.0,18033
18,38,423,423,100.0,18038
18,42,341,341,100.0,18042
18,43,303,303,100.0,18043
18,48,204,204,100.0,18048
18,50,301,301,100.0,18050
18,51,363,363,100.0,18051
18,53,419,419,100.0,18053
18,56,347,347,100.0,18056
18,57,416,416,100.0,18057
18,58,322,322,100.0,18058
18,59,414,414,100.0,18059
18,60,326,326,100.0,18060
18,61,431,431,100.0,18061
21,2,278,278,100.0,21002
21,34,383,383,100.0,21034
21,62,406,406,100.0,21062
21,65,324,324,100.0,21065
21,70,241,241,100.0,21070
23,7,239,239,100.0,23007
23,22,237,237,100.0,23022
23,25,240,240,100.0,23025
