ward,precinct,total,PATRICIA THERESA VLASIS,PATRICIA THERESA VLASIS Percent,JAMES D. BROSNAHAN,JAMES D. BROSNAHAN Percent,precinct_id
19,9,312,63,20.19,249,79.81,19009
19,15,259,64,24.71,195,75.29,19015
19,39,260,18,6.92,242,93.08,19039
19,47,49,7,14.29,42,85.71,19047
