ward,precinct,total,SHIRLEY M. JONES,SHIRLEY M. JONES Percent,precinct_id
1,12,0,0,0.0,01012
1,31,118,118,100.0,01031
2,1,450,450,100.0,02001
2,2,454,454,100.0,02002
2,3,290,290,100.0,02003
2,4,125,125,100.0,02004
2,5,232,232,100.0,02005
2,6,212,212,100.0,02006
2,7,385,385,100.0,02007
2,8,346,346,100.0,02008
2,9,188,188,100.0,02009
2,10,197,197,100.0,02010
2,11,509,509,100.0,02011
2,12,305,305,100.0,02012
2,13,440,440,100.0,02013
2,14,339,339,100.0,02014
2,16,209,209,100.0,02016
2,20,313,313,100.0,02020
2,22,556,556,100.0,02022
2,24,276,276,100.0,02024
2,25,158,158,100.0,02025
2,26,252,252,100.0,02026
2,28,359,359,100.0,02028
2,29,250,250,100.0,02029
2,30,230,230,100.0,02030
2,31,317,317,100.0,02031
2,32,241,241,100.0,02032
2,35,136,136,100.0,02035
2,36,211,211,100.0,02036
2,37,414,414,100.0,02037
2,38,335,335,100.0,02038
2,40,401,401,100.0,02040
2,41,129,129,100.0,02041
2,42,136,136,100.0,02042
2,43,386,386,100.0,02043
2,44,293,293,100.0,02044
2,46,484,484,100.0,02046
2,52,548,548,100.0,02052
2,54,423,423,100.0,02054
3,3,196,196,100.0,03003
3,23,192,192,100.0,03023
3,27,101,101,100.0,03027
3,28,278,278,100.0,03028
3,33,268,268,100.0,03033
3,38,301,301,100.0,03038
3,41,204,204,100.0,03041
3,45,149,149,100.0,03045
4,20,190,190,100.0,04020
4,31,143,143,100.0,04031
4,37,252,252,100.0,04037
4,52,128,128,100.0,04052
11,13,304,304,100.0,11013
11,43,301,301,100.0,11043
11,50,124,124,100.0,11050
11,52,278,278,100.0,11052
25,3,150,150,100.0,25003
25,10,106,106,100.0,25010
25,14,226,226,100.0,25014
25,16,155,155,100.0,25016
25,18,192,192,100.0,25018
25,21,194,194,100.0,25021
27,1,1210,1210,100.0,27001
27,5,122,122,100.0,27005
27,6,274,274,100.0,27006
27,7,93,93,100.0,27007
27,9,270,270,100.0,27009
27,10,397,397,100.0,27010
27,12,83,83,100.0,27012
27,14,168,168,100.0,27014
27,17,457,457,100.0,27017
27,18,137,137,100.0,27018
27,20,463,463,100.0,27020
27,21,123,123,100.0,27021
27,28,247,247,100.0,27028
27,33,243,243,100.0,27033
27,37,334,334,100.0,27037
27,39,140,140,100.0,27039
27,43,217,217,100.0,27043
27,50,350,350,100.0,27050
27,51,170,170,100.0,27051
27,52,50,50,100.0,27052
27,53,538,538,100.0,27053
27,54,303,303,100.0,27054
27,55,96,96,100.0,27055
28,53,0,0,0.0,28053
32,46,0,0,0.0,32046
42,12,238,238,100.0,42012
42,14,765,765,100.0,42014
42,18,210,210,100.0,42018
42,21,281,281,100.0,42021
42,26,421,421,100.0,42026
42,32,248,248,100.0,42032
42,39,370,370,100.0,42039
42,48,185,185,100.0,42048
42,49,270,270,100.0,42049
42,67,347,347,100.0,42067
43,55,249,249,100.0,43055
