ward,precinct,total,KARL GROTH,KARL GROTH Percent,WILLIAM O. LIPINSKI,WILLIAM O. LIPINSKI Percent,precinct_id
12,11,0,0,0.0,0,0.0,12011
13,1,281,37,13.17,244,86.83,13001
13,2,227,30,13.22,197,86.78,13002
13,3,345,52,15.07,293,84.93,13003
13,4,380,63,16.58,317,83.42,13004
13,5,296,21,7.09,275,92.91,13005
13,6,299,37,12.37,262,87.63,13006
13,7,334,46,13.77,288,86.23,13007
13,8,310,52,16.77,258,83.23,13008
13,9,334,35,10.48,299,89.52,13009
13,10,287,39,13.59,248,86.41,13010
13,11,308,43,13.96,265,86.04,13011
13,12,341,33,9.68,308,90.32,13012
13,13,356,32,8.99,324,91.01,13013
13,14,234,34,14.53,200,85.47,13014
13,15,361,32,8.86,329,91.14,13015
13,16,289,36,12.46,253,87.54,13016
13,17,225,23,10.22,202,89.78,13017
13,18,290,41,14.14,249,85.86,13018
13,19,249,29,11.65,220,88.35,13019
13,20,290,37,12.76,253,87.24,13020
13,21,261,42,16.09,219,83.91,13021
13,22,334,28,8.38,306,91.62,13022
13,23,288,25,8.68,263,91.32,13023
13,24,402,49,12.19,353,87.81,13024
13,25,267,43,16.1,224,83.9,13025
13,26,263,24,9.13,239,90.87,13026
13,27,329,57,17.33,272,82.67,13027
13,28,258,30,11.63,228,88.37,13028
13,29,340,37,10.88,303,89.12,13029
13,30,344,28,8.14,316,91.86,13030
13,31,317,37,11.67,280,88.33,13031
13,32,260,23,8.85,237,91.15,13032
13,33,327,45,13.76,282,86.24,13033
13,34,307,43,14.01,264,85.99,13034
13,35,379,49,12.93,330,87.07,13035
13,36,260,40,15.38,220,84.62,13036
13,37,242,29,11.98,213,88.02,13037
13,38,186,27,14.52,159,85.48,13038
13,39,317,33,10.41,284,89.59,13039
13,40,296,33,11.15,263,88.85,13040
13,41,314,35,11.15,279,88.85,13041
13,42,371,52,14.02,319,85.98,13042
13,43,263,14,5.32,249,94.68,13043
13,44,275,46,16.73,229,83.27,13044
13,45,294,29,9.86,265,90.14,13045
13,46,310,23,7.42,287,92.58,13046
13,47,249,27,10.84,222,89.16,13047
13,48,301,46,15.28,255,84.72,13048
13,49,268,33,12.31,235,87.69,13049
13,50,415,36,8.67,379,91.33,13050
13,51,280,27,9.64,253,90.36,13051
13,52,389,44,11.31,345,88.69,13052
13,53,406,55,13.55,351,86.45,13053
13,54,345,33,9.57,312,90.43,13054
13,55,381,53,13.91,328,86.09,13055
13,56,393,53,13.49,340,86.51,13056
13,57,373,60,16.09,313,83.91,13057
13,58,407,23,5.65,384,94.35,13058
13,59,290,27,9.31,263,90.69,13059
13,60,366,15,4.1,351,95.9,13060
13,61,430,53,12.33,377,87.67,13061
13,62,350,27,7.71,323,92.29,13062
13,63,396,53,13.38,343,86.62,13063
14,1,242,34,14.05,208,85.95,14001
14,2,249,32,12.85,217,87.15,14002
14,3,347,34,9.8,313,90.2,14003
14,4,233,38,16.31,195,83.69,14004
14,9,250,16,6.4,234,93.6,14009
14,11,255,24,9.41,231,90.59,14011
14,13,280,41,14.64,239,85.36,14013
14,16,266,34,12.78,232,87.22,14016
14,27,384,41,10.68,343,89.32,14027
14,28,221,24,10.86,197,89.14,14028
14,34,245,20,8.16,225,91.84,14034
14,35,135,17,12.59,118,87.41,14035
14,39,263,48,18.25,215,81.75,14039
14,40,226,28,12.39,198,87.61,14040
14,43,278,39,14.03,239,85.97,14043
14,44,318,38,11.95,280,88.05,14044
14,45,267,37,13.86,230,86.14,14045
14,47,321,24,7.48,297,92.52,14047
15,12,362,40,11.05,322,88.95,15012
15,45,306,39,12.75,267,87.25,15045
18,1,350,18,5.14,332,94.86,18001
18,2,294,23,7.82,271,92.18,18002
18,7,196,21,10.71,175,89.29,18007
18,10,473,36,7.61,437,92.39,18010
18,11,280,30,10.71,250,89.29,18011
18,13,317,19,5.99,298,94.01,18013
18,17,428,51,11.92,377,88.08,18017
18,21,422,32,7.58,390,92.42,18021
18,23,261,22,8.43,239,91.57,18023
18,29,314,49,15.61,265,84.39,18029
18,31,250,12,4.8,238,95.2,18031
18,36,178,15,8.43,163,91.57,18036
18,49,240,23,9.58,217,90.42,18049
22,1,259,9,3.47,250,96.53,22001
22,15,311,9,2.89,302,97.11,22015
22,22,215,4,1.86,211,98.14,22022
23,1,370,68,18.38,302,81.62,23001
23,2,398,58,14.57,340,85.43,23002
23,3,368,82,22.28,286,77.72,23003
23,4,318,52,16.35,266,83.65,23004
23,5,335,37,11.04,298,88.96,23005
23,6,413,36,8.72,377,91.28,23006
23,7,289,42,14.53,247,85.47,23007
23,8,341,41,12.02,300,87.98,23008
23,9,262,40,15.27,222,84.73,23009
23,10,412,34,8.25,378,91.75,23010
23,11,422,56,13.27,366,86.73,23011
23,12,377,71,18.83,306,81.17,23012
23,13,450,59,13.11,391,86.89,23013
23,14,296,31,10.47,265,89.53,23014
23,15,384,76,19.79,308,80.21,23015
23,16,407,65,15.97,342,84.03,23016
23,17,455,79,17.36,376,82.64,23017
23,18,323,56,17.34,267,82.66,23018
23,19,388,41,10.57,347,89.43,23019
23,20,347,34,9.8,313,90.2,23020
23,21,347,71,20.46,276,79.54,23021
23,22,295,39,13.22,256,86.78,23022
23,23,334,51,15.27,283,84.73,23023
23,24,290,51,17.59,239,82.41,23024
23,25,323,24,7.43,299,92.57,23025
23,26,370,75,20.27,295,79.73,23026
23,27,332,50,15.06,282,84.94,23027
23,28,360,55,15.28,305,84.72,23028
23,29,273,41,15.02,232,84.98,23029
23,30,370,45,12.16,325,87.84,23030
23,31,364,44,12.09,320,87.91,23031
23,32,435,55,12.64,380,87.36,23032
23,33,478,67,14.02,411,85.98,23033
23,34,351,50,14.25,301,85.75,23034
23,35,232,8,3.45,224,96.55,23035
