ward,precinct,total,TERRENCE F. GOGGIN,TERRENCE F. GOGGIN Percent,MICHAEL J. MADIGAN,MICHAEL J. MADIGAN Percent,precinct_id
13,1,305,45,14.75,260,85.25,13001
13,2,235,33,14.04,202,85.96,13002
13,3,354,57,16.1,297,83.9,13003
13,4,388,64,16.49,324,83.51,13004
13,5,305,25,8.2,280,91.8,13005
13,6,320,46,14.38,274,85.63,13006
13,7,343,41,11.95,302,88.05,13007
13,8,339,65,19.17,274,80.83,13008
13,9,341,31,9.09,310,90.91,13009
13,10,298,47,15.77,251,84.23,13010
13,12,375,48,12.8,327,87.2,13012
13,14,259,36,13.9,223,86.1,13014
13,15,357,34,9.52,323,90.48,13015
13,16,294,37,12.59,257,87.41,13016
13,21,276,42,15.22,234,84.78,13021
13,22,368,34,9.24,334,90.76,13022
13,23,312,30,9.62,282,90.38,13023
13,24,422,63,14.93,359,85.07,13024
13,25,275,50,18.18,225,81.82,13025
13,27,340,49,14.41,291,85.59,13027
13,28,278,29,10.43,249,89.57,13028
13,29,362,40,11.05,322,88.95,13029
13,32,284,26,9.15,258,90.85,13032
13,33,346,41,11.85,305,88.15,13033
13,34,315,39,12.38,276,87.62,13034
13,35,387,43,11.11,344,88.89,13035
13,36,271,34,12.55,237,87.45,13036
13,37,249,19,7.63,230,92.37,13037
13,38,192,27,14.06,165,85.94,13038
13,39,335,41,12.24,294,87.76,13039
13,42,395,60,15.19,335,84.81,13042
13,46,318,23,7.23,295,92.77,13046
13,47,258,31,12.02,227,87.98,13047
13,48,310,44,14.19,266,85.81,13048
13,49,281,31,11.03,250,88.97,13049
13,51,301,34,11.3,267,88.7,13051
13,52,396,51,12.88,345,87.12,13052
13,53,419,68,16.23,351,83.77,13053
13,54,367,35,9.54,332,90.46,13054
13,56,407,53,13.02,354,86.98,13056
13,57,396,63,15.91,333,84.09,13057
13,58,426,34,7.98,392,92.02,13058
13,59,307,34,11.07,273,88.93,13059
13,61,452,61,13.5,391,86.5,13061
13,62,348,37,10.63,311,89.37,13062
13,63,416,66,15.87,350,84.13,13063
23,2,329,64,19.45,265,80.55,23002
23,4,302,51,16.89,251,83.11,23004
23,6,358,53,14.8,305,85.2,23006
23,8,309,55,17.8,254,82.2,23008
23,10,359,45,12.53,314,87.47,23010
23,14,274,31,11.31,243,88.69,23014
23,19,330,54,16.36,276,83.64,23019
23,20,325,51,15.69,274,84.31,23020
23,21,333,76,22.82,257,77.18,23021
23,28,358,78,21.79,280,78.21,23028
23,30,340,51,15.0,289,85.0,23030
23,31,326,64,19.63,262,80.37,23031
23,33,440,76,17.27,364,82.73,23033
23,34,317,59,18.61,258,81.39,23034
23,38,273,51,18.68,222,81.32,23038
23,39,310,65,20.97,245,79.03,23039
23,41,374,71,18.98,303,81.02,23041
23,42,259,49,18.92,210,81.08,23042
23,44,323,56,17.34,267,82.66,23044
23,45,361,67,18.56,294,81.44,23045
23,48,321,49,15.26,272,84.74,23048
23,54,303,47,15.51,256,84.49,23054
23,55,366,82,22.4,284,77.6,23055
23,56,334,88,26.35,246,73.65,23056
23,57,294,68,23.13,226,76.87,23057
23,61,318,61,19.18,257,80.82,23061
23,62,276,48,17.39,228,82.61,23062
