ward,precinct,total,CHARLES G. MORROW III,CHARLES G. MORROW III Percent,precinct_id
5,2,331,331,100.0,05002
5,15,267,267,100.0,05015
5,20,261,261,100.0,05020
5,23,259,259,100.0,05023
5,45,193,193,100.0,05045
5,50,122,122,100.0,05050
5,51,262,262,100.0,05051
5,52,195,195,100.0,05052
6,4,247,247,100.0,06004
6,5,270,270,100.0,06005
6,6,330,330,100.0,06006
6,7,313,313,100.0,06007
6,11,328,328,100.0,06011
6,12,351,351,100.0,06012
6,14,397,397,100.0,06014
6,15,313,313,100.0,06015
6,18,146,146,100.0,06018
6,19,340,340,100.0,06019
6,30,396,396,100.0,06030
6,32,403,403,100.0,06032
6,33,355,355,100.0,06033
6,36,227,227,100.0,06036
6,38,438,438,100.0,06038
6,39,220,220,100.0,06039
6,40,253,253,100.0,06040
6,42,270,270,100.0,06042
6,43,389,389,100.0,06043
6,48,360,360,100.0,06048
6,49,367,367,100.0,06049
6,55,270,270,100.0,06055
6,56,270,270,100.0,06056
6,61,272,272,100.0,06061
13,11,211,211,100.0,13011
13,30,0,0,0.0,13030
13,31,0,0,0.0,13031
13,44,188,188,100.0,13044
14,1,161,161,100.0,14001
14,10,113,113,100.0,14010
14,15,152,152,100.0,14015
14,17,213,213,100.0,14017
14,20,266,266,100.0,14020
14,21,333,333,100.0,14021
14,25,227,227,100.0,14025
14,27,242,242,100.0,14027
14,38,183,183,100.0,14038
14,44,62,62,100.0,14044
14,45,189,189,100.0,14045
14,48,215,215,100.0,14048
15,1,302,302,100.0,15001
15,6,261,261,100.0,15006
15,7,303,303,100.0,15007
15,8,283,283,100.0,15008
15,9,286,286,100.0,15009
15,11,309,309,100.0,15011
15,15,303,303,100.0,15015
15,19,304,304,100.0,15019
15,21,366,366,100.0,15021
15,24,397,397,100.0,15024
15,30,289,289,100.0,15030
15,31,316,316,100.0,15031
15,33,319,319,100.0,15033
15,38,256,256,100.0,15038
15,39,286,286,100.0,15039
15,42,250,250,100.0,15042
15,44,237,237,100.0,15044
15,46,265,265,100.0,15046
15,47,303,303,100.0,15047
15,48,244,244,100.0,15048
17,1,194,194,100.0,17001
17,3,320,320,100.0,17003
17,6,256,256,100.0,17006
17,8,214,214,100.0,17008
17,9,242,242,100.0,17009
17,11,42,42,100.0,17011
17,16,351,351,100.0,17016
17,17,295,295,100.0,17017
17,20,329,329,100.0,17020
17,23,238,238,100.0,17023
17,28,232,232,100.0,17028
17,30,0,0,0.0,17030
17,33,329,329,100.0,17033
17,34,292,292,100.0,17034
17,35,197,197,100.0,17035
17,36,217,217,100.0,17036
17,37,302,302,100.0,17037
17,39,281,281,100.0,17039
17,40,7,7,100.0,17040
17,41,275,275,100.0,17041
17,44,304,304,100.0,17044
17,45,213,213,100.0,17045
17,47,213,213,100.0,17047
17,48,263,263,100.0,17048
17,49,288,288,100.0,17049
17,50,331,331,100.0,17050
20,40,223,223,100.0,20040
20,43,412,412,100.0,20043
20,51,208,208,100.0,20051
