ward,precinct,total,JOHN A. FRITCHEY,JOHN A. FRITCHEY Percent,precinct_id
1,21,114,114,100.0,01021
1,26,0,0,0.0,01026
26,1,296,296,100.0,26001
26,7,158,158,100.0,26007
26,8,39,39,100.0,26008
26,11,274,274,100.0,26011
26,13,282,282,100.0,26013
26,16,205,205,100.0,26016
26,19,303,303,100.0,26019
26,25,300,300,100.0,26025
26,30,327,327,100.0,26030
26,32,330,330,100.0,26032
26,34,279,279,100.0,26034
26,37,254,254,100.0,26037
27,37,0,0,0.0,27037
32,4,472,472,100.0,32004
32,5,261,261,100.0,32005
32,7,38,38,100.0,32007
32,9,519,519,100.0,32009
32,10,323,323,100.0,32010
32,13,299,299,100.0,32013
32,15,349,349,100.0,32015
32,16,307,307,100.0,32016
32,20,317,317,100.0,32020
32,21,426,426,100.0,32021
32,22,361,361,100.0,32022
32,24,290,290,100.0,32024
32,25,386,386,100.0,32025
32,27,334,334,100.0,32027
32,28,236,236,100.0,32028
32,29,338,338,100.0,32029
32,30,290,290,100.0,32030
32,31,362,362,100.0,32031
32,33,204,204,100.0,32033
32,34,402,402,100.0,32034
32,35,432,432,100.0,32035
32,36,533,533,100.0,32036
32,37,349,349,100.0,32037
32,38,471,471,100.0,32038
32,40,459,459,100.0,32040
32,41,525,525,100.0,32041
32,42,418,418,100.0,32042
32,43,514,514,100.0,32043
32,44,297,297,100.0,32044
32,45,415,415,100.0,32045
32,46,80,80,100.0,32046
33,1,305,305,100.0,33001
33,2,385,385,100.0,33002
33,3,274,274,100.0,33003
33,4,331,331,100.0,33004
33,6,335,335,100.0,33006
33,7,386,386,100.0,33007
33,13,349,349,100.0,33013
33,20,377,377,100.0,33020
33,21,300,300,100.0,33021
33,22,419,419,100.0,33022
33,23,335,335,100.0,33023
33,24,391,391,100.0,33024
33,25,502,502,100.0,33025
33,26,283,283,100.0,33026
33,27,387,387,100.0,33027
33,28,328,328,100.0,33028
33,32,101,101,100.0,33032
33,33,320,320,100.0,33033
33,35,415,415,100.0,33035
33,36,384,384,100.0,33036
33,38,80,80,100.0,33038
35,1,235,235,100.0,35001
35,5,251,251,100.0,35005
35,18,269,269,100.0,35018
39,22,136,136,100.0,39022
39,27,184,184,100.0,39027
43,10,300,300,100.0,43010
43,13,227,227,100.0,43013
43,31,339,339,100.0,43031
44,43,513,513,100.0,44043
44,47,392,392,100.0,44047
47,4,379,379,100.0,47004
47,7,406,406,100.0,47007
47,9,348,348,100.0,47009
47,13,17,17,100.0,47013
47,16,227,227,100.0,47016
