ward,precinct,total,"WILLIAM """"BILL"""" SHAW","WILLIAM """"BILL"""" SHAW Percent",precinct_id
9,3,324,324,100.0,09003
9,4,417,417,100.0,09004
9,6,311,311,100.0,09006
9,7,362,362,100.0,09007
9,11,334,334,100.0,09011
9,15,205,205,100.0,09015
9,16,406,406,100.0,09016
9,18,348,348,100.0,09018
9,19,384,384,100.0,09019
9,24,281,281,100.0,09024
9,26,294,294,100.0,09026
9,28,323,323,100.0,09028
9,30,392,392,100.0,09030
9,33,248,248,100.0,09033
9,39,337,337,100.0,09039
9,41,442,442,100.0,09041
9,42,443,443,100.0,09042
9,44,382,382,100.0,09044
9,45,443,443,100.0,09045
9,47,249,249,100.0,09047
9,50,400,400,100.0,09050
10,14,0,0,0.0,10014
34,3,327,327,100.0,34003
34,5,247,247,100.0,34005
34,6,365,365,100.0,34006
34,9,322,322,100.0,34009
34,11,369,369,100.0,34011
34,13,236,236,100.0,34013
34,14,294,294,100.0,34014
34,15,298,298,100.0,34015
34,16,364,364,100.0,34016
34,17,438,438,100.0,34017
34,31,418,418,100.0,34031
34,35,452,452,100.0,34035
34,40,469,469,100.0,34040
34,50,352,352,100.0,34050
34,54,356,356,100.0,34054
34,55,322,322,100.0,34055
34,57,291,291,100.0,34057
34,59,355,355,100.0,34059
34,60,430,430,100.0,34060
