ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
1,1,129,100,77.52,29,22.48,01001
1,2,271,195,71.96,76,28.04,01002
1,3,160,119,74.38,41,25.63,01003
1,4,129,108,83.72,21,16.28,01004
1,5,158,128,81.01,30,18.99,01005
1,6,114,98,85.96,16,14.04,01006
1,7,170,130,76.47,40,23.53,01007
1,8,90,76,84.44,14,15.56,01008
1,9,167,137,82.04,30,17.96,01009
1,10,211,160,75.83,51,24.17,01010
1,11,122,96,78.69,26,21.31,01011
1,12,177,135,76.27,42,23.73,01012
1,13,48,34,70.83,14,29.17,01013
1,14,97,69,71.13,28,28.87,01014
1,15,106,83,78.3,23,21.7,01015
1,16,92,58,63.04,34,36.96,01016
1,17,150,113,75.33,37,24.67,01017
1,18,86,64,74.42,22,25.58,01018
1,19,94,59,62.77,35,37.23,01019
1,20,76,56,73.68,20,26.32,01020
1,21,238,190,79.83,48,20.17,01021
1,22,100,72,72.0,28,28.0,01022
1,23,195,142,72.82,53,27.18,01023
1,24,130,98,75.38,32,24.62,01024
1,25,215,167,77.67,48,22.33,01025
1,26,270,203,75.19,67,24.81,01026
1,27,105,74,70.48,31,29.52,01027
1,28,18,15,83.33,3,16.67,01028
1,29,195,145,74.36,50,25.64,01029
1,30,100,76,76.0,24,24.0,01030
1,31,40,27,67.5,13,32.5,01031
1,32,78,57,73.08,21,26.92,01032
1,33,145,106,73.1,39,26.9,01033
1,34,33,23,69.7,10,30.3,01034
1,35,24,20,83.33,4,16.67,01035
1,36,131,112,85.5,19,14.5,01036
2,1,246,187,76.02,59,23.98,02001
2,2,210,175,83.33,35,16.67,02002
2,3,122,83,68.03,39,31.97,02003
2,4,36,24,66.67,12,33.33,02004
2,5,78,48,61.54,30,38.46,02005
2,6,69,45,65.22,24,34.78,02006
2,7,167,126,75.45,41,24.55,02007
2,8,169,137,81.07,32,18.93,02008
2,9,35,20,57.14,15,42.86,02009
2,10,69,46,66.67,23,33.33,02010
2,11,264,208,78.79,56,21.21,02011
2,12,99,70,70.71,29,29.29,02012
2,13,195,158,81.03,37,18.97,02013
2,14,169,138,81.66,31,18.34,02014
2,15,50,27,54.0,23,46.0,02015
2,16,91,67,73.63,24,26.37,02016
2,17,124,88,70.97,36,29.03,02017
2,18,176,135,76.7,41,23.3,02018
2,19,52,37,71.15,15,28.85,02019
2,20,123,97,78.86,26,21.14,02020
2,21,126,101,80.16,25,19.84,02021
2,22,311,247,79.42,64,20.58,02022
2,23,105,82,78.1,23,21.9,02023
2,24,98,85,86.73,13,13.27,02024
2,25,66,55,83.33,11,16.67,02025
2,26,74,57,77.03,17,22.97,02026
2,27,7,3,42.86,4,57.14,02027
2,28,139,101,72.66,38,27.34,02028
2,29,70,51,72.86,19,27.14,02029
2,30,65,47,72.31,18,27.69,02030
2,31,153,118,77.12,35,22.88,02031
2,32,71,45,63.38,26,36.62,02032
2,33,199,150,75.38,49,24.62,02033
2,34,75,60,80.0,15,20.0,02034
2,35,81,66,81.48,15,18.52,02035
2,36,63,45,71.43,18,28.57,02036
