ward,precinct,total,EDWARD J. ACEVEDO,EDWARD J. ACEVEDO Percent,precinct_id
2,32,0,0,0.0,02032
3,36,0,0,0.0,03036
3,51,40,40,100.0,03051
11,1,0,0,0.0,11001
11,2,252,252,100.0,11002
11,3,329,329,100.0,11003
11,6,377,377,100.0,11006
11,10,229,229,100.0,11010
11,17,384,384,100.0,11017
11,18,208,208,100.0,11018
11,26,373,373,100.0,11026
11,29,335,335,100.0,11029
11,30,259,259,100.0,11030
12,1,168,168,100.0,12001
12,7,180,180,100.0,12007
12,8,172,172,100.0,12008
12,13,56,56,100.0,12013
12,14,213,213,100.0,12014
12,15,235,235,100.0,12015
12,16,2,2,100.0,12016
12,18,151,151,100.0,12018
12,19,170,170,100.0,12019
12,20,218,218,100.0,12020
12,22,175,175,100.0,12022
12,25,196,196,100.0,12025
12,26,140,140,100.0,12026
12,28,140,140,100.0,12028
16,1,173,173,100.0,16001
16,41,165,165,100.0,16041
22,29,156,156,100.0,22029
24,44,0,0,0.0,24044
24,53,238,238,100.0,24053
25,1,767,767,100.0,25001
25,2,463,463,100.0,25002
25,5,282,282,100.0,25005
25,6,420,420,100.0,25006
25,7,296,296,100.0,25007
25,8,299,299,100.0,25008
25,9,390,390,100.0,25009
25,11,347,347,100.0,25011
25,12,190,190,100.0,25012
25,13,329,329,100.0,25013
25,15,293,293,100.0,25015
25,17,324,324,100.0,25017
25,19,375,375,100.0,25019
25,20,346,346,100.0,25020
25,22,254,254,100.0,25022
25,23,335,335,100.0,25023
