ward,precinct,total,RICHARD A. DEVINE,RICHARD A. DEVINE Percent,precinct_id
1,1,321,272,84.74,01001
1,2,617,519,84.12,01002
1,3,351,304,86.61,01003
1,4,342,294,85.96,01004
1,5,425,360,84.71,01005
1,6,259,210,81.08,01006
1,7,447,364,81.43,01007
1,8,229,189,82.53,01008
1,9,418,353,84.45,01009
1,10,473,384,81.18,01010
1,11,317,271,85.49,01011
1,12,446,381,85.43,01012
1,13,202,191,94.55,01013
1,14,276,251,90.94,01014
1,15,315,290,92.06,01015
1,16,289,264,91.35,01016
1,17,415,366,88.19,01017
1,18,317,293,92.43,01018
1,19,282,265,93.97,01019
1,20,243,226,93.0,01020
1,21,536,425,79.29,01021
1,22,260,247,95.0,01022
1,23,486,414,85.19,01023
1,24,308,275,89.29,01024
1,25,549,462,84.15,01025
1,26,626,528,84.35,01026
1,27,340,309,90.88,01027
1,28,72,69,95.83,01028
1,29,485,413,85.15,01029
1,30,286,257,89.86,01030
1,31,118,117,99.15,01031
1,32,273,255,93.41,01032
1,33,354,309,87.29,01033
1,34,79,65,82.28,01034
1,35,87,68,78.16,01035
1,36,308,255,82.79,01036
2,1,553,409,73.96,02001
2,2,463,441,95.25,02002
2,3,316,302,95.57,02003
2,4,130,129,99.23,02004
2,5,249,248,99.6,02005
2,6,214,205,95.79,02006
2,7,407,393,96.56,02007
2,8,394,326,82.74,02008
2,9,187,181,96.79,02009
2,10,206,204,99.03,02010
2,11,594,501,84.34,02011
2,12,335,325,97.01,02012
2,13,439,428,97.49,02013
2,14,349,333,95.42,02014
2,15,149,145,97.32,02015
2,16,233,225,96.57,02016
2,17,319,309,96.87,02017
2,18,417,405,97.12,02018
2,19,188,184,97.87,02019
2,20,321,304,94.7,02020
2,21,308,299,97.08,02021
2,22,692,559,80.78,02022
2,23,274,266,97.08,02023
2,24,275,240,87.27,02024
2,25,174,148,85.06,02025
2,26,247,236,95.55,02026
2,27,62,60,96.77,02027
2,28,373,366,98.12,02028
2,29,263,253,96.2,02029
2,30,232,226,97.41,02030
2,31,354,338,95.48,02031
2,32,224,220,98.21,02032
2,33,430,414,96.28,02033
2,34,285,276,96.84,02034
2,35,150,112,74.67,02035
2,36,231,227,98.27,02036
2,37,488,383,78.48,02037
2,38,327,317,96.94,02038
2,39,468,441,94.23,02039
2,40,475,433,91.16,02040
2,41,134,134,100.0,02041
2,42,153,139,90.85,02042
2,43,494,389,78.74,02043
2,44,318,313,98.43,02044
2,45,125,120,96.0,02045
2,46,498,478,95.98,02046
2,47,207,194,93.72,02047
2,48,407,380,93.37,02048
2,49,245,195,79.59,02049
2,50,220,203,92.27,02050
2,51,289,278,96.19,02051
2,52,595,516,86.72,02052
2,53,210,202,96.19,02053
2,54,539,421,78.11,02054
3,1,459,450,98.04,03001
3,2,380,367,96.58,03002
3,3,204,202,99.02,03003
3,4,199,199,100.0,03004
3,5,280,274,97.86,03005
3,6,163,158,96.93,03006
3,7,68,67,98.53,03007
3,8,248,245,98.79,03008
3,9,283,277,97.88,03009
3,10,389,379,97.43,03010
3,11,215,211,98.14,03011
3,12,304,295,97.04,03012
3,13,107,106,99.07,03013
3,14,139,135,97.12,03014
3,15,228,220,96.49,03015
