ward,precinct,total,CONSTANCE A. HOWARD,CONSTANCE A. HOWARD Percent,precinct_id
6,2,408,408,100.0,06002
6,9,441,441,100.0,06009
6,13,341,341,100.0,06013
6,17,365,365,100.0,06017
6,21,319,319,100.0,06021
6,22,361,361,100.0,06022
6,23,311,311,100.0,06023
6,24,361,361,100.0,06024
6,25,371,371,100.0,06025
6,26,352,352,100.0,06026
6,27,437,437,100.0,06027
6,28,454,454,100.0,06028
6,50,347,347,100.0,06050
6,62,367,367,100.0,06062
6,64,366,366,100.0,06064
7,1,408,408,100.0,07001
7,12,230,230,100.0,07012
7,24,417,417,100.0,07024
7,25,323,323,100.0,07025
7,30,415,415,100.0,07030
7,31,364,364,100.0,07031
7,33,371,371,100.0,07033
7,36,555,555,100.0,07036
7,37,448,448,100.0,07037
7,38,412,412,100.0,07038
7,41,438,438,100.0,07041
7,43,413,413,100.0,07043
8,1,377,377,100.0,08001
8,3,424,424,100.0,08003
8,5,378,378,100.0,08005
8,8,345,345,100.0,08008
8,9,389,389,100.0,08009
8,12,331,331,100.0,08012
8,19,403,403,100.0,08019
8,27,357,357,100.0,08027
8,31,338,338,100.0,08031
8,32,522,522,100.0,08032
8,33,278,278,100.0,08033
8,34,395,395,100.0,08034
8,35,438,438,100.0,08035
8,37,320,320,100.0,08037
8,38,343,343,100.0,08038
8,39,346,346,100.0,08039
8,44,355,355,100.0,08044
8,47,319,319,100.0,08047
8,58,347,347,100.0,08058
8,59,339,339,100.0,08059
8,62,422,422,100.0,08062
8,64,234,234,100.0,08064
8,66,462,462,100.0,08066
9,2,392,392,100.0,09002
9,10,319,319,100.0,09010
9,12,330,330,100.0,09012
9,13,426,426,100.0,09013
9,14,428,428,100.0,09014
9,17,305,305,100.0,09017
9,20,348,348,100.0,09020
9,35,324,324,100.0,09035
9,49,192,192,100.0,09049
9,52,341,341,100.0,09052
10,2,163,163,100.0,10002
10,3,233,233,100.0,10003
10,5,178,178,100.0,10005
10,6,375,375,100.0,10006
10,7,77,77,100.0,10007
10,8,216,216,100.0,10008
10,9,228,228,100.0,10009
10,10,306,306,100.0,10010
10,13,282,282,100.0,10013
10,14,8,8,100.0,10014
10,15,136,136,100.0,10015
10,16,209,209,100.0,10016
10,17,193,193,100.0,10017
10,19,360,360,100.0,10019
10,21,182,182,100.0,10021
10,22,90,90,100.0,10022
10,24,210,210,100.0,10024
10,28,285,285,100.0,10028
10,29,340,340,100.0,10029
10,30,238,238,100.0,10030
10,36,270,270,100.0,10036
10,40,288,288,100.0,10040
10,41,358,358,100.0,10041
10,42,228,228,100.0,10042
10,45,261,261,100.0,10045
10,46,243,243,100.0,10046
21,23,255,255,100.0,21023
21,26,224,224,100.0,21026
21,32,158,158,100.0,21032
21,43,334,334,100.0,21043
21,46,295,295,100.0,21046
21,48,174,174,100.0,21048
21,53,0,0,0.0,21053
21,55,349,349,100.0,21055
21,58,0,0,0.0,21058
