ward,precinct,total,VINCENT C. LENGERICH,VINCENT C. LENGERICH Percent,LARRY MCKEON,LARRY MCKEON Percent,R. BRIAN POYNTON,R. BRIAN POYNTON Percent,precinct_id
32,19,563,113,20.07,429,76.2,21,3.73,32019
33,8,432,66,15.28,346,80.09,20,4.63,33008
33,9,459,63,13.73,375,81.7,21,4.58,33009
33,11,385,86,22.34,282,73.25,17,4.42,33011
40,6,249,34,13.65,203,81.53,12,4.82,40006
44,13,552,158,28.62,378,68.48,16,2.9,44013
44,16,541,146,26.99,375,69.32,20,3.7,44016
44,18,201,50,24.88,146,72.64,5,2.49,44018
44,25,483,146,30.23,311,64.39,26,5.38,44025
44,50,493,161,32.66,312,63.29,20,4.06,44050
46,2,383,54,14.1,301,78.59,28,7.31,46002
46,4,323,48,14.86,264,81.73,11,3.41,46004
46,6,330,21,6.36,298,90.3,11,3.33,46006
46,8,468,38,8.12,423,90.38,7,1.5,46008
46,12,418,47,11.24,346,82.78,25,5.98,46012
46,14,331,26,7.85,288,87.01,17,5.14,46014
46,16,623,82,13.16,508,81.54,33,5.3,46016
46,19,440,56,12.73,366,83.18,18,4.09,46019
46,21,139,19,13.67,109,78.42,11,7.91,46021
46,22,327,98,29.97,212,64.83,17,5.2,46022
46,27,640,121,18.91,469,73.28,50,7.81,46027
46,32,564,72,12.77,471,83.51,21,3.72,46032
46,35,392,75,19.13,298,76.02,19,4.85,46035
46,38,249,32,12.85,210,84.34,7,2.81,46038
47,2,449,90,20.04,345,76.84,14,3.12,47002
47,3,363,59,16.25,293,80.72,11,3.03,47003
47,5,361,72,19.94,273,75.62,16,4.43,47005
47,6,492,80,16.26,401,81.5,11,2.24,47006
47,8,520,89,17.12,416,80.0,15,2.88,47008
47,10,520,75,14.42,424,81.54,21,4.04,47010
47,12,468,75,16.03,379,80.98,14,2.99,47012
47,13,502,57,11.35,426,84.86,19,3.78,47013
47,14,433,64,14.78,349,80.6,20,4.62,47014
47,15,447,120,26.85,309,69.13,18,4.03,47015
47,17,377,52,13.79,307,81.43,18,4.77,47017
47,18,435,71,16.32,347,79.77,17,3.91,47018
47,19,399,50,12.53,332,83.21,17,4.26,47019
47,20,460,64,13.91,370,80.43,26,5.65,47020
47,21,318,48,15.09,257,80.82,13,4.09,47021
47,22,313,57,18.21,245,78.27,11,3.51,47022
47,24,319,74,23.2,239,74.92,6,1.88,47024
47,25,401,77,19.2,315,78.55,9,2.24,47025
47,26,646,104,16.1,516,79.88,26,4.02,47026
47,27,432,84,19.44,331,76.62,17,3.94,47027
47,28,479,72,15.03,385,80.38,22,4.59,47028
47,29,534,100,18.73,405,75.84,29,5.43,47029
47,31,482,104,21.58,360,74.69,18,3.73,47031
47,32,641,90,14.04,526,82.06,25,3.9,47032
47,33,377,49,13.0,311,82.49,17,4.51,47033
47,34,489,72,14.72,388,79.35,29,5.93,47034
47,35,500,97,19.4,386,77.2,17,3.4,47035
47,36,501,70,13.97,418,83.43,13,2.59,47036
47,37,541,67,12.38,453,83.73,21,3.88,47037
47,38,430,73,16.98,349,81.16,8,1.86,47038
47,39,420,70,16.67,336,80.0,14,3.33,47039
47,40,322,54,16.77,256,79.5,12,3.73,47040
47,41,287,39,13.59,234,81.53,14,4.88,47041
47,42,374,50,13.37,299,79.95,25,6.68,47042
47,43,557,115,20.65,414,74.33,28,5.03,47043
47,44,410,118,28.78,281,68.54,11,2.68,47044
47,45,379,66,17.41,298,78.63,15,3.96,47045
48,4,461,106,22.99,347,75.27,8,1.74,48004
48,17,365,43,11.78,310,84.93,12,3.29,48017
48,20,383,72,18.8,293,76.5,18,4.7,48020
48,21,489,36,7.36,438,89.57,15,3.07,48021
48,23,327,70,21.41,251,76.76,6,1.83,48023
48,24,284,39,13.73,226,79.58,19,6.69,48024
48,25,421,44,10.45,367,87.17,10,2.38,48025
48,34,397,50,12.59,338,85.14,9,2.27,48034
48,35,462,42,9.09,400,86.58,20,4.33,48035
48,40,416,52,12.5,347,83.41,17,4.09,48040
