ward,precinct,total,BARBARA FLYNN CURRIE,BARBARA FLYNN CURRIE Percent,precinct_id
4,1,340,340,100.0,04001
4,9,548,548,100.0,04009
4,13,537,537,100.0,04013
4,17,512,512,100.0,04017
4,22,468,468,100.0,04022
4,28,376,376,100.0,04028
4,29,329,329,100.0,04029
4,32,460,460,100.0,04032
4,34,314,314,100.0,04034
4,38,523,523,100.0,04038
4,41,359,359,100.0,04041
4,43,293,293,100.0,04043
4,44,282,282,100.0,04044
4,45,502,502,100.0,04045
4,47,616,616,100.0,04047
4,48,538,538,100.0,04048
4,51,393,393,100.0,04051
4,54,273,273,100.0,04054
4,55,299,299,100.0,04055
5,1,330,330,100.0,05001
5,3,390,390,100.0,05003
5,4,414,414,100.0,05004
5,5,307,307,100.0,05005
5,6,309,309,100.0,05006
5,7,320,320,100.0,05007
5,8,498,498,100.0,05008
5,9,345,345,100.0,05009
5,10,212,212,100.0,05010
5,11,133,133,100.0,05011
5,14,335,335,100.0,05014
5,17,219,219,100.0,05017
5,18,255,255,100.0,05018
5,19,314,314,100.0,05019
5,21,393,393,100.0,05021
5,24,268,268,100.0,05024
5,25,329,329,100.0,05025
5,26,205,205,100.0,05026
5,27,234,234,100.0,05027
5,28,405,405,100.0,05028
5,29,203,203,100.0,05029
5,30,370,370,100.0,05030
5,31,341,341,100.0,05031
5,32,487,487,100.0,05032
5,33,338,338,100.0,05033
5,34,259,259,100.0,05034
5,35,342,342,100.0,05035
5,36,384,384,100.0,05036
5,37,289,289,100.0,05037
5,38,369,369,100.0,05038
5,39,403,403,100.0,05039
5,40,330,330,100.0,05040
5,41,407,407,100.0,05041
5,42,302,302,100.0,05042
5,43,360,360,100.0,05043
5,44,315,315,100.0,05044
5,46,473,473,100.0,05046
5,47,302,302,100.0,05047
5,48,284,284,100.0,05048
5,49,429,429,100.0,05049
5,53,339,339,100.0,05053
5,54,210,210,100.0,05054
5,55,325,325,100.0,05055
5,56,236,236,100.0,05056
5,57,415,415,100.0,05057
5,58,235,235,100.0,05058
5,59,229,229,100.0,05059
7,3,344,344,100.0,07003
7,7,382,382,100.0,07007
7,9,367,367,100.0,07009
7,10,547,547,100.0,07010
7,11,349,349,100.0,07011
7,14,385,385,100.0,07014
7,15,544,544,100.0,07015
7,16,412,412,100.0,07016
7,17,357,357,100.0,07017
7,18,458,458,100.0,07018
7,22,349,349,100.0,07022
7,23,451,451,100.0,07023
7,28,368,368,100.0,07028
7,34,268,268,100.0,07034
7,35,454,454,100.0,07035
7,39,415,415,100.0,07039
7,40,304,304,100.0,07040
7,44,458,458,100.0,07044
7,45,456,456,100.0,07045
8,60,464,464,100.0,08060
10,4,9,9,100.0,10004
20,24,387,387,100.0,20024
20,26,410,410,100.0,20026
20,32,475,475,100.0,20032
20,34,482,482,100.0,20034
20,38,388,388,100.0,20038
