ward,precinct,total,MICHAEL P. MCAULIFFE,MICHAEL P. MCAULIFFE Percent,FRANK COCONATE,FRANK COCONATE Percent,precinct_id
36,5,301,143,47.51,158,52.49,36005
36,11,1,0,0.0,1,100.0,36011
36,17,343,212,61.81,131,38.19,36017
36,18,415,191,46.02,224,53.98,36018
36,25,275,142,51.64,133,48.36,36025
36,29,17,9,52.94,8,47.06,36029
36,34,283,141,49.82,142,50.18,36034
36,47,267,155,58.05,112,41.95,36047
38,1,231,111,48.05,120,51.95,38001
38,8,396,208,52.53,188,47.47,38008
38,10,342,194,56.73,148,43.27,38010
38,12,266,117,43.98,149,56.02,38012
38,14,369,205,55.56,164,44.44,38014
38,15,249,153,61.45,96,38.55,38015
38,18,332,201,60.54,131,39.46,38018
38,19,292,117,40.07,175,59.93,38019
38,21,334,185,55.39,149,44.61,38021
38,26,242,135,55.79,107,44.21,38026
38,27,245,132,53.88,113,46.12,38027
38,28,260,124,47.69,136,52.31,38028
38,32,403,290,71.96,113,28.04,38032
38,38,279,131,46.95,148,53.05,38038
38,43,329,181,55.02,148,44.98,38043
38,46,326,178,54.6,148,45.4,38046
38,49,335,188,56.12,147,43.88,38049
38,50,336,161,47.92,175,52.08,38050
38,51,285,159,55.79,126,44.21,38051
38,55,720,416,57.78,304,42.22,38055
38,56,305,172,56.39,133,43.61,38056
41,2,467,321,68.74,146,31.26,41002
41,4,425,267,62.82,158,37.18,41004
41,5,364,233,64.01,131,35.99,41005
41,6,377,266,70.56,111,29.44,41006
41,7,584,281,48.12,303,51.88,41007
41,8,400,256,64.0,144,36.0,41008
41,13,334,215,64.37,119,35.63,41013
41,15,287,188,65.51,99,34.49,41015
41,18,297,198,66.67,99,33.33,41018
41,20,385,249,64.68,136,35.32,41020
41,25,263,169,64.26,94,35.74,41025
41,26,265,163,61.51,102,38.49,41026
41,27,202,89,44.06,113,55.94,41027
41,28,279,157,56.27,122,43.73,41028
41,29,219,123,56.16,96,43.84,41029
41,31,404,281,69.55,123,30.45,41031
41,32,355,205,57.75,150,42.25,41032
41,33,378,241,63.76,137,36.24,41033
41,34,361,231,63.99,130,36.01,41034
41,36,364,228,62.64,136,37.36,41036
41,37,458,316,69.0,142,31.0,41037
41,38,388,218,56.19,170,43.81,41038
41,39,445,302,67.87,143,32.13,41039
41,41,418,299,71.53,119,28.47,41041
41,42,355,247,69.58,108,30.42,41042
41,44,325,220,67.69,105,32.31,41044
41,45,361,201,55.68,160,44.32,41045
41,48,343,193,56.27,150,43.73,41048
41,53,458,362,79.04,96,20.96,41053
41,55,418,303,72.49,115,27.51,41055
41,56,417,254,60.91,163,39.09,41056
41,58,294,179,60.88,115,39.12,41058
41,60,347,224,64.55,123,35.45,41060
41,61,446,270,60.54,176,39.46,41061
