ward,precinct,total,RAYMOND G. WARDINGLEY,RAYMOND G. WARDINGLEY Percent,BOBBY L. RUSH,BOBBY L. RUSH Percent,precinct_id
2,2,466,20,4.29,446,95.71,02002
2,6,202,7,3.47,195,96.53,02006
2,12,354,11,3.11,343,96.89,02012
2,13,442,8,1.81,434,98.19,02013
2,14,343,13,3.79,330,96.21,02014
2,16,227,7,3.08,220,96.92,02016
2,18,450,7,1.56,443,98.44,02018
2,20,343,12,3.5,331,96.5,02020
2,21,313,8,2.56,305,97.44,02021
2,24,306,45,14.71,261,85.29,02024
2,29,253,5,1.98,248,98.02,02029
2,31,327,7,2.14,320,97.86,02031
2,33,411,18,4.38,393,95.62,02033
2,44,318,8,2.52,310,97.48,02044
2,45,131,5,3.82,126,96.18,02045
2,46,500,20,4.0,480,96.0,02046
2,47,187,14,7.49,173,92.51,02047
2,48,373,16,4.29,357,95.71,02048
3,2,387,5,1.29,382,98.71,03002
3,3,200,2,1.0,198,99.0,03003
3,6,162,4,2.47,158,97.53,03006
3,9,286,2,0.7,284,99.3,03009
3,23,183,3,1.64,180,98.36,03023
3,24,313,3,0.96,310,99.04,03024
3,25,111,1,0.9,110,99.1,03025
3,27,95,3,3.16,92,96.84,03027
3,28,274,5,1.82,269,98.18,03028
3,33,277,2,0.72,275,99.28,03033
3,34,105,2,1.9,103,98.1,03034
3,36,144,7,4.86,137,95.14,03036
3,38,308,5,1.62,303,98.38,03038
3,39,326,7,2.15,319,97.85,03039
3,41,198,4,2.02,194,97.98,03041
3,42,176,3,1.7,173,98.3,03042
3,44,235,2,0.85,233,99.15,03044
3,45,145,2,1.38,143,98.62,03045
4,1,347,32,9.22,315,90.78,04001
4,2,127,4,3.15,123,96.85,04002
4,3,457,6,1.31,451,98.69,04003
4,4,378,3,0.79,375,99.21,04004
4,5,317,5,1.58,312,98.42,04005
4,6,30,0,0.0,30,100.0,04006
4,7,237,6,2.53,231,97.47,04007
4,9,536,8,1.49,528,98.51,04009
4,10,614,9,1.47,605,98.53,04010
4,11,375,7,1.87,368,98.13,04011
4,12,321,4,1.25,317,98.75,04012
4,13,535,40,7.48,495,92.52,04013
4,14,314,3,0.96,311,99.04,04014
4,15,142,5,3.52,137,96.48,04015
4,16,429,7,1.63,422,98.37,04016
4,17,558,88,15.77,470,84.23,04017
4,18,332,6,1.81,326,98.19,04018
4,19,136,0,0.0,136,100.0,04019
4,20,189,2,1.06,187,98.94,04020
4,21,363,19,5.23,344,94.77,04021
4,22,453,26,5.74,427,94.26,04022
4,23,292,32,10.96,260,89.04,04023
4,24,412,21,5.1,391,94.9,04024
4,25,349,17,4.87,332,95.13,04025
4,26,306,5,1.63,301,98.37,04026
4,27,377,10,2.65,367,97.35,04027
4,28,392,48,12.24,344,87.76,04028
4,29,322,35,10.87,287,89.13,04029
4,30,159,3,1.89,156,98.11,04030
4,31,136,0,0.0,136,100.0,04031
4,32,463,59,12.74,404,87.26,04032
4,33,140,4,2.86,136,97.14,04033
4,34,318,39,12.26,279,87.74,04034
4,35,272,12,4.41,260,95.59,04035
4,36,352,4,1.14,348,98.86,04036
4,37,242,6,2.48,236,97.52,04037
4,38,526,40,7.6,486,92.4,04038
4,39,173,1,0.58,172,99.42,04039
4,40,385,13,3.38,372,96.62,04040
4,41,360,42,11.67,318,88.33,04041
4,42,336,6,1.79,330,98.21,04042
4,43,282,20,7.09,262,92.91,04043
4,44,280,30,10.71,250,89.29,04044
4,45,499,31,6.21,468,93.79,04045
4,46,337,7,2.08,330,97.92,04046
4,47,624,47,7.53,577,92.47,04047
4,48,514,38,7.39,476,92.61,04048
4,49,122,4,3.28,118,96.72,04049
4,50,292,7,2.4,285,97.6,04050
4,51,408,41,10.05,367,89.95,04051
4,52,138,3,2.17,135,97.83,04052
4,53,166,1,0.6,165,99.4,04053
4,54,267,20,7.49,247,92.51,04054
4,55,291,33,11.34,258,88.66,04055
5,1,334,6,1.8,328,98.2,05001
5,2,406,7,1.72,399,98.28,05002
5,3,393,2,0.51,391,99.49,05003
5,4,416,3,0.72,413,99.28,05004
5,5,315,1,0.32,314,99.68,05005
5,6,315,5,1.59,310,98.41,05006
5,7,325,3,0.92,322,99.08,05007
5,8,488,67,13.73,421,86.27,05008
5,9,357,8,2.24,349,97.76,05009
5,10,236,2,0.85,234,99.15,05010
5,11,135,20,14.81,115,85.19,05011
5,12,383,8,2.09,375,97.91,05012
5,13,364,8,2.2,356,97.8,05013
5,14,335,22,6.57,313,93.43,05014
5,15,289,5,1.73,284,98.27,05015
5,16,331,5,1.51,326,98.49,05016
5,17,241,3,1.24,238,98.76,05017
5,18,269,1,0.37,268,99.63,05018
5,19,329,4,1.22,325,98.78,05019
5,20,271,8,2.95,263,97.05,05020
5,21,374,1,0.27,373,99.73,05021
