ward,precinct,total,TODD H. STROGER,TODD H. STROGER Percent,precinct_id
5,2,38,38,100.0,05002
5,12,367,367,100.0,05012
5,22,367,367,100.0,05022
5,50,103,103,100.0,05050
6,3,383,383,100.0,06003
6,10,400,400,100.0,06010
6,29,406,406,100.0,06029
6,31,422,422,100.0,06031
6,34,360,360,100.0,06034
6,37,418,418,100.0,06037
6,46,313,313,100.0,06046
6,47,375,375,100.0,06047
6,52,329,329,100.0,06052
6,54,332,332,100.0,06054
6,58,348,348,100.0,06058
6,59,314,314,100.0,06059
6,63,314,314,100.0,06063
7,2,470,470,100.0,07002
7,4,384,384,100.0,07004
7,5,357,357,100.0,07005
7,6,421,421,100.0,07006
7,8,419,419,100.0,07008
7,12,5,5,100.0,07012
7,13,172,172,100.0,07013
7,19,387,387,100.0,07019
7,20,219,219,100.0,07020
7,21,397,397,100.0,07021
7,26,412,412,100.0,07026
7,27,412,412,100.0,07027
7,29,175,175,100.0,07029
7,31,0,0,0.0,07031
7,32,452,452,100.0,07032
7,42,490,490,100.0,07042
7,46,133,133,100.0,07046
8,2,280,280,100.0,08002
8,4,373,373,100.0,08004
8,6,409,409,100.0,08006
8,7,313,313,100.0,08007
8,10,431,431,100.0,08010
8,11,283,283,100.0,08011
8,13,350,350,100.0,08013
8,14,454,454,100.0,08014
8,15,330,330,100.0,08015
8,16,385,385,100.0,08016
8,17,310,310,100.0,08017
8,18,286,286,100.0,08018
8,20,324,324,100.0,08020
8,21,292,292,100.0,08021
8,22,322,322,100.0,08022
8,23,373,373,100.0,08023
8,24,362,362,100.0,08024
8,25,376,376,100.0,08025
8,26,299,299,100.0,08026
8,28,313,313,100.0,08028
8,29,364,364,100.0,08029
8,30,359,359,100.0,08030
8,36,392,392,100.0,08036
8,40,429,429,100.0,08040
8,41,339,339,100.0,08041
8,42,342,342,100.0,08042
8,43,403,403,100.0,08043
8,45,415,415,100.0,08045
8,46,331,331,100.0,08046
8,48,389,389,100.0,08048
8,49,441,441,100.0,08049
8,50,381,381,100.0,08050
8,51,349,349,100.0,08051
8,52,377,377,100.0,08052
8,53,397,397,100.0,08053
8,54,415,415,100.0,08054
8,55,398,398,100.0,08055
8,56,389,389,100.0,08056
8,57,389,389,100.0,08057
8,61,357,357,100.0,08061
8,63,402,402,100.0,08063
8,65,391,391,100.0,08065
10,1,243,243,100.0,10001
10,4,314,314,100.0,10004
10,11,264,264,100.0,10011
10,12,244,244,100.0,10012
10,18,295,295,100.0,10018
10,20,409,409,100.0,10020
10,23,275,275,100.0,10023
10,25,386,386,100.0,10025
10,26,243,243,100.0,10026
10,27,288,288,100.0,10027
10,31,286,286,100.0,10031
10,32,284,284,100.0,10032
10,33,254,254,100.0,10033
10,34,276,276,100.0,10034
10,35,286,286,100.0,10035
10,37,308,308,100.0,10037
10,38,346,346,100.0,10038
10,39,263,263,100.0,10039
10,43,309,309,100.0,10043
10,44,270,270,100.0,10044
