ward,precinct,total,LUIS V. GUTIERREZ,LUIS V. GUTIERREZ Percent,STEPHANIE SAILOR,STEPHANIE SAILOR Percent,precinct_id
1,1,308,269,87.34,39,12.66,01001
1,2,586,460,78.5,126,21.5,01002
1,3,340,275,80.88,65,19.12,01003
1,4,311,262,84.24,49,15.76,01004
1,5,410,340,82.93,70,17.07,01005
1,7,405,333,82.22,72,17.78,01007
1,8,211,187,88.63,24,11.37,01008
1,9,377,321,85.15,56,14.85,01009
1,10,449,350,77.95,99,22.05,01010
1,11,272,210,77.21,62,22.79,01011
1,12,429,355,82.75,74,17.25,01012
1,13,224,197,87.95,27,12.05,01013
1,14,274,247,90.15,27,9.85,01014
1,15,324,299,92.28,25,7.72,01015
1,16,279,259,92.83,20,7.17,01016
1,17,398,319,80.15,79,19.85,01017
1,18,295,260,88.14,35,11.86,01018
1,19,317,295,93.06,22,6.94,01019
1,20,263,232,88.21,31,11.79,01020
1,21,515,395,76.7,120,23.3,01021
1,22,266,247,92.86,19,7.14,01022
1,23,479,412,86.01,67,13.99,01023
1,24,315,270,85.71,45,14.29,01024
1,25,519,426,82.08,93,17.92,01025
1,26,582,487,83.68,95,16.32,01026
1,27,336,307,91.37,29,8.63,01027
1,29,477,392,82.18,85,17.82,01029
1,30,322,295,91.61,27,8.39,01030
1,31,115,109,94.78,6,5.22,01031
1,32,246,222,90.24,24,9.76,01032
1,33,358,313,87.43,45,12.57,01033
1,36,289,239,82.7,50,17.3,01036
2,50,194,174,89.69,20,10.31,02050
3,51,209,192,91.87,17,8.13,03051
11,1,257,217,84.44,40,15.56,11001
11,2,265,228,86.04,37,13.96,11002
11,3,326,287,88.04,39,11.96,11003
11,4,341,295,86.51,46,13.49,11004
11,5,245,220,89.8,25,10.2,11005
11,6,398,348,87.44,50,12.56,11006
11,7,250,218,87.2,32,12.8,11007
11,8,296,252,85.14,44,14.86,11008
11,9,262,235,89.69,27,10.31,11009
11,10,234,216,92.31,18,7.69,11010
11,11,335,286,85.37,49,14.63,11011
11,12,277,247,89.17,30,10.83,11012
11,14,167,141,84.43,26,15.57,11014
11,15,237,210,88.61,27,11.39,11015
11,16,316,283,89.56,33,10.44,11016
11,17,420,357,85.0,63,15.0,11017
11,18,216,190,87.96,26,12.04,11018
11,19,299,265,88.63,34,11.37,11019
11,20,376,338,89.89,38,10.11,11020
11,21,384,335,87.24,49,12.76,11021
11,23,283,266,93.99,17,6.01,11023
11,24,382,358,93.72,24,6.28,11024
11,25,214,198,92.52,16,7.48,11025
11,26,383,350,91.38,33,8.62,11026
11,28,42,35,83.33,7,16.67,11028
11,29,347,300,86.46,47,13.54,11029
11,30,287,255,88.85,32,11.15,11030
11,32,219,194,88.58,25,11.42,11032
11,35,289,268,92.73,21,7.27,11035
11,37,430,382,88.84,48,11.16,11037
11,44,304,252,82.89,52,17.11,11044
11,50,15,14,93.33,1,6.67,11050
11,51,290,254,87.59,36,12.41,11051
12,1,190,179,94.21,11,5.79,12001
12,2,175,145,82.86,30,17.14,12002
12,3,157,149,94.9,8,5.1,12003
12,4,177,153,86.44,24,13.56,12004
12,6,216,206,95.37,10,4.63,12006
12,7,198,188,94.95,10,5.05,12007
12,8,184,164,89.13,20,10.87,12008
12,9,160,152,95.0,8,5.0,12009
12,11,171,164,95.91,7,4.09,12011
12,12,167,137,82.04,30,17.96,12012
12,13,121,102,84.3,19,15.7,12013
12,14,236,223,94.49,13,5.51,12014
12,15,244,231,94.67,13,5.33,12015
12,16,175,156,89.14,19,10.86,12016
12,18,171,156,91.23,15,8.77,12018
12,19,173,164,94.8,9,5.2,12019
12,20,247,240,97.17,7,2.83,12020
12,21,230,209,90.87,21,9.13,12021
12,22,219,203,92.69,16,7.31,12022
12,23,170,160,94.12,10,5.88,12023
12,25,220,207,94.09,13,5.91,12025
12,26,159,150,94.34,9,5.66,12026
12,28,160,151,94.38,9,5.63,12028
12,29,277,236,85.2,41,14.8,12029
12,30,215,178,82.79,37,17.21,12030
14,5,33,31,93.94,2,6.06,14005
14,6,255,225,88.24,30,11.76,14006
14,7,234,207,88.46,27,11.54,14007
14,12,150,126,84.0,24,16.0,14012
14,14,219,203,92.69,16,7.31,14014
14,17,256,236,92.19,20,7.81,14017
14,20,314,291,92.68,23,7.32,14020
14,21,444,431,97.07,13,2.93,14021
14,22,267,241,90.26,26,9.74,14022
14,24,277,264,95.31,13,4.69,14024
14,25,279,268,96.06,11,3.94,14025
14,26,232,202,87.07,30,12.93,14026
