ward,precinct,total,JOHN JOSEPH COYNE,JOHN JOSEPH COYNE Percent,SHELVIN LOUISE MARIE HALL,SHELVIN LOUISE MARIE HALL Percent,precinct_id
1,1,272,52,19.12,220,80.88,01001
1,2,563,111,19.72,452,80.28,01002
1,3,326,61,18.71,265,81.29,01003
1,4,299,45,15.05,254,84.95,01004
1,5,386,67,17.36,319,82.64,01005
1,6,229,58,25.33,171,74.67,01006
1,7,384,105,27.34,279,72.66,01007
1,8,200,43,21.5,157,78.5,01008
1,9,355,72,20.28,283,79.72,01009
1,10,434,99,22.81,335,77.19,01010
1,11,272,48,17.65,224,82.35,01011
1,12,401,73,18.2,328,81.8,01012
1,13,154,13,8.44,141,91.56,01013
1,14,244,20,8.2,224,91.8,01014
1,15,271,19,7.01,252,92.99,01015
1,16,254,19,7.48,235,92.52,01016
1,17,380,61,16.05,319,83.95,01017
1,18,268,18,6.72,250,93.28,01018
1,19,248,20,8.06,228,91.94,01019
1,20,211,15,7.11,196,92.89,01020
1,21,505,116,22.97,389,77.03,01021
1,22,235,19,8.09,216,91.91,01022
1,23,444,81,18.24,363,81.76,01023
1,24,267,34,12.73,233,87.27,01024
1,25,485,92,18.97,393,81.03,01025
1,26,562,108,19.22,454,80.78,01026
1,27,296,31,10.47,265,89.53,01027
1,28,67,5,7.46,62,92.54,01028
1,29,426,67,15.73,359,84.27,01029
1,30,247,33,13.36,214,86.64,01030
1,31,115,2,1.74,113,98.26,01031
1,32,212,17,8.02,195,91.98,01032
1,33,322,41,12.73,281,87.27,01033
1,34,73,18,24.66,55,75.34,01034
1,35,70,20,28.57,50,71.43,01035
1,36,274,61,22.26,213,77.74,01036
2,1,521,143,27.45,378,72.55,02001
2,2,448,8,1.79,440,98.21,02002
2,3,301,6,1.99,295,98.01,02003
2,4,119,0,0.0,119,100.0,02004
2,5,237,5,2.11,232,97.89,02005
2,6,202,7,3.47,195,96.53,02006
2,7,401,7,1.75,394,98.25,02007
2,8,367,68,18.53,299,81.47,02008
2,9,186,7,3.76,179,96.24,02009
2,10,192,4,2.08,188,97.92,02010
2,11,533,92,17.26,441,82.74,02011
2,12,290,8,2.76,282,97.24,02012
2,13,434,5,1.15,429,98.85,02013
2,14,334,9,2.69,325,97.31,02014
2,15,144,3,2.08,141,97.92,02015
2,16,214,9,4.21,205,95.79,02016
2,17,301,5,1.66,296,98.34,02017
2,18,406,4,0.99,402,99.01,02018
2,19,187,6,3.21,181,96.79,02019
2,20,287,4,1.39,283,98.61,02020
2,21,297,4,1.35,293,98.65,02021
2,22,638,180,28.21,458,71.79,02022
2,23,246,4,1.63,242,98.37,02023
2,24,258,36,13.95,222,86.05,02024
2,25,163,24,14.72,139,85.28,02025
2,26,233,6,2.58,227,97.42,02026
2,27,54,0,0.0,54,100.0,02027
2,28,348,3,0.86,345,99.14,02028
2,29,246,6,2.44,240,97.56,02029
2,30,211,3,1.42,208,98.58,02030
2,31,319,9,2.82,310,97.18,02031
2,32,205,8,3.9,197,96.1,02032
2,33,415,13,3.13,402,96.87,02033
2,34,280,11,3.93,269,96.07,02034
2,35,143,36,25.17,107,74.83,02035
2,36,193,0,0.0,193,100.0,02036
2,37,469,112,23.88,357,76.12,02037
2,38,323,14,4.33,309,95.67,02038
2,39,430,27,6.28,403,93.72,02039
2,40,420,55,13.1,365,86.9,02040
2,41,116,1,0.86,115,99.14,02041
2,42,141,17,12.06,124,87.94,02042
2,43,461,119,25.81,342,74.19,02043
2,44,276,3,1.09,273,98.91,02044
2,45,119,2,1.68,117,98.32,02045
2,46,472,13,2.75,459,97.25,02046
2,47,196,8,4.08,188,95.92,02047
2,48,391,20,5.12,371,94.88,02048
2,49,233,62,26.61,171,73.39,02049
2,50,197,17,8.63,180,91.37,02050
2,51,270,8,2.96,262,97.04,02051
2,52,564,93,16.49,471,83.51,02052
2,53,192,3,1.56,189,98.44,02053
2,54,500,125,25.0,375,75.0,02054
3,1,427,5,1.17,422,98.83,03001
3,2,366,8,2.19,358,97.81,03002
3,3,197,2,1.02,195,98.98,03003
3,4,186,1,0.54,185,99.46,03004
3,5,258,4,1.55,254,98.45,03005
3,6,153,4,2.61,149,97.39,03006
3,7,63,0,0.0,63,100.0,03007
3,8,235,2,0.85,233,99.15,03008
3,9,262,7,2.67,255,97.33,03009
3,10,373,13,3.49,360,96.51,03010
3,11,197,1,0.51,196,99.49,03011
3,12,282,10,3.55,272,96.45,03012
3,13,100,1,1.0,99,99.0,03013
3,14,132,2,1.52,130,98.48,03014
3,15,218,6,2.75,212,97.25,03015
3,16,384,6,1.56,378,98.44,03016
3,17,257,6,2.33,251,97.67,03017
3,18,200,0,0.0,200,100.0,03018
3,19,191,2,1.05,189,98.95,03019
3,20,113,4,3.54,109,96.46,03020
3,21,164,2,1.22,162,98.78,03021
3,22,186,3,1.61,183,98.39,03022
3,23,188,4,2.13,184,97.87,03023
3,24,293,6,2.05,287,97.95,03024
3,25,93,1,1.08,92,98.92,03025
3,26,180,6,3.33,174,96.67,03026
3,27,100,2,2.0,98,98.0,03027
3,28,257,5,1.95,252,98.05,03028
3,29,96,1,1.04,95,98.96,03029
3,30,268,3,1.12,265,98.88,03030
3,31,266,5,1.88,261,98.12,03031
3,32,361,7,1.94,354,98.06,03032
3,33,272,2,0.74,270,99.26,03033
3,34,99,3,3.03,96,96.97,03034
3,35,246,2,0.81,244,99.19,03035
3,36,140,4,2.86,136,97.14,03036
3,37,257,6,2.33,251,97.67,03037
3,38,271,6,2.21,265,97.79,03038
3,39,277,6,2.17,271,97.83,03039
3,40,252,5,1.98,247,98.02,03040
3,41,187,2,1.07,185,98.93,03041
3,42,168,2,1.19,166,98.81,03042
3,43,18,0,0.0,18,100.0,03043
3,44,217,3,1.38,214,98.62,03044
3,45,142,2,1.41,140,98.59,03045
3,46,38,0,0.0,38,100.0,03046
3,47,197,3,1.52,194,98.48,03047
3,48,222,2,0.9,220,99.1,03048
3,49,227,3,1.32,224,98.68,03049
3,50,254,5,1.97,249,98.03,03050
3,51,206,33,16.02,173,83.98,03051
3,52,338,5,1.48,333,98.52,03052
4,1,345,29,8.41,316,91.59,04001
4,2,130,1,0.77,129,99.23,04002
4,3,457,13,2.84,444,97.16,04003
4,4,361,8,2.22,353,97.78,04004
4,5,293,5,1.71,288,98.29,04005
4,6,28,3,10.71,25,89.29,04006
4,7,230,6,2.61,224,97.39,04007
4,8,447,11,2.46,436,97.54,04008
4,9,513,13,2.53,500,97.47,04009
4,10,642,13,2.02,629,97.98,04010
4,11,357,5,1.4,352,98.6,04011
4,12,308,2,0.65,306,99.35,04012
4,13,544,39,7.17,505,92.83,04013
4,14,315,4,1.27,311,98.73,04014
4,15,135,6,4.44,129,95.56,04015
4,16,398,7,1.76,391,98.24,04016
4,17,527,80,15.18,447,84.82,04017
4,18,332,6,1.81,326,98.19,04018
4,19,135,2,1.48,133,98.52,04019
4,20,181,3,1.66,178,98.34,04020
4,21,354,16,4.52,338,95.48,04021
4,22,427,18,4.22,409,95.78,04022
4,23,293,27,9.22,266,90.78,04023
4,24,386,15,3.89,371,96.11,04024
4,25,348,9,2.59,339,97.41,04025
4,26,299,2,0.67,297,99.33,04026
4,27,368,9,2.45,359,97.55,04027
4,28,372,40,10.75,332,89.25,04028
4,29,306,27,8.82,279,91.18,04029
4,30,154,4,2.6,150,97.4,04030
4,31,131,1,0.76,130,99.24,04031
4,32,432,41,9.49,391,90.51,04032
4,33,138,5,3.62,133,96.38,04033
4,34,287,25,8.71,262,91.29,04034
4,35,276,10,3.62,266,96.38,04035
4,36,346,7,2.02,339,97.98,04036
4,37,243,7,2.88,236,97.12,04037
4,38,512,30,5.86,482,94.14,04038
4,39,167,0,0.0,167,100.0,04039
4,40,351,15,4.27,336,95.73,04040
4,41,340,35,10.29,305,89.71,04041
4,42,323,6,1.86,317,98.14,04042
4,43,272,17,6.25,255,93.75,04043
4,44,271,22,8.12,249,91.88,04044
4,45,501,17,3.39,484,96.61,04045
4,46,344,7,2.03,337,97.97,04046
4,47,617,41,6.65,576,93.35,04047
4,48,504,34,6.75,470,93.25,04048
4,49,112,1,0.89,111,99.11,04049
4,50,287,8,2.79,279,97.21,04050
4,51,402,42,10.45,360,89.55,04051
4,52,129,3,2.33,126,97.67,04052
4,53,161,4,2.48,157,97.52,04053
4,54,269,18,6.69,251,93.31,04054
4,55,285,27,9.47,258,90.53,04055
5,1,334,5,1.5,329,98.5,05001
5,2,402,7,1.74,395,98.26,05002
5,3,398,8,2.01,390,97.99,05003
5,4,417,6,1.44,411,98.56,05004
5,5,310,3,0.97,307,99.03,05005
5,6,314,7,2.23,307,97.77,05006
5,7,326,4,1.23,322,98.77,05007
5,8,412,51,12.38,361,87.62,05008
5,9,354,6,1.69,348,98.31,05009
5,10,231,0,0.0,231,100.0,05010
5,11,117,10,8.55,107,91.45,05011
5,12,371,6,1.62,365,98.38,05012
5,13,342,7,2.05,335,97.95,05013
5,14,323,26,8.05,297,91.95,05014
5,15,278,8,2.88,270,97.12,05015
5,16,332,8,2.41,324,97.59,05016
5,17,217,4,1.84,213,98.16,05017
5,18,257,1,0.39,256,99.61,05018
5,19,319,7,2.19,312,97.81,05019
5,20,268,10,3.73,258,96.27,05020
5,21,392,11,2.81,381,97.19,05021
5,22,358,8,2.23,350,97.77,05022
5,23,274,3,1.09,271,98.91,05023
5,24,238,14,5.88,224,94.12,05024
5,25,337,10,2.97,327,97.03,05025
5,26,223,2,0.9,221,99.1,05026
5,27,225,36,16.0,189,84.0,05027
5,28,393,6,1.53,387,98.47,05028
5,29,222,5,2.25,217,97.75,05029
5,30,306,43,14.05,263,85.95,05030
5,31,353,4,1.13,349,98.87,05031
5,32,482,12,2.49,470,97.51,05032
5,33,344,7,2.03,337,97.97,05033
5,34,262,2,0.76,260,99.24,05034
5,35,328,41,12.5,287,87.5,05035
5,36,365,3,0.82,362,99.18,05036
5,37,278,24,8.63,254,91.37,05037
5,38,325,39,12.0,286,88.0,05038
5,39,365,49,13.42,316,86.58,05039
5,40,336,5,1.49,331,98.51,05040
5,41,359,56,15.6,303,84.4,05041
5,42,303,9,2.97,294,97.03,05042
5,43,353,10,2.83,343,97.17,05043
5,44,289,7,2.42,282,97.58,05044
5,45,202,2,0.99,200,99.01,05045
5,46,420,47,11.19,373,88.81,05046
5,47,295,5,1.69,290,98.31,05047
5,48,275,14,5.09,261,94.91,05048
5,49,396,58,14.65,338,85.35,05049
5,50,234,2,0.85,232,99.15,05050
5,51,285,3,1.05,282,98.95,05051
5,52,214,4,1.87,210,98.13,05052
5,53,338,5,1.48,333,98.52,05053
5,54,197,8,4.06,189,95.94,05054
5,55,314,6,1.91,308,98.09,05055
5,56,248,4,1.61,244,98.39,05056
5,57,381,25,6.56,356,93.44,05057
5,58,253,5,1.98,248,98.02,05058
5,59,225,4,1.78,221,98.22,05059
6,1,390,11,2.82,379,97.18,06001
6,2,424,6,1.42,418,98.58,06002
6,3,361,7,1.94,354,98.06,06003
6,4,243,7,2.88,236,97.12,06004
6,5,279,3,1.08,276,98.92,06005
6,6,346,8,2.31,338,97.69,06006
6,7,315,5,1.59,310,98.41,06007
6,8,337,5,1.48,332,98.52,06008
6,9,448,11,2.46,437,97.54,06009
6,10,396,7,1.77,389,98.23,06010
6,11,334,3,0.9,331,99.1,06011
6,12,363,6,1.65,357,98.35,06012
6,13,351,9,2.56,342,97.44,06013
6,14,426,3,0.7,423,99.3,06014
6,15,340,6,1.76,334,98.24,06015
6,16,368,6,1.63,362,98.37,06016
6,17,396,4,1.01,392,98.99,06017
6,18,147,3,2.04,144,97.96,06018
6,19,340,5,1.47,335,98.53,06019
6,20,86,0,0.0,86,100.0,06020
6,21,348,8,2.3,340,97.7,06021
6,22,382,10,2.62,372,97.38,06022
6,23,316,2,0.63,314,99.37,06023
6,24,351,5,1.42,346,98.58,06024
6,25,383,5,1.31,378,98.69,06025
6,26,356,1,0.28,355,99.72,06026
