ward,precinct,total,HOWARD KENNER,HOWARD KENNER Percent,precinct_id
3,4,173,173,100.0,03004
3,10,321,321,100.0,03010
3,12,246,246,100.0,03012
3,13,97,97,100.0,03013
3,21,154,154,100.0,03021
3,36,122,122,100.0,03036
3,42,160,160,100.0,03042
3,44,211,211,100.0,03044
3,46,33,33,100.0,03046
3,48,181,181,100.0,03048
3,49,212,212,100.0,03049
3,50,220,220,100.0,03050
3,51,136,136,100.0,03051
3,52,295,295,100.0,03052
4,36,303,303,100.0,04036
4,42,283,283,100.0,04042
11,22,182,182,100.0,11022
11,28,51,51,100.0,11028
11,36,153,153,100.0,11036
11,49,181,181,100.0,11049
12,9,0,0,0.0,12009
12,10,95,95,100.0,12010
12,17,64,64,100.0,12017
12,24,38,38,100.0,12024
12,27,85,85,100.0,12027
14,2,152,152,100.0,14002
14,8,22,22,100.0,14008
14,16,171,171,100.0,14016
14,18,114,114,100.0,14018
14,23,127,127,100.0,14023
14,29,170,170,100.0,14029
14,30,169,169,100.0,14030
14,31,134,134,100.0,14031
14,33,125,125,100.0,14033
14,35,77,77,100.0,14035
14,39,160,160,100.0,14039
14,40,130,130,100.0,14040
14,42,102,102,100.0,14042
14,43,177,177,100.0,14043
14,46,146,146,100.0,14046
15,37,39,39,100.0,15037
16,2,237,237,100.0,16002
16,4,81,81,100.0,16004
16,5,266,266,100.0,16005
16,7,197,197,100.0,16007
16,8,333,333,100.0,16008
16,12,257,257,100.0,16012
16,13,185,185,100.0,16013
16,14,232,232,100.0,16014
16,15,263,263,100.0,16015
16,16,136,136,100.0,16016
16,17,65,65,100.0,16017
16,18,178,178,100.0,16018
16,19,265,265,100.0,16019
16,20,253,253,100.0,16020
16,22,211,211,100.0,16022
16,24,205,205,100.0,16024
16,26,236,236,100.0,16026
16,29,184,184,100.0,16029
16,30,303,303,100.0,16030
16,32,80,80,100.0,16032
16,33,178,178,100.0,16033
16,37,223,223,100.0,16037
16,38,374,374,100.0,16038
20,1,271,271,100.0,20001
20,3,288,288,100.0,20003
20,4,322,322,100.0,20004
20,6,320,320,100.0,20006
20,7,220,220,100.0,20007
20,8,252,252,100.0,20008
20,12,259,259,100.0,20012
20,14,419,419,100.0,20014
20,15,294,294,100.0,20015
20,17,295,295,100.0,20017
20,21,220,220,100.0,20021
20,27,182,182,100.0,20027
20,31,205,205,100.0,20031
20,33,284,284,100.0,20033
20,37,205,205,100.0,20037
20,41,70,70,100.0,20041
20,42,121,121,100.0,20042
20,45,91,91,100.0,20045
20,46,180,180,100.0,20046
20,48,204,204,100.0,20048
20,50,245,245,100.0,20050
20,52,111,111,100.0,20052
22,1,230,230,100.0,22001
22,15,287,287,100.0,22015
22,22,187,187,100.0,22022
23,23,227,227,100.0,23023
23,32,280,280,100.0,23032
23,35,194,194,100.0,23035
23,37,211,211,100.0,23037
23,49,4,4,100.0,23049
23,51,205,205,100.0,23051
