ward,precinct,total,JAMES R. EPSTEIN,JAMES R. EPSTEIN Percent,precinct_id
39,23,63,63,100.0,39023
39,32,64,64,100.0,39032
39,34,79,79,100.0,39034
39,41,31,31,100.0,39041
40,9,84,84,100.0,40009
40,12,107,107,100.0,40012
40,13,126,126,100.0,40013
40,18,77,77,100.0,40018
40,26,106,106,100.0,40026
40,28,116,116,100.0,40028
40,35,130,130,100.0,40035
40,37,173,173,100.0,40037
40,39,108,108,100.0,40039
40,47,161,161,100.0,40047
41,47,153,153,100.0,41047
41,54,134,134,100.0,41054
45,1,97,97,100.0,45001
45,4,139,139,100.0,45004
45,58,85,85,100.0,45058
48,2,148,148,100.0,48002
48,13,156,156,100.0,48013
48,22,198,198,100.0,48022
48,32,148,148,100.0,48032
48,33,126,126,100.0,48033
48,41,112,112,100.0,48041
49,1,111,111,100.0,49001
49,2,160,160,100.0,49002
49,3,145,145,100.0,49003
49,4,113,113,100.0,49004
49,5,160,160,100.0,49005
49,6,160,160,100.0,49006
49,7,139,139,100.0,49007
49,8,125,125,100.0,49008
49,9,156,156,100.0,49009
49,10,185,185,100.0,49010
49,11,163,163,100.0,49011
49,12,125,125,100.0,49012
49,13,121,121,100.0,49013
49,14,160,160,100.0,49014
49,15,150,150,100.0,49015
49,16,136,136,100.0,49016
49,18,125,125,100.0,49018
49,19,116,116,100.0,49019
49,20,176,176,100.0,49020
49,21,173,173,100.0,49021
49,22,154,154,100.0,49022
49,23,184,184,100.0,49023
49,24,163,163,100.0,49024
49,25,129,129,100.0,49025
49,26,183,183,100.0,49026
49,27,190,190,100.0,49027
49,28,129,129,100.0,49028
49,29,101,101,100.0,49029
49,30,126,126,100.0,49030
49,31,158,158,100.0,49031
49,32,155,155,100.0,49032
49,33,134,134,100.0,49033
49,34,118,118,100.0,49034
49,35,139,139,100.0,49035
49,36,98,98,100.0,49036
49,37,90,90,100.0,49037
50,1,137,137,100.0,50001
50,2,171,171,100.0,50002
50,3,120,120,100.0,50003
50,4,149,149,100.0,50004
50,5,192,192,100.0,50005
50,6,105,105,100.0,50006
50,7,187,187,100.0,50007
50,9,135,135,100.0,50009
50,10,114,114,100.0,50010
50,11,152,152,100.0,50011
50,12,125,125,100.0,50012
50,13,111,111,100.0,50013
50,14,91,91,100.0,50014
50,15,186,186,100.0,50015
50,16,109,109,100.0,50016
50,17,120,120,100.0,50017
50,18,125,125,100.0,50018
50,19,127,127,100.0,50019
50,20,152,152,100.0,50020
50,21,167,167,100.0,50021
50,22,143,143,100.0,50022
50,24,145,145,100.0,50024
50,25,167,167,100.0,50025
50,26,86,86,100.0,50026
50,27,77,77,100.0,50027
50,28,85,85,100.0,50028
50,30,147,147,100.0,50030
50,31,88,88,100.0,50031
50,32,110,110,100.0,50032
50,33,94,94,100.0,50033
50,34,138,138,100.0,50034
50,35,177,177,100.0,50035
50,36,149,149,100.0,50036
50,37,169,169,100.0,50037
50,38,117,117,100.0,50038
50,39,104,104,100.0,50039
50,40,140,140,100.0,50040
50,41,206,206,100.0,50041
50,42,198,198,100.0,50042
50,43,165,165,100.0,50043
50,44,174,174,100.0,50044
50,45,179,179,100.0,50045
50,46,104,104,100.0,50046
